Id,Soilname,wrc0kpa,wrc5kpa,wrc10kpa,wrc20kpa,wrc40kpa,wrc100kpa,wrc1500kpa
1,Barrhill_0_22,0.478682167,0.377999992,0.359000015,0.337000008,NaN,0.286000004,0.162000008
2,Barrhill_22_34,0.484030452,0.329000015,0.311000004,0.293999996,NaN,0.242999992,0.16
3,Barrhill_56_70,0.480337075,0.409000015,0.357999992,0.335999985,NaN,0.241000004,0.161000004
4,Stratford_0_15,0.645304893,0.504000015,0.472999992,0.442999992,0.402999992,0.357999992,0.255
5,Stratford_15_32,0.68007246,0.527999992,0.49,0.454000015,0.425,0.367000008,0.311000004
6,Stratford_32_112,0.703795807,0.562999992,0.547999992,0.524000015,0.500999985,0.457999992,0.306000004
