Id,Soilname,wrc0kpa,wrc5kpa,wrc10kpa,wrc20kpa,wrc40kpa,wrc100kpa,wrc1500kpa
1,Barrhill_0_22,0.410912713,0.362999992,0.345,0.320999985,NaN,0.271000004,0.148000002
2,Barrhill_22_34,0.406133855,0.317999992,0.301000004,0.285,NaN,0.237000008,0.141999998
3,Barrhill_56_70,0.420260235,0.313999996,0.207000008,0.138000002,NaN,0.081000004,0.041999998
4,Stratford_0_15,0.641104279,0.494000015,0.454000015,0.424000015,0.397999992,0.357999992,0.242000008
5,Stratford_15_32,0.673866663,0.520999985,0.479000015,0.425,0.364000015,0.349000015,0.233999996
6,Stratford_32_112,0.689297479,0.517999992,0.487000008,0.46,0.435,0.405,0.282999992
