Id,Diameter[mm],Cumul_Psd
12112828000671021,0.002,0.18
12112828000671021,0.06,0.7949999999999999
12112828000671021,2,1
12112828000671022,0.002,0.15
12112828000671022,0.06,0.525
12112828000671022,2,1
12112828000671023,0.002,0.015
12112828000671023,0.06,0.09999999999999998
12112828000671023,2,1
14112432210571021,0.002,0.2
14112432210571021,0.06,0.54
14112432210571021,2,1
14112432210571022,0.002,0.23
14112432210571022,0.06,0.6
14112432210571022,2,1
14112432210571023,0.002,0.275
14112432210571023,0.06,0.62
14112432210571023,2,1
