Id,H[mm],Theta
12112828000671021,0,0.483
12112828000671021,500,0.405
12112828000671021,1000,0.38
12112828000671021,2000,0.347
12112828000671021,4000,0.321
12112828000671021,10000,0.275
12112828000671021,150000,0.135
12112828000671022,0,0.424
12112828000671022,500,0.314
12112828000671022,1000,0.286
12112828000671022,2000,0.255
12112828000671022,4000,0.232
12112828000671022,10000,0.198
12112828000671022,150000,0.128
12112828000671023,0,0.43
12112828000671023,500,0.262
12112828000671023,1000,0.184
12112828000671023,2000,0.15
12112828000671023,4000,0.131
12112828000671023,10000,0.112
12112828000671023,150000,0.06
14112432210571021,0,0.62
14112432210571021,500,0.57
14112432210571021,1000,0.531
14112432210571021,2000,0.494
14112432210571021,4000,0.464
14112432210571021,10000,0.436
14112432210571021,150000,0.249
14112432210571022,0,0.69
14112432210571022,500,0.546
14112432210571022,1000,0.506
14112432210571022,2000,0.471
14112432210571022,4000,0.441
14112432210571022,10000,0.406
14112432210571022,150000,0.278
14112432210571023,0,0.683
14112432210571023,500,0.597
14112432210571023,1000,0.574
14112432210571023,2000,0.553
14112432210571023,4000,0.531
14112432210571023,10000,0.502
14112432210571023,150000,0.328
