Id,θs,θr,Ks,Ψm,σ,θsMacMat_ƞ,σMac,ΨmMac,So,θsMacMat,Φ,θs_Min,θr_Min,Ks_Min,Ψm_Min,σ_Min,θsMacMat_ƞ_Min,σMac_Min,ΨmMac_Min,So_Min,θsMacMat_Min,Φ_Min,θs_Max,θr_Max,Ks_Max,Ψm_Max,σ_Max,θsMacMat_ƞ_Max,σMac_Max,ΨmMac_Max,So_Max,θsMacMat_Max,Φ_Max,Kunsat_Model
1.0,0.44836,0.11912,0.00039,21966.85653,1.79737,1.0,1.79739,1.0,0.0,0.44836,0.46462,0.3,0.0,6.0e-5,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.08,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,29.84215
7.0,0.59964,0.11912,0.00068,22744.18666,1.80896,1.0,1.80896,1.0,0.0,0.59964,0.62139,0.3,0.0,6.0e-5,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.08,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,89.47185
13.0,0.42335,0.06597,0.0039,1.47690968281e6,3.39471,1.0,3.38804,0.49916,0.0,0.42335,0.43871,0.3,0.0,6.0e-5,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.08,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,71.55964
19.0,0.41708,0.07958,0.00059,23271.61978,1.81661,1.0,1.81661,1.0,0.0,0.41708,0.4322,0.3,0.0,6.0e-5,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.08,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,47.89998
25.0,0.46568,0.18197,0.00705,21999.87225,1.79788,1.0,1.81181,0.99957,0.0,0.46568,0.48257,0.3,0.0,6.0e-5,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.08,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,15.44752
31.0,0.5099,0.18197,0.00246,86954.58674,2.31468,1.0,2.3105,0.82151,0.0,0.5099,0.52839,0.3,0.0,6.0e-5,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.08,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.0011
37.0,0.40105,0.09319,0.00625,558320.88221,3.06641,1.0,3.0646,0.51483,0.0,0.40105,0.41559,0.3,0.0,6.0e-5,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.08,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,38.53624
43.0,0.4662,0.11288,0.00165,21122.13898,1.7843,1.0,1.7843,1.0,0.0,0.4662,0.48311,0.3,0.0,6.0e-5,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.08,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,53.45472
49.0,0.64611,0.16415,0.00596,21966.9451,1.79737,1.0,1.79737,1.0,0.0,0.64611,0.66955,0.3,0.0,6.0e-5,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.08,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,164.7227
61.0,0.55486,0.14685,0.00399,22300.53502,1.8024,1.0,1.8024,1.0,0.0,0.55486,0.57499,0.3,0.0,6.0e-5,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.08,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,72.60009
