Id,ξ1,ξ2,∑Psd_2_ξ2_β1,∑Psd_2_ξ2_β2,∑Psd_2_ξ2_Size,Subclay,Psd_2_θr_α1,Psd_2_θr_α2,θr_Psd,Err_θr_Psd,Nse
1.0,1.79014,0.07717,0.01341,5.0,2.0,0.58102,0.94952,0.00947,0.12162,0.7957,0.71209
7.0,1.79014,0.07717,0.01341,5.0,2.0,0.58102,0.94952,0.00947,0.12162,-1.260689319424504e10,0.97274
13.0,1.79014,0.03832,0.01341,5.0,2.0,0.58102,0.94952,0.00947,0.12134,0.97928,0.62114
19.0,1.79014,0.04452,0.01341,5.0,2.0,0.58102,0.94952,0.00947,0.12142,0.81134,0.55653
25.0,1.79014,0.2,0.01341,5.0,2.0,0.58102,0.94952,0.00947,0.12196,0.6098,0.71958
31.0,1.79014,0.2,0.01341,5.0,2.0,0.58102,0.94952,0.00947,0.12196,-3.003750276149e7,0.72916
37.0,1.79014,0.05438,0.01341,5.0,2.0,0.58102,0.94952,0.00947,0.1215,0.77513,0.53557
43.0,1.79014,0.07341,0.01341,5.0,2.0,0.58102,0.94952,0.00947,0.12159,0.95986,0.69882
49.0,1.79014,0.16337,0.01341,5.0,2.0,0.58102,0.94952,0.00947,0.12184,0.60922,0.94053
61.0,1.79014,0.12102,0.01341,5.0,2.0,0.58102,0.94952,0.00947,0.12175,0.70197,0.88507
