Id,θs,θr,Ks,Ψm,σ,θsMacMat_ƞ,σMac,ΨmMac,So,θsMacMat,Φ,θs_Min,θr_Min,Ks_Min,Ψm_Min,σ_Min,θsMacMat_ƞ_Min,σMac_Min,ΨmMac_Min,So_Min,θsMacMat_Min,Φ_Min,θs_Max,θr_Max,Ks_Max,Ψm_Max,σ_Max,θsMacMat_ƞ_Max,σMac_Max,ΨmMac_Max,So_Max,θsMacMat_Max,Φ_Max
1.0,0.5718729570360449,0.10315934189169404,0.01874588893030027,11895.999338958574,2.216377691186679,0.9781495872708006,0.7675,10.0,0.0,0.5593772968961396,0.0,0.457,0.0,5.5e-5,7.389056099,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.08,7.2e9,4.0,1.0,0.8,390.0,1.0e-5,0.0,0.0
2.0,0.5718729570360449,0.10315934189169404,0.01874588893030027,11895.999338958574,2.216377691186679,0.9781495872708006,0.7675,10.0,0.0,0.5593772968961396,0.0,0.5308,0.0,5.5e-5,7.389056099,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.08,7.2e9,4.0,1.0,0.8,390.0,1.0e-5,0.0,0.0
3.0,0.5718729570360449,0.10315934189169404,0.01874588893030027,11895.999338958574,2.216377691186679,0.9781495872708006,0.7675,10.0,0.0,0.5593772968961396,0.0,0.481,0.0,5.5e-5,7.389056099,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.08,7.2e9,4.0,1.0,0.8,390.0,1.0e-5,0.0,0.0
4.0,0.5718729570360449,0.10315934189169404,0.01874588893030027,11895.999338958574,2.216377691186679,0.9781495872708006,0.7675,10.0,0.0,0.5593772968961396,0.0,0.481,0.0,5.5e-5,7.389056099,0.75,0.8,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.08,7.2e9,4.0,1.0,0.8,390.0,1.0e-5,0.0,0.0
5.0,0.5718729570360449,0.10315934189169404,0.01874588893030027,11895.999338958574,2.216377691186679,0.9781495872708006,0.7675,10.0,0.0,0.5593772968961396,0.0,0.519,0.0,5.5e-5,7.389056099,0.75,0.8,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.08,7.2e9,4.0,1.0,0.8,390.0,1.0e-5,0.0,0.0
