Id,Diameter[mm],Cumul_Psd
11221219000011021,0.002,0.34
11221219000011021,0.06,0.76
11221219000011021,2,1
11221219000011022,0.002,0.2
11221219000011022,0.06,0.62
11221219000011022,2,1
11221219000011023,0.002,0.2
11221219000011023,0.06,0.65
11221219000011023,2,1
11352815000261011,0.002,0.325
11352815000261011,0.06,0.8999999999999999
11352815000261011,2,1
11352815000261012,0.002,0.375
11352815000261012,0.06,0.9
11352815000261012,2,1
11352815000261013,0.002,0.4
11352815000261013,0.06,0.75
11352815000261013,2,1
11352815000261014,0.002,0.025
11352815000261014,0.06,0.125
11352815000261014,2,1
12112828000671021,0.002,0.18
12112828000671021,0.06,0.7949999999999999
12112828000671021,2,1
12112828000671022,0.002,0.15
12112828000671022,0.06,0.525
12112828000671022,2,1
12112828000671023,0.002,0.015
12112828000671023,0.06,0.09999999999999998
12112828000671023,2,1
12283124300041021,0.002,0.2
12283124300041021,0.06,0.6
12283124300041021,2,1
12283124300041022,0.002,0.2
12283124300041022,0.06,0.65
12283124300041022,2,1
12283124300041023,0.002,0.25
12283124300041023,0.06,0.7
12283124300041023,2,1
12283124300041024,0.002,0.115
12283124300041024,0.06,0.35
12283124300041024,2,1
13282523000031021,0.002,0.05
13282523000031021,0.06,0.52
13282523000031021,2,1
13282523000031022,0.002,0.06
13282523000031022,0.06,0.29000000000000004
13282523000031022,2,1
13282523000031023,0.002,0.06
13282523000031023,0.06,0.365
13282523000031023,2,1
13282523000031024,0.002,0.02
13282523000031024,0.06,0.09999999999999998
13282523000031024,2,1
14112432210571021,0.002,0.2
14112432210571021,0.06,0.54
14112432210571021,2,1
14112432210571022,0.002,0.23
14112432210571022,0.06,0.6
14112432210571022,2,1
14112432210571023,0.002,0.275
14112432210571023,0.06,0.62
14112432210571023,2,1
16112417110251021,0.002,0.36
16112417110251021,0.06,0.8200000000000001
16112417110251021,2,1
16112417110251022,0.002,0.35
16112417110251022,0.06,0.8
16112417110251022,2,1
16112417110251023,0.002,0.38
16112417110251023,0.06,0.76
16112417110251023,2,1
16112417110251024,0.002,0.4
16112417110251024,0.06,0.685
16112417110251024,2,1
16152815000441021,0.002,0.05
16152815000441021,0.06,0.09999999999999998
16152815000441021,2,1
16152815000441022,0.002,0.02
16152815000441022,0.06,0.050000000000000044
16152815000441022,2,1
