Id,SoilName,Depth,θs,θr,Ks,Ψm,σ,θsMacMat_ƞ,σMac,ΨmMac,So,θsMacMat,Φ,θs_Min,θr_Min,Ks_Min,Ψm_Min,σ_Min,θsMacMat_ƞ_Min,σMac_Min,ΨmMac_Min,So_Min,θsMacMat_Min,Φ_Min,θs_Max,θr_Max,Ks_Max,Ψm_Max,σ_Max,θsMacMat_ƞ_Max,σMac_Max,ΨmMac_Max,So_Max,θsMacMat_Max,Φ_Max,Nse,Nse_θΨ,Nse_KΨ,Rmse,Rmse_θΨ,Rmse_KΨ,KunsatModel
11301911230071011,Atiam_7a.1,180.0,0.578325,0.05219182639371012,0.21834811438243434,4572.203695752076,2.041721827911413,0.8889561260204529,0.7675,10.0,0.0,0.5141055515807784,0.6087631578947369,0.24749999999999997,0.0,8.25e-9,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.49499999999999994,0.060175,0.825,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.9805823023434959,0.9805823023434959,0.0,0.021491577324634064,0.021491577324634064,0.0,0.21834811438243434
11301911230071012,Atiam_7a.1,320.0,0.533015,0.034249999999575974,0.022803790501200887,2384.9700423877953,1.8247855830618007,0.9252543376256296,0.7675,10.0,0.0,0.493174440769525,0.5610684210526317,0.2355,0.0,7.85e-9,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.471,0.03425000000000001,0.785,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.9855850445773501,0.9855850445773501,0.0,0.018458609043174794,0.018458609043174794,0.0,0.022803790501200887
11301911230071013,Atiam_7a.1,530.0,0.48377500000000007,0.05714100574247701,0.17879733431600492,6663.99051780128,2.1672962226480816,0.8835470810103043,0.7675,10.0,0.0,0.42743798911576003,0.5092368421052632,0.2775,0.0,9.25e-9,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.555,0.0764,0.925,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.986939330019842,0.986939330019842,0.0,0.013644602719636667,0.013644602719636667,0.0,0.17879733431600492
11301911230071014,Atiam_7a.1,800.0,0.531875,0.050275182608253914,0.22387818233294476,6386.62938649084,2.1531256108273946,0.8704710216080023,0.7675,10.0,0.0,0.4629817746177562,0.5598684210526316,0.2775,0.0,9.25e-9,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.555,0.07085,0.925,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.9890782380195507,0.9890782380195507,0.0,0.014101183740216214,0.014101183740216214,0.0,0.22387818233294476
11301911230071015,Atiam_7a.1,1000.0,0.53835,0.03896519794311055,0.19516082703528062,7626.143524933895,2.212250822128008,0.8914038119210473,0.7675,10.0,0.0,0.47988724214769585,0.5666842105263158,0.2775,0.0,9.25e-9,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.555,0.069925,0.925,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.9902106469436729,0.9902106469436729,0.0,0.013634503096620423,0.013634503096620423,0.0,0.19516082703528062
25231122000101011,Omal_10a.1,200.0,0.547,0.12427618052235742,0.24771290795811782,30908.697603640845,2.6787359353254483,0.8559660192572137,0.7675,10.0,0.0,0.4682134125336959,0.5757894736842106,0.3,0.0,1.0e-8,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,1.0,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.9943269076244328,0.9943269076244328,0.0,0.006993116412653612,0.006993116412653612,0.0,0.24771290795811782
25231122000101012,Omal_10a.1,380.0,0.464,0.05453405590738483,0.20528623371622307,14337.337659618988,2.422679114532462,0.8589291073454373,0.7675,10.0,0.0,0.3985431058082829,0.488421052631579,0.3,0.0,1.0e-8,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.106,1.0,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.9982898737789407,0.9982898737789407,0.0,0.0042224079581099,0.0042224079581099,0.0,0.20528623371622307
25231122000101013,Omal_10a.1,740.0,0.454,7.569116539235399e-11,0.016486192249928495,101010.66484567676,2.4930231730446297,0.9719810924680254,0.7675,10.0,0.0,0.4412794159804836,0.4778947368421053,0.3,0.0,1.0e-8,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.187,1.0,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.9986306004159881,0.9986306004159881,0.0,0.0030516624635546527,0.0030516624635546527,0.0,0.016486192249928495
25231122000101014,Omal_10a.1,930.0,0.445,1.0322368368258817e-11,0.015326213944427222,88831.7298658287,2.868035299633942,0.9524465410172385,0.7675,10.0,0.0,0.4238387107526711,0.46842105263157896,0.3,0.0,1.0e-8,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.175,1.0,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.9978593218692238,0.9978593218692238,0.0,0.0037037450757128423,0.0037037450757128423,0.0,0.015326213944427222
25231122000101015,Omal_10a.1,1000.0,0.393,3.581207374388813e-11,0.012849063197710335,38021.22173136855,2.606136102702822,0.968335310528451,0.7675,10.0,0.0,0.3805557770376813,0.4136842105263158,0.3,0.0,1.0e-8,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.106,1.0,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.9948410317223526,0.9948410317223526,0.0,0.00621948101900798,0.00621948101900798,0.0,0.012849063197710335
25302528000631011,Otor_63a.1,200.0,0.655,0.1999999999995607,0.3756634005559616,8907.060489247231,2.2640048205391636,0.8194135411606028,0.7675,10.0,0.0,0.5367158694601949,0.6894736842105263,0.3,0.0,1.0e-8,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,1.0,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.987265216665559,0.987265216665559,0.0,0.013298037461122672,0.013298037461122672,0.0,0.3756634005559616
25302528000631012,Otor_63a.1,300.0,0.686,0.19999999999999796,0.5485102423500694,6226.388670230466,2.1446555610048748,0.7505989573940229,0.7675,10.0,0.0,0.5149108847722997,0.7221052631578948,0.3,0.0,1.0e-8,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,1.0,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.9825449559325533,0.9825449559325533,0.0,0.01699146818640049,0.01699146818640049,0.0,0.5485102423500694
25302528000631013,Otor_63a.1,470.0,0.685,0.19999999999998644,0.5489094018265495,8851.95255401825,2.261936082748563,0.750000000000033,0.7675,10.0,0.0,0.5137500000000226,0.7210526315789475,0.3,0.0,1.0e-8,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,1.0,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.9803389461902561,0.9803389461902561,0.0,0.017382285595404744,0.017382285595404744,0.0,0.5489094018265495
25302528000631014,Otor_63a.1,740.0,0.669,0.19999999999997092,0.48234702461495554,16808.677309130835,2.4756884818497085,0.7740942276238724,0.7675,10.0,0.0,0.5178690382803707,0.7042105263157895,0.3,0.0,1.0e-8,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,1.0,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.9846686199847763,0.9846686199847763,0.0,0.01394397499513343,0.01394397499513343,0.0,0.48234702461495554
25302528000631015,Otor_63a.1,1000.0,0.63,0.19999999999378332,0.3106967301041645,32516.930364270378,2.6956436912930557,0.8435829748843036,0.7675,10.0,0.0,0.5314572741771112,0.6631578947368422,0.3,0.0,1.0e-8,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,1.0,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.992408060227789,0.992408060227789,0.0,0.00813240562773511,0.00813240562773511,0.0,0.3106967301041645
25302528000652011,Otor_65b.1,200.0,0.64608,0.19199999999999454,0.3842488962342535,10597.805490584,2.321939045490419,0.8127213925242444,0.7675,10.0,0.0,0.5250830372820637,0.6800842105263158,0.288,0.0,9.6e-9,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.576,0.192,0.96,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.9852894230521548,0.9852894230521548,0.0,0.013905090388838887,0.013905090388838887,0.0,0.3842488962342535
25302528000652012,Otor_65b.1,300.0,0.63744,0.1919999999999988,0.4979903583171564,4663.514420586818,2.048313172461654,0.7549672809485499,0.7675,10.0,0.0,0.4812463435678437,0.6709894736842106,0.288,0.0,9.6e-9,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.576,0.192,0.96,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.9870673341476884,0.9870673341476884,0.0,0.013887820619210222,0.013887820619210222,0.0,0.4979903583171564
25302528000652013,Otor_65b.1,400.0,0.694,0.19999999999999768,0.5567826143151865,7649.419267939365,2.213266639418596,0.7500000000001097,0.7675,10.0,0.0,0.5205000000000761,0.7305263157894737,0.3,0.0,1.0e-8,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,1.0,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.9801383930991103,0.9801383930991103,0.0,0.017964711107992783,0.017964711107992783,0.0,0.5567826143151865
25302528000652014,Otor_65b.1,700.0,0.675,0.19999999999965995,0.4812215867270352,22006.51616235154,2.565502928225322,0.7767366914433236,0.7675,10.0,0.0,0.5242972667242435,0.7105263157894738,0.3,0.0,1.0e-8,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,1.0,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.9814407779208908,0.9814407779208908,0.0,0.014992343373884477,0.014992343373884477,0.0,0.4812215867270352
25302528000652015,Otor_65b.1,1000.0,0.68,0.19999999999876913,0.3044867104747116,36712.76208829291,2.7360982071072066,0.8597856372485148,0.7675,10.0,0.0,0.58465423332899,0.7157894736842106,0.3,0.0,1.0e-8,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,1.0,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.9892169695711717,0.9892169695711717,0.0,0.01051016480990534,0.01051016480990534,0.0,0.3044867104747116
25302528000661011,Otor_66a.1,190.0,0.686,0.1999999999997949,0.364418825162569,16408.818119681593,2.4676630221794964,0.8337565977545963,0.7675,10.0,0.0,0.5719570260596532,0.7221052631578948,0.3,0.0,1.0e-8,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,1.0,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.9821712900830507,0.9821712900830507,0.0,0.015435907668316217,0.015435907668316217,0.0,0.364418825162569
25302528000661012,Otor_66a.1,410.0,0.693,0.19999999999999543,0.5557591602384975,15073.869137101718,2.439377636667794,0.7500000000000048,0.7675,10.0,0.0,0.5197500000000033,0.7294736842105263,0.3,0.0,1.0e-8,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,1.0,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.9731769235772084,0.9731769235772084,0.0,0.019562793661561335,0.019562793661561335,0.0,0.5557591602384975
25302528000661013,Otor_66a.1,565.0,0.693,0.19999999999936266,0.5044926531426966,35475.01229215546,2.7246662518405373,0.7726128857670528,0.7675,10.0,0.0,0.5354207298365675,0.7294736842105263,0.3,0.0,1.0e-8,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,1.0,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.9751894866007998,0.9751894866007998,0.0,0.016949408652232177,0.016949408652232177,0.0,0.5044926531426966
