Id,100mm,250000mm
11301911230071011,0.5000635899307262,0.06374278547164443
11301911230071012,0.4743704462601625,0.03672544547332969
11301911230071013,0.4177613442179548,0.07462481251558052
11301911230071014,0.45202773770715776,0.06854286380262764
11301911230071015,0.46892251026405735,0.06424656956170484
25231122000101011,0.46276157183965044,0.19911161473490074
25231122000101012,0.3916813609689526,0.0954759025431938
25231122000101013,0.4400781193784756,0.15802770896559923
25231122000101014,0.42006939807978927,0.15221473084439938
25231122000101015,0.37626536375010894,0.08941096758433795
25302528000631011,0.5289000344558152,0.22370181681394496
25302528000631012,0.5066298273977512,0.21340041112646851
25302528000631013,0.5065332910769584,0.2219126704394273
25302528000631014,0.5119603993119681,0.24379021948600035
25302528000631015,0.5263055036617607,0.2744536584192931
25302528000652011,0.5178172809633464,0.22088239127437237
25302528000652012,0.47268222781909003,0.19950723662273423
25302528000652013,0.5127156274977209,0.21845420365763707
25302528000652014,0.5187425535650255,0.2557015250238539
25302528000652015,0.5788412403140464,0.2929377278352359
25302528000661011,0.5649053814503457,0.25016004402548275
25302528000661012,0.513624738683248,0.23990506138071266
25302528000661013,0.5304060394961737,0.27942595531961884
25302528000661014,0.5747599902745331,0.2769776400668507
25302528000661015,0.5697237609866628,0.3231562528856622
26312419000021011,0.47447970479566326,0.195433989373431
26312419000021012,0.4685634567303188,0.262832308203685
26312419000021013,0.5877587857556357,0.43519478976557546
26312419000021014,0.6354416031154271,0.5080667557021501
26312419000021015,0.6528160534675855,0.5335287231597677
30152331000891011,0.520846320157622,0.2969158557182902
30152331000891012,0.5427340785340468,0.3383707789446806
30152331000891013,0.5532201955931687,0.3354808447564096
30152331000891014,0.5765011534009223,0.35120808304643697
30152331000891015,0.5611588121832256,0.3301530763965187
30153021000131011,0.5354513093079395,0.11862540289909719
30153021000131012,0.5349566600114164,0.05993894908126146
30153021000131013,0.5337530785949862,0.06045554358627503
30153021000131014,0.5514133317037124,0.05360101430356919
30153021000131015,0.5628520227260854,0.05854271608049725
30153021000161011,0.5006946856625897,0.10423183321255738
30153021000161012,0.4255868225053825,0.10099139602912627
30153021000161013,0.4210004328393246,0.08644153897708437
30153021000161014,0.4095254295131279,0.07966880369854458
30153021000161015,0.5254676531756455,0.2019336936617572
240000000034221011,0.5599467368312732,0.2642052526674468
240000000034221012,0.5127409257698216,0.2790160394020538
240000000034221013,0.5368373731704106,0.37781703033920117
240000000034221014,0.5627106442203698,0.391512152178226
240000000034221015,0.5912930640838054,0.33617389151576693
