Id,SoilName,Depth,IsTopsoil,ThetaS_Ch[mm3 mm-3],ThetaR_Ch[mm3 mm-3],LambdaCh_Ch[-],Hch_Ch[mm],Ks_Ch[mm s-1], Hga_Ch[mm],ThetaS_Vg[mm3 mm-3],ThetaR_Vg[mm3 mm-3],n_Vg[-],Hvg_Vg[mm],Ks_Vg[mm s-1],0mm,500mm,1000mm,2000mm,3300mm,4000mm,10000mm,150000mm
11301911230071011,Atiam_7a.1,180.0,1,0.5538263675113307,0.0,0.25799575859623286,247.09110569358762,0.12368126582523177,386.376831733383,0.5500690746184828,0.001345977813184669,1.3358448036155348,535.2894691681533,0.21834811425587464,0.578325,0.449811089793943,0.40865208723196816,0.35578572340975445,0.31245397405085085,0.29520733395512366,0.2142076339305151,0.0723612159487392
11301911230071012,Atiam_7a.1,320.0,0,0.5330149999998042,0.0,0.24461995257737976,90.00000000000071,0.016359973050258887,141.90730934720438,0.5183520260570088,0.010783789365170254,1.4346729442055008,439.98175091551957,0.022803790500764184,0.533015,0.4032478338621248,0.3477310546229456,0.28134724318431387,0.23130197908194436,0.21251587941818204,0.13341233038067377,0.03958148131492571
11301911230071013,Atiam_7a.1,530.0,0,0.4531752297625797,0.0,0.2350368946523258,334.55563342139556,0.02280379050120088,530.7632090170201,0.45648829250010986,0.004077390024077595,1.2934391435500245,614.9447415505267,0.17879733430243716,0.48377500000000007,0.384465655446879,0.35680569348569907,0.32029869435467156,0.28936697641349424,0.276762032408056,0.2147856911147165,0.08505805909578613
11301911230071014,Atiam_7a.1,800.0,0,0.52911555180591,0.0,0.18465219726782478,90.00000000003092,0.13852569578641563,147.9166757133336,0.49966289212943626,4.156967627127163e-11,1.301327209849664,567.3335029738406,0.22387818232944243,0.531875,0.4141232711388836,0.38268051266392594,0.341291377953918,0.3063390251954554,0.29212934049145567,0.22258789875319587,0.07971252360451592
11301911230071015,Atiam_7a.1,1000.0,0,0.5383499999990027,0.0,0.17811067879002804,90.00000000001323,0.12058052289460713,148.65744693238312,0.513091820015844,4.461097622048104e-11,1.2977857125833638,606.8408220748734,0.1951608270242281,0.53835,0.43180954441119257,0.4008641550576126,0.35969806967218065,0.32447306921644326,0.3100165410913738,0.23793177732449863,0.07823015306729825
25231122000101011,Omal_10a.1,200.0,1,0.5299568450537334,0.0,0.1017455942557838,90.00000000002316,0.12398423201129863,158.95300621948164,0.5038875846485396,0.049008528097651355,1.177808650703923,701.5039658495677,0.24771290711681518,0.5470000000000002,0.4469481969596608,0.4337768431372304,0.41546348028389457,0.398800033508354,0.39164090729520784,0.3523817168194039,0.2197884164164153
25231122000101012,Omal_10a.1,380.0,0,0.4579302122250269,0.0,0.14619399782504688,90.00000000000183,0.11509784308137787,152.56160608725128,0.42981818915320025,4.550523037579341e-10,1.233275023715547,683.4798814113037,0.20528623366808582,0.464,0.3699944464461039,0.3518083842059737,0.32695504852657603,0.3049218710356511,0.29564227165480345,0.24687283656875944,0.1117265295809414
25231122000101013,Omal_10a.1,740.0,0,0.45399999999999735,0.0,0.10829516142322539,304.69616806469617,0.011455561411400243,534.6754165977537,0.44770254637941065,0.03184053731288475,1.2688690744511089,4136.897503047521,0.016486192237953595,0.454,0.4339475291499558,0.4271292139602652,0.415758589999677,0.4037807935423082,0.3981982655432631,0.36326306050938784,0.1928344850946221
25231122000101014,Omal_10a.1,930.0,0,0.4449999999999998,0.0,0.11868451222931042,276.3336292449237,0.007263043794286787,480.1114461000384,0.4352084740639139,3.636173851345376e-11,1.1802861854733715,1522.815286871526,0.01520782171079698,0.445,0.4088122769149021,0.39889060607692467,0.3844365921646274,0.370663280739834,0.3645688767309141,0.3292533240179879,0.18120385059926822
25231122000101015,Omal_10a.1,1000.0,0,0.393,0.0,0.15096652156835053,284.48876005797973,0.006804393905832126,480.29634853071275,0.39052174381872296,2.2102398417686054e-13,1.233404125338847,1328.8484023889887,0.012775917009657778,0.393,0.36218997235652645,0.34959433314139077,0.33137542017291866,0.3142800458691976,0.30681232818205334,0.26480516283759137,0.1138708243570172
25302528000631011,Otor_63a.1,200.0,1,0.5917773585242728,0.0,0.13056197023360214,199.6306850008426,0.012849063197708156,343.0759002364522,0.6027919465865126,0.16566466121378376,1.2725446778080465,374.89983955246123,0.37566340050954894,0.655,0.5024810964425444,0.4804700199924258,0.4509528847857518,0.42543564672963147,0.4148854346880364,0.36149367493394097,0.23574307352807122
25302528000631012,Otor_63a.1,300.0,0,0.6054197409553559,0.0,0.1266934432175806,90.00000000000385,0.28825826549177563,155.21359522793512,0.6239102410666352,0.19357198748635315,1.3163565956644763,198.0902568024967,0.5485102423397838,0.686,0.47718037234539706,0.4529028698154488,0.4209979845471855,0.3941094717053734,0.3831939217650148,0.3299256001201154,0.2217149363503294
25302528000631013,Otor_63a.1,470.0,0,0.6058267943394258,0.0,0.11920822176548185,90.00000000000085,0.2791781991057494,156.2922546272021,0.6226572613613851,0.19602842288822644,1.2924972078271562,197.1836651272373,0.5489094015386412,0.685,0.4817620720046183,0.4611942490352776,0.43362086331316013,0.4097932231783676,0.399944354719966,0.3501301179769811,0.23308237142561236
25302528000631014,Otor_63a.1,740.0,0,0.6046763872984882,0.0,0.1045763152473738,90.00000000000006,0.23564856665661676,158.50728248905213,0.6087980789068094,0.186069581765829,1.2420280281616438,249.81735977457856,0.482347024556979,0.669,0.4931294974507439,0.47744374602519324,0.45590592938315305,0.4366844010038054,0.4285484888201636,0.38534118438399706,0.25986201193944036
25302528000631015,Otor_63a.1,1000.0,0,0.6008149377353137,0.0,0.08771929800001398,90.00000000001768,0.15029387754424478,161.25000004159182,0.5821806687963441,0.15394621542577008,1.1854305887412762,480.8516961979828,0.31069672569934803,0.63,0.5113313444119771,0.4988937468400339,0.48158826386412307,0.46582229911874,0.4590420510953483,0.42177904810244404,0.2945651203679206
25302528000652011,Otor_65b.1,200.0,1,0.6015427730425472,0.0,0.11340291236825452,89.99999999999997,0.20534468339179807,157.15371830393065,0.593291917526835,0.16095827619620084,1.2621470144337463,364.38163418266333,0.3842488957743164,0.64608,0.4936990410850972,0.4735700470094325,0.4463646896845931,0.4226048843660732,0.41270804569939934,0.3618639608458051,0.23426030873289497
25302528000652012,Otor_65b.1,300.0,0,0.5618749427599965,0.0,0.13073681278165955,90.00000000000014,0.26960547424917236,154.64539951804255,0.5811184120532692,0.182624512725201,1.3367268336719011,195.4294666072301,0.49799035753505166,0.63744,0.4413797963782033,0.4158454131903456,0.38299407480550796,0.35601442277318623,0.34526116644653515,0.29462262926383687,0.2050407259702082
25302528000652013,Otor_65b.1,400.0,0,0.6128592933082402,0.0,0.12294766728571375,90.00000000000045,0.28718919016950184,155.74895724191597,0.6310311082965059,0.1971491121290391,1.3037829099024791,195.89638876141987,0.5567826134043232,0.694,0.48560160445500977,0.4631393317052785,0.43325319220348124,0.40767479227337455,0.39717567657835207,0.34480788050681116,0.22864429444647175
25302528000652014,Otor_65b.1,700.0,0,0.611306674153141,0.0,0.09966699225385332,89.99999999999997,0.2289714001088496,159.2840125681599,0.6159477015707796,0.19178213028176222,1.2289522701620406,241.7084332562371,0.48122157949105226,0.675,0.5015682891998021,0.48729215806854714,0.46756153113313464,0.4497818946407314,0.44220082533743243,0.4013068875995951,0.27367863783524293
25302528000652015,Otor_65b.1,1000.0,0,0.6567558962874332,0.0,0.08771929800063145,90.00000000014869,0.14710623199009107,161.25000004172205,0.6335248769949844,0.14393092336270172,1.1785409796512927,557.8863264607013,0.3044867080262555,0.68,0.5622742353128177,0.548520304964122,0.5293539170224433,0.5118439667595499,0.5042968594253301,0.4626122073520331,0.3167342003048651
25302528000661011,Otor_66a.1,190.0,1,0.6503076194107063,0.0,0.10454489739150911,90.00000000000207,0.18921082135580025,158.51219790109465,0.6348381450286301,0.16149822852718532,1.232125569128362,438.1809307712627,0.3644188250746663,0.686,0.5427285044091316,0.5241826019109938,0.49873461988640394,0.47604523724388176,0.466448414858661,0.41555998449072196,0.2687870167423433
25302528000661012,Otor_66a.1,410.0,0,0.6150055253465224,0.0,0.10944571192094203,90.00000000000006,0.26824300811827234,157.7538838423844,0.6306548312337613,0.1999999990803286,1.2595340428869348,192.29750423941329,0.555759160010973,0.693,0.49375062641746736,0.4772117238425973,0.45457408192700843,0.4344613304667578,0.42597674525633383,0.38123398410636056,0.2553549696957249
25302528000661013,Otor_66a.1,565.0,0,0.6248641140446686,0.0,0.09228098563362186,90.00000000000014,0.2268757033220925,160.48635034839916,0.6343504206730155,0.1999999998904709,1.204865901533253,202.45883453366744,0.5044926530640476,0.693,0.5156701684654139,0.5035128329748554,0.486578287896737,0.4711190319244069,0.46445989452453285,0.4277301529235801,0.30007089257052677
25302528000661014,Otor_66a.1,795.0,0,0.6597264012570768,0.0,0.09450964748404195,90.00000000000094,0.18010324776085176,160.11918237547576,0.6437877532259074,0.1611910553685977,1.2009761117951505,441.167299278693,0.36833324734661876,0.696,0.5564155155808254,0.5411436931166032,0.5199469868883997,0.5007168108272675,0.4924741573688971,0.4475037875120716,0.29935637998799447
25302528000661015,Otor_66a.1,1005.0,0,0.6288163726215638,0.0,0.08771929800000507,212.003273377911,0.12038827761859179,379.8391982333261,0.6245616428304639,0.15227937721353615,1.149409155011442,478.4823002659587,0.3067372337470148,0.671,0.5567952513808068,0.5461988036617635,0.5313641707306629,0.5176687378562015,0.5117133344596382,0.47814244465915706,0.34748780817193314
26312419000021011,Puni_2a.1,240.0,1,0.5649347678586879,0.0,0.10648394840990806,90.00000000000247,0.18464787264860233,158.21014372399185,0.546355771812879,2.461856324631601e-9,1.1437318294388847,413.22164510677493,0.4299730338462793,0.609,0.4615928549993611,0.4509472766483345,0.43583301212794806,0.42166054636017875,0.415432489404057,0.3795845109058976,0.22679982982657493
26312419000021012,Puni_2a.1,360.0,0,0.5061224278001207,0.0,0.08771929800000035,262.0409204977948,0.004264361444160609,469.4899826795608,0.48951779037291504,8.930905298454696e-10,1.1080897527001132,1081.9587304882014,0.010936877596233135,0.516,0.45863610589119125,0.4505916634258984,0.43932440684410706,0.42885443973313964,0.4242726565840186,0.3980312138295048,0.28614278046628927
26312419000021013,Puni_2a.1,510.0,0,0.6069999999999972,0.0,0.08771929800000006,855.9999999998952,0.00270349346118382,1533.6666670617844,0.5956217864644415,2.852909905824021e-8,1.0604616972897092,1723.8912912378855,0.011453542904239057,0.607,0.5809190828989789,0.5755710268647171,0.5681461542210716,0.5612340183209445,0.5581940751630917,0.5404953752730425,0.4556585223563988
26312419000021014,Puni_2a.1,680.0,0,0.6379999999999999,0.0,0.08771929800000004,855.9999999999797,0.003136555399758669,1533.6666670619356,0.6361337506857624,1.059774853377348e-12,1.0505365386906793,3435.4319494178953,0.013543756411262623,0.6379999972234429,0.6304178581435944,0.6264400829857146,0.6208507775862735,0.6155769240784991,0.6132362142197693,0.599356213041832,0.52700982974276
26312419000021015,Puni_2a.1,1000.0,0,0.6549999999999994,0.0,0.08771929800000006,855.9999999999994,0.003332163444450992,1533.666667061971,0.65302252630451,3.7090154569977456e-9,1.0474578818255762,4088.6394328408624,0.014349248245573563,0.6549999990961413,0.6484296802103815,0.6449104753128978,0.6399181030615151,0.6351669592985242,0.6330473836494623,0.6203626245350896,0.5519513066448571
30152331000891011,Temu_89a.1,150.0,1,0.5622046904920078,0.0,0.08771929800000149,253.81026038739634,0.003998854533860688,454.74338331129536,0.5443040888198659,0.08962469564827384,1.1371039651966948,1041.3194958319837,0.009398847998998058,0.574,0.5089774332816343,0.49918493967628474,0.4854822202016928,0.4728498792004415,0.4673636993476283,0.4365306217935905,0.3184657469439015
30152331000891012,Temu_89a.1,300.0,0,0.5759999999999985,0.0,0.08771929800000001,341.21108372777496,0.0038021770712845272,611.3365251698366,0.5551284253617408,0.03962878097137165,1.1044899898267837,1582.1445643869797,0.009878214010128129,0.576,0.5326995080161123,0.5245127388216245,0.5130428536566609,0.5023994828233255,0.49774879282432605,0.4712171724217654,0.36073132613072983
