Id,H[mm],Theta
53,100,0.53
53,500,0.48
53,1000,0.45
53,2000,0.41
53,4000,0.37
53,10000,0.32
53,150000,0.2
54,40,0.53
54,70,0.53
54,100,0.53
54,500,0.48
54,1000,0.45
54,2000,0.41
54,4000,0.37
54,10000,0.32
54,150000,0.2
55,40,0.53
55,70,0.53
55,100,0.52
55,500,0.49
55,1000,0.46
55,2000,0.42
55,4000,0.39
55,10000,0.34
55,150000,0.19
56,40,0.51
56,70,0.5
56,100,0.5
56,500,0.45
56,1000,0.43
56,2000,0.4
56,4000,0.37
56,10000,0.31
56,150000,0.19
57,40,0.58
57,70,0.58
57,100,0.58
57,500,0.55
57,1000,0.53
57,2000,0.48
57,4000,0.46
57,10000,0.41
57,150000,0.19
58,40,0.51
58,70,0.5
58,100,0.5
58,500,0.45
58,1000,0.43
58,2000,0.4
58,4000,0.37
58,10000,0.31
58,150000,0.19
59,40,0.58
59,70,0.58
59,100,0.58
59,500,0.55
59,1000,0.53
59,2000,0.48
59,4000,0.46
59,10000,0.41
59,150000,0.19
60,40,0.51
60,70,0.5
60,100,0.5
60,500,0.45
60,1000,0.43
60,2000,0.4
60,4000,0.37
60,10000,0.31
60,150000,0.19
61,40,0.58
61,70,0.58
61,100,0.58
61,500,0.55
61,1000,0.53
61,2000,0.48
61,4000,0.46
61,10000,0.41
61,150000,0.19
62,40,0.51
62,70,0.5
62,100,0.5
62,500,0.45
62,1000,0.43
62,2000,0.4
62,4000,0.37
62,10000,0.31
62,150000,0.19
63,40,0.53
63,70,0.53
63,100,0.53
63,500,0.49
63,1000,0.46
63,2000,0.43
63,4000,0.4
63,10000,0.35
63,150000,0.19
64,40,0.53
64,70,0.51
64,100,0.51
64,500,0.46
64,1000,0.44
64,2000,0.4
64,4000,0.37
64,10000,0.32
64,150000,0.2
65,40,0.53
65,70,0.51
65,100,0.51
65,500,0.46
65,1000,0.44
65,2000,0.4
65,4000,0.37
65,10000,0.32
65,150000,0.2
66,40,0.53
66,70,0.53
66,100,0.53
66,500,0.49
66,1000,0.46
66,2000,0.43
66,4000,0.4
66,10000,0.35
66,150000,0.19
67,40,0.53
67,70,0.51
67,100,0.51
67,500,0.46
67,1000,0.44
67,2000,0.4
67,4000,0.37
67,10000,0.32
67,150000,0.2
69,40,0.53
69,70,0.53
69,100,0.53
69,500,0.49
69,1000,0.46
69,2000,0.43
69,4000,0.4
69,10000,0.35
69,150000,0.19
70,40,0.5
70,70,0.5
70,100,0.5
70,500,0.49
70,1000,0.46
70,2000,0.43
70,4000,0.4
70,10000,0.35
70,150000,0.19
71,40,0.5
71,70,0.5
71,100,0.5
71,500,0.48
71,1000,0.46
71,2000,0.43
71,4000,0.4
71,10000,0.36
71,150000,0.16
72,40,0.5
72,70,0.5
72,100,0.5
72,500,0.49
72,1000,0.46
72,2000,0.43
72,4000,0.4
72,10000,0.35
72,150000,0.19
73,40,0.5
73,70,0.5
73,100,0.5
73,500,0.48
73,1000,0.46
73,2000,0.43
73,4000,0.4
73,10000,0.36
73,150000,0.16
74,40,0.5
74,70,0.5
74,100,0.5
74,500,0.48
74,1000,0.46
74,2000,0.43
74,4000,0.4
74,10000,0.36
74,150000,0.16
75,40,0.5
75,70,0.5
75,100,0.5
75,500,0.49
75,1000,0.46
75,2000,0.43
75,4000,0.4
75,10000,0.35
75,150000,0.19
76,40,0.54
76,70,0.53
76,100,0.53
76,500,0.49
76,1000,0.46
76,2000,0.42
76,4000,0.4
76,10000,0.35
76,150000,0.18
77,40,0.51
77,70,0.51
77,100,0.51
77,500,0.49
77,1000,0.47
77,2000,0.43
77,4000,0.4
77,10000,0.35
77,150000,0.2
78,40,0.54
78,70,0.53
78,100,0.53
78,500,0.49
78,1000,0.46
78,2000,0.42
78,4000,0.4
78,10000,0.35
78,150000,0.18
79,40,0.51
79,70,0.51
79,100,0.51
79,500,0.49
79,1000,0.47
79,2000,0.43
79,4000,0.4
79,10000,0.35
79,150000,0.2
80,40,0.51
80,70,0.51
80,100,0.51
80,500,0.49
80,1000,0.47
80,2000,0.43
80,4000,0.4
80,10000,0.35
80,150000,0.2
81,40,0.54
81,70,0.53
81,100,0.53
81,500,0.49
81,1000,0.46
81,2000,0.42
81,4000,0.4
81,10000,0.35
81,150000,0.18
82,40,0.51
82,70,0.51
82,100,0.51
82,500,0.49
82,1000,0.46
82,2000,0.42
82,4000,0.39
82,10000,0.33
82,150000,0.22
83,40,0.49
83,70,0.49
83,100,0.49
83,500,0.47
83,1000,0.45
83,2000,0.41
83,4000,0.38
83,10000,0.34
83,150000,0.22
84,40,0.51
84,70,0.51
84,100,0.51
84,500,0.49
84,1000,0.46
84,2000,0.42
84,4000,0.39
84,10000,0.33
84,150000,0.22
85,40,0.49
85,70,0.49
85,100,0.49
85,500,0.47
85,1000,0.45
85,2000,0.41
85,4000,0.38
85,10000,0.34
85,150000,0.22
86,40,0.49
86,70,0.49
86,100,0.49
86,500,0.47
86,1000,0.45
86,2000,0.41
86,4000,0.38
86,10000,0.34
86,150000,0.22
87,40,0.51
87,70,0.51
87,100,0.51
87,500,0.49
87,1000,0.46
87,2000,0.42
87,4000,0.39
87,10000,0.33
87,150000,0.22
88,40,0.5
88,70,0.5
88,100,0.5
88,500,0.49
88,1000,0.46
88,2000,0.43
88,4000,0.4
88,10000,0.35
88,150000,0.19
89,40,0.5
