Id,Tinfilt[s],Cumul_Infiltration[mm]
15,0,0
15,14,11.8125
15,39,23.625
15,63,35.4375
15,90,46.6875
15,114,57.375
15,145,68.0625
15,172,78.75
15,198,90
15,228,100.125
15,255,109.6875
15,283,119.25
15,310,128.8125
15,339,138.375
15,368,147.375
15,393,156.375
15,421,165.375
15,449,174.375
15,475,183.375
15,501,191.8125
15,534,200.25
15,555,208.125
15,577,216.5625
15,603,225
15,635,235.125
15,673,247.5
15,712,259.3125
15,749,271.125
15,788,282.9375
15,828,294.1875
15,862,304.875
15,898,316.6875
15,938,327.375
15,975,338.625
15,1012,350.4375
15,1049,361.125
15,1088,371.25
15,1123,381.375
15,1154,391.5
15,1188,401.0625
15,1223,410.0625
15,1257,419.625
15,1289,428.625
15,1323,437.625
15,1353,446.625
15,1387,455.625
15,1416,464.0625
15,1448,472.5
15,1477,480.375
15,1514,490.5
15,1559,502.875
15,1606,515.25
15,1653,527.0625
15,1700,538.875
15,1737,550.6875
15,1781,561.375
15,1824,572.625
15,1865,584.4375
15,1909,594.5625
15,1949,604.6875
15,1989,615.375
15,2028,625.5
15,2067,636.1875
15,2106,645.75
15,2144,655.3125
15,2183,664.875
15,2222,675
15,2259,684.5625
15,2298,693.5625
15,2333,702.5625
15,2369,711.5625
15,2401,719.4375
15,2435,728.4375
15,2469,736.3125
15,2501,745.3125
15,2537,753.1875
15,2571,758.8125
15,2607,768.9375
15,2643,777.9375
15,2682,788.0625
15,2729,799.875
15,2781,812.25
15,2829,824.0625
15,2877,836.4375
15,2928,848.8125
15,2978,860.625
15,3027,871.875
15,3075,883.125
15,3122,894.375
15,3168,905.0625
15,3210,915.75
15,3254,925.875
15,3298,937.125
15,3343,946.6875
15,3385,956.8125
15,3427,966.9375
15,3467,976.5
15,3508,986.0625
15,3550,995.0625
15,3587,1004.0625
15,3626,1013.0625
15,3664,1022.0625
15,3700,1031.0625
15,3735,1039.5
15,3772,1047.9375
15,3806,1056.375
15,3843,1064.8125
15,3892,1075.5
15,3941,1086.75
15,3990,1098
15,4037,1108.6875
15,4086,1119.9375
15,4131,1130.0625
15,4178,1141.3125
15,4223,1152
15,4270,1162.6875
15,4314,1172.25
15,4355,1181.8125
15,4398,1191.375
15,4440,1200.9375
15,4482,1211.0625
15,4522,1220.0625
15,4561,1229.0625
15,4600,1237.5
15,4640,1245.9375
15,4679,1254.375
15,4716,1262.8125
15,4751,1270.6875
15,4786,1279.125
15,4823,1287
15,4857,1294.875
15,4891,1302.75
16,0,0
16,11,4.5
16,33,8.75
16,54,13.25
16,71,17.25
16,91,21.5
16,110,25.5
16,129,29.5
16,151,34.25
16,175,39.25
16,202,44.5
16,225,49.5
16,249,54.5
16,272,59
16,294,64
16,318,69
16,342,73.25
16,364,78
16,387,82.5
16,412,86.75
16,434,91
16,457,95.25
16,479,99.75
16,506,103.75
16,525,107.75
16,547,111.25
16,566,115.25
16,588,119
16,609,122.75
16,633,126.25
16,653,129.75
16,680,134.5
16,701,138.25
16,726,143.75
16,755,149
16,785,154.25
16,817,159.25
16,848,164.25
16,877,169
16,905,174.25
16,936,179
16,966,184
16,997,188.5
16,1024,193.25
16,1055,198
16,1083,202.25
16,1110,207
16,1139,211.25
16,1166,215.5
16,1199,219.75
16,1222,223.75
16,1249,227.75
16,1275,231.75
16,1300,235.5
16,1326,239.25
16,1351,243.25
16,1375,246.75
16,1402,250.5
16,1424,253.75
16,1458,258.75
16,1493,264.25
16,1530,269.5
16,1566,274.75
16,1601,279.5
16,1634,284.25
16,1671,289.5
16,1704,294
16,1737,299
16,1771,303.75
16,1806,308.5
16,1838,313
16,1870,317.25
16,1902,322
16,1934,326
16,1966,330.25
16,1996,334.25
16,2025,338.25
16,2055,342.25
16,2084,346.25
16,2113,349.75
16,2142,353.5
16,2169,357.5
16,2198,360.75
16,2225,364.5
16,2253,368
16,2280,371.5
16,2307,375
16,2349,380.25
16,2387,385.25
16,2426,390
16,2467,395
16,2502,400
16,2541,405
16,2580,410
16,2616,414.5
16,2657,419
16,2689,423.5
16,2724,427.75
16,2759,432
16,2795,436
16,2827,440
16,2860,444
16,2893,448.25
16,2926,452.25
16,2958,456.25
16,2992,460.25
16,3023,463.75
16,3056,467.5
16,3088,471.25
16,3121,475
16,3161,479.5
16,3203,484.25
16,3245,489
16,3282,493.5
16,3322,498
16,3361,502.5
16,3397,506.75
16,3436,511
16,3474,515
16,3511,519.25
16,3548,523.25
16,3584,527.25
16,3619,531
16,3653,534.5
16,3687,538.5
16,3720,542.25
16,3753,545.75
16,3788,549.25
16,3820,552.75
16,3858,557
16,3894,561
16,3932,565
16,3969,569
16,4006,573
16,4041,576.5
16,4076,580.25
16,4110,583.75
16,4144,587.25
16,4178,591
16,4211,594.5
16,4241,597.25
16,4665,635.75
16,4707,640.75
16,4773,645.5
16,4842,650.25
16,4910,655.25
16,4987,659.75
16,5056,664.25
16,5129,669
16,5197,673.5
16,5273,677.75
16,5343,682.25
16,5414,686.5
16,5482,690.75
16,5556,694.75
16,5620,698.75
16,5683,702.75
16,5747,706.25
16,5812,710
16,5874,713.75
16,5937,717.75
16,6002,721.5
16,6096,726.25
16,6183,731.5
16,6267,736.5
16,6355,741.25
16,6436,746
16,6521,750.5
16,6612,755.25
16,6686,759.75
16,6771,764
16,6852,768.5
16,6934,772.75
16,7017,777
16,7089,781
16,7164,785
16,7237,789
16,7311,793
16,7377,796.5
16,7445,800.5
16,7513,804.25
16,7579,807.75
16,7647,811
16,8209,840.75
16,8312,845.75
16,8407,851
16,8497,856.25
16,8586,861.25
16,8677,866
16,8768,870.75
16,8856,875.75
16,8947,880.25
16,9037,885
16,9123,889.25
16,9212,893.75
16,9294,898.25
16,9377,902.5
16,9459,906.5
16,9544,910.75
16,9625,915
16,9698,919
16,9775,923
16,9853,926.75
16,10010,930.5
16,10103,934.25
16,10169,937.75
16,10246,941.75
16,10307,945.25
16,10343,950.5
16,10436,955.5
16,10532,960
16,10624,965
16,10719,969.75
16,10808,974.25
16,10899,978.5
16,10987,983.25
16,11078,987.25
16,11159,991.5
16,11245,995.75
16,11327,1000
16,11415,1004
16,11495,1007.75
16,11574,1011.75
16,11654,1015.5
16,11730,1019
16,11808,1022.75
16,11883,1026.5
16,11961,1030.25
16,12038,1034
16,12116,1037.5
16,12191,1041.25
16,12264,1044.75
16,12343,1048
16,12428,1051.75
16,12483,1055
16,12551,1058.25
17,0,0
17,9,5.25
17,16,10
17,25,15
17,35,77.875
17,42,89.125
17,49,98.6875
17,57,109.375
17,64,118.9375
17,71,129.0625
17,79,139.1875
17,86,148.75
17,94,158.3125
17,101,167.3125
17,108,176.3125
17,116,185.3125
17,125,201.625
17,133,210.625
17,140,219.0625
17,148,227.5
17,155,236.5
17,164,250.5625
17,169,264.625
17,260,364.75
17,269,374.875
17,284,386.6875
17,297,396.8125
17,312,408.0625
17,328,418.1875
17,342,429.4375
17,356,440.6875
17,368,450.8125
17,384,460.375
17,398,469.9375
17,414,479.5
17,424,489.0625
17,438,498.0625
17,452,507.0625
17,466,516.625
17,479,525.0625
17,491,534.0625
17,503,542.5
17,517,549.8125
17,529,558.25
17,542,566.125
17,554,573.4375
17,566,581.3125
17,579,589.1875
17,593,598.1875
17,610,609.4375
17,627,619.5625
17,644,630.25
17,663,641.5
17,681,653.3125
17,699,663.4375
17,717,674.125
17,734,684.25
17,751,694.375
17,768,704.5
17,784,714.0625
17,801,723.625
17,817,733.75
17,834,742.75
17,850,751.75
17,867,760.75
17,884,769.75
17,902,778.1875
17,917,786.625
17,931,794.5
17,945,802.9375
17,958,810.8125
17,972,818.6875
17,987,827.125
17,1006,837.25
17,1028,847.9375
17,1049,859.75
17,1070,870.4375
17,1090,880.5625
17,1109,890.125
17,1128,901.375
17,1150,911.5
17,1170,921.625
17,1189,931.1875
17,1208,941.3125
17,1227,951.4375
17,1246,960.4375
17,1265,970
17,1284,979
17,1302,988
17,1318,996.4375
17,1335,1005.4375
17,1352,1013.3125
17,1368,1021.75
17,1385,1030.1875
17,1403,1038.625
17,1418,1046.5
17,1434,1054.375
17,1454,1063.9375
17,1478,1075.1875
17,1502,1085.3125
17,1524,1096.5625
17,1546,1107.25
17,1570,1117.375
17,1592,1126.9375
17,1613,1136.5
17,1635,1146.0625
17,1656,1155.625
17,1678,1164.625
17,1698,1174.75
17,1719,1183.75
17,1739,1191.625
17,1758,1200.625
17,1778,1209.0625
17,1797,1217.5
17,1816,1225.9375
17,1835,1234.375
17,1854,1242.25
17,1874,1250.6875
17,1900,1260.25
17,1922,1269.8125
17,1946,1279.375
17,1968,1288.375
17,1990,1297.375
17,2012,1306.375
17,2035,1315.375
17,2054,1324.375
17,2076,1332.25
17,2100,1340.6875
17,2121,1348.5625
17,2143,1356.4375
17,2159,1362.625
17,2182,1371.625
17,2207,1382.3125
17,2232,1391.875
17,2257,1402
17,2281,1411.5625
17,2305,1421.125
17,2333,1431.8125
17,2362,1441.9375
17,2389,1452.625
17,2416,1463.875
17,2443,1474
17,2475,1484.6875
17,2498,1495.375
17,2523,1504.9375
17,2550,1514.5
17,2576,1523.5
17,2601,1532.5
17,2625,1541.5
17,2650,1550.5
17,2673,1559.5
17,2698,1567.375
17,2720,1575.8125
17,2742,1584.25
17,2766,1592.6875
17,2790,1601.125
17,2815,1610.125
17,2845,1620.8125
17,2877,1630.9375
17,2908,1641.0625
17,2938,1651.75
17,2970,1661.875
17,3000,1672
17,3029,1681.5625
17,3056,1691.6875
17,3086,1701.25
17,3113,1710.25
17,3145,1720.9375
17,3176,1732.75
17,3212,1743.4375
17,3243,1753.5625
17,3275,1764.8125
17,3307,1774.9375
17,3337,1784.5
17,3368,1794.0625
17,3398,1804.75
17,3428,1813.75
17,3457,1823.3125
17,3485,1832.3125
17,3514,1841.3125
17,3543,1850.3125
17,3570,1859.3125
17,3597,1868.3125
17,3624,1876.75
17,3651,1885.1875
17,3676,1893.625
17,3703,1902.0625
17,3735,1912.1875
17,3772,1922.875
17,3807,1934.6875
17,3842,1944.8125
17,3872,1955.5
17,3909,1966.1875
17,3943,1976.875
17,3976,1986.4375
17,4010,1996.5625
17,4045,2006.125
17,4078,2016.25
17,4112,2025.8125
17,4142,2034.8125
17,4177,2043.8125
17,4206,2052.8125
17,4238,2061.8125
17,4267,2070.25
17,4297,2078.6875
17,4326,2087.125
17,4356,2095.5625
17,4383,2103.4375
17,4417,2113
17,4462,2124.25
17,4502,2136.0625
17,4543,2146.75
17,4577,2158.5625
17,4619,2169.8125
17,4659,2179.9375
17,4698,2190.625
17,4736,2200.75
17,4775,2210.3125
17,4812,2221
17,4854,2230.5625
17,4886,2239.5625
17,4921,2248.5625
17,4956,2258.125
17,4991,2267.125
17,5026,2276.125
17,5062,2285.125
17,5092,2293.5625
17,5125,2302.5625
17,5157,2310.4375
17,5189,2318.3125
17,5221,2326.75
17,5253,2334.625
17,5347,2358.25
17,5393,2368.9375
17,5436,2381.875
17,5483,2392
17,5526,2403.25
17,5571,2413.375
17,5613,2424.0625
17,5655,2434.1875
17,5696,2443.75
17,5736,2455
17,5779,2465.125
17,5819,2474.125
17,5856,2483.6875
17,5898,2492.125
17,5935,2501.125
17,5973,2510.125
17,6010,2519.125
17,6043,2528.125
17,6083,2536.5625
17,6114,2544.4375
17,6150,2545
17,6158,2553.4375
17,6185,2561.3125
17,6217,2568.625
17,6258,2578.1875
17,6305,2588.875
17,6349,2599.5625
17,6392,2609.125
17,6435,2619.25
17,6477,2629.375
17,6518,2639.5
17,6560,2648.5
17,6602,2658.0625
17,6640,2667.625
17,6698,2676.0625
17,6725,2685.0625
17,6778,2694.0625
17,6823,2701.9375
17,6840,2710.375
17,6895,2718.8125
17,6922,2726.6875
17,6948,2732.875
17,6984,2741.3125
17,7029,2751.4375
17,7074,2761
17,7123,2772.25
17,7171,2782.375
17,7219,2792.5
17,7269,2803.1875
17,7316,2813.3125
17,7364,2822.875
17,7409,2832.4375
17,7462,2842
17,7494,2848.75
17,7547,2859.4375
17,7615,2873.5
17,7666,2885.3125
17,7719,2897.125
17,7782,2908.375
17,7826,2919.625
17,7883,2930.875
17,7928,2941.5625
17,7986,2952.8125
17,8030,2962.9375
17,8079,2973.625
17,8130,2983.75
17,8178,2994.4375
17,8235,3004
17,8281,3013.5625
17,8321,3023.125
17,8366,3032.6875
17,8422,3041.6875
17,8458,3052.375
17,8503,3062.5
17,8547,3070.9375
17,8591,3079.9375
17,8634,3088.375
17,8705,3096.8125
17,8736,3105.25
17,8768,3113.125
17,8808,3121
17,8847,3129.4375
17,8891,3139
17,8937,3150.25
17,8992,3160.9375
17,9057,3172.1875
17,9111,3182.3125
17,9163,3193
17,9216,3203.125
17,9268,3213.8125
17,9309,3223.9375
17,9369,3234.0625
17,9417,3243.625
17,9468,3253.1875
17,9518,3263.3125
17,9567,3272.3125
17,9607,3281.3125
17,9677,3289.75
17,9724,3298.75
17,9747,3307.1875
17,9806,3316.1875
17,9840,3324.625
17,9882,3333.0625
17,9928,3341.5
17,9985,3352.1875
17,10040,3362.875
17,10090,3373
17,10156,3383.6875
17,10203,3393.8125
17,10260,3403.375
17,10322,3414.0625
17,10374,3423.625
17,10426,3433.1875
17,10470,3442.1875
17,10520,3451.1875
17,10569,3460.1875
17,10621,3469.1875
17,10665,3478.1875
17,10714,3486.625
17,10769,3494.5
17,10815,3502.9375
17,10858,3510.8125
17,10899,3518.125
17,10942,3526
17,10985,3533.875
17,11047,3545.125
17,11107,3555.8125
17,11171,3566.5
17,11242,3576.625
17,11291,3586.1875
17,11347,3596.3125
17,11408,3605.875
17,11460,3616
17,11519,3625
17,11574,3634
17,11627,3643
17,11679,3652.5625
17,11732,3661
17,11782,3669.4375
17,11835,3678.4375
17,11898,3689.125
17,11962,3699.8125
17,12027,3709.9375
17,12087,3720.0625
17,12156,3730.75
17,12208,3740.3125
17,12269,3749.875
17,12326,3759.4375
17,12382,3768.4375
17,12441,3779.125
17,12531,3788.125
17,12555,3797.125
17,12618,3806.125
17,12684,3815.125
17,12713,3823.5625
17,12763,3832
17,12813,3839.3125
17,12863,3847.75
17,12921,3856.1875
17,12963,3864.625
17,13010,3873.0625
17,13512,3963.0625
17,13557,3973.1875
17,13617,3982.75
17,13670,3992.3125
17,13723,4001.3125
17,13781,4010.875
17,13839,4020.4375
17,13903,4030
17,13978,4041.25
17,14060,4052.5
17,14136,4062.625
17,14210,4073.875
17,14283,4084
17,14360,4094.125
17,14432,4104.25
17,14505,4113.8125
17,14580,4123.375
17,14636,4132.9375
17,14720,4144.75
17,14788,4156
17,14873,4166.6875
17,14955,4177.9375
17,15039,4189.75
17,15122,4199.875
17,15212,4210.5625
17,15281,4220.125
17,15372,4230.25
17,15433,4240.375
17,15496,4248.8125
17,15569,4258.9375
17,15640,4268.5
17,15713,4278.0625
17,15786,4286.5
17,15872,4295.5
17,15935,4303.375
17,15990,4312.375
17,16058,4320.8125
17,16123,4329.25
17,16187,4337.6875
17,16279,4348.9375
17,16362,4360.1875
17,16446,4370.3125
17,16537,4380.4375
17,16613,4391.125
17,16725,4400.6875
17,16786,4410.8125
17,16854,4420.9375
17,16928,4429.375
17,17004,4438.375
17,17077,4447.375
17,17153,4456.375
17,17224,4465.375
17,17295,4473.8125
17,17368,4482.8125
17,17432,4491.25
17,17507,4499.6875
17,17567,4507.5625
17,17635,4516
17,17701,4523.875
17,17793,4535.125
17,17911,4546.375
17,17977,4556.5
17,18068,4567.1875
17,18156,4577.3125
17,18244,4586.875
17,18341,4597.5625
17,18420,4607.6875
17,18500,4617.8125
17,18585,4627.375
17,18668,4636.375
17,18762,4644.8125
17,18826,4652.6875
17,18905,4661.6875
17,18981,4670.6875
17,19057,4679.125
17,19132,4688.125
17,19204,4696
17,19301,4704.4375
17,19350,4712.875
17,19436,4720.1875
17,19492,4728.0625
17,19565,4735.375
17,19621,4742.6875
17,19665,4747.1875
17,19725,4753.9375
17,19815,4764.625
17,19947,4774.1875
17,20024,4783.75
17,20097,4793.3125
17,20186,4802.875
17,20270,4813
17,20338,4822.5625
17,20421,4832.6875
17,20505,4842.25
17,20588,4851.25
17,20677,4859.125
17,20756,4867.5625
17,20826,4876
17,20913,4883.3125
17,20973,4890.625
17,21046,4899.0625
17,21117,4907.5
17,21190,4915.9375
17,21291,4927.75
17,21395,4938.4375
17,21494,4949.6875
17,21588,4959.8125
17,21683,4970.5
17,21777,4981.75
17,21869,4991.3125
17,21955,5002
17,22047,5012.125
17,22141,5021.6875
17,22224,5030.6875
17,22308,5040.25
17,22388,5049.25
17,22479,5058.25
17,22550,5066.6875
17,22626,5075.6875
17,22697,5084.125
17,22772,5092
17,22846,5099.875
17,22919,5107.75
17,23017,5119.5625
17,23116,5130.25
17,23208,5140.375
17,23301,5151.0625
17,23393,5161.1875
17,23485,5171.3125
17,23576,5180.875
17,23678,5191.5625
17,23758,5201.125
17,23848,5210.6875
17,23932,5219.6875
17,24017,5228.6875
17,24101,5237.6875
17,24184,5246.6875
17,24268,5255.125
17,24347,5263
17,24423,5271.4375
17,24501,5279.875
17,24580,5288.3125
17,24686,5299
17,24790,5310.25
17,24895,5320.9375
17,24999,5332.1875
17,25107,5342.875
17,25208,5352.4375
17,25307,5362.5625
17,25411,5373.25
17,25542,5382.8125
17,25611,5392.375
17,25707,5401.375
17,25802,5410.375
17,25895,5419.375
17,25990,5428.375
17,26115,5440.75
17,26233,5452
17,26350,5463.8125
17,26465,5474.5
17,26581,5485.1875
17,26694,5495.875
17,26814,5506.5625
17,26926,5516.6875
17,27038,5526.25
17,27150,5535.8125
17,27256,5545.9375
17,27369,5555.5
17,27471,5565.0625
17,27586,5574.0625
17,27674,5583.0625
17,27769,5592.0625
17,27869,5601.0625
17,27968,5609.5
17,28061,5617.9375
17,28181,5628.625
17,28304,5640.4375
17,28426,5650.5625
17,28539,5661.8125
17,28657,5671.9375
17,28771,5682.625
17,28887,5692.75
17,29001,5702.875
17,29109,5712.4375
17,29236,5723.6875
17,29359,5733.8125
17,29481,5745.0625
17,29600,5756.3125
17,29724,5766.4375
17,29852,5777.125
17,29966,5786.6875
17,30066,5796.25
17,30180,5805.8125
17,30294,5815.375
17,30403,5824.375
17,30510,5833.375
17,30620,5842.375
17,30720,5850.25
17,30819,5858.6875
17,30914,5867.6875
18,0,0
18,34,4.75
18,67,9.75
18,103,14.5
18,140,19.25
18,179,24
18,219,28.75
18,255,32.75
18,303,38
18,354,43
18,404,48.25
18,455,53.5
18,502,58.75
18,552,63.75
18,599,69
18,646,74.25
18,693,79.25
18,745,83.75
18,795,88.5
18,843,93.25
18,895,97.5
18,945,102.25
18,994,106.25
18,1041,110.5
18,1090,114.5
18,1136,118.5
18,1183,122.5
18,1229,126.5
18,1272,130.5
18,1316,134.5
18,1363,138.5
18,1430,143.75
18,1490,148.75
18,1551,154.25
18,1614,159.25
18,1670,164.5
18,1724,169.5
18,1777,174.25
18,1829,179.25
18,1885,184
18,1938,189.25
18,1996,193.75
18,2050,198.5
18,2105,202.75
18,2156,207
18,2206,211.75
18,2256,216.25
18,2304,220.5
18,2352,224.5
18,2398,228.5
18,2481,235.75
18,2527,239.5
18,2581,243.25
18,2719,248.75
18,2784,254
18,2848,259.5
18,2910,264.75
18,2972,270
18,3030,274.75
18,3090,279.75
18,3151,284.25
18,3209,289.25
18,3266,293.75
18,3325,298.5
18,3379,303.25
18,3436,308
18,3493,312.25
18,3552,316.75
18,3625,322
18,3696,327.5
18,3764,332.75
18,3831,337.75
18,3896,342.75
18,3960,347.75
18,4020,353
18,4084,357.5
18,4145,362.5
18,4210,367
18,4268,371.75
18,4327,376.25
18,4387,380.5
18,4445,385.25
18,4499,389.5
18,4555,393.75
18,4609,397.75
18,4661,402
18,4715,406
18,4767,409.75
18,4818,413.5
18,4869,417.25
18,4919,420.75
18,4966,424.5
18,5012,428.25
18,5060,432
18,5119,436.5
18,5187,441.75
18,5254,446.5
18,5320,451.5
18,5385,456.25
18,5450,461
18,5513,465.5
18,5575,470.25
18,5636,474.75
18,5696,479
18,5756,483.75
18,5818,488
18,5879,492.25
18,5936,496.5
18,5992,500.5
18,6049,504.5
18,6103,508.5
18,6158,512.75
18,6224,517.5
18,6294,522.75
18,6366,527.5
18,6432,532.75
18,6503,537.75
18,6570,542.25
18,6633,547
18,6697,551.5
18,6761,555.75
18,6825,560.5
18,6887,565.25
18,6952,572.5
18,7050,576.75
18,7113,584.5
18,7223,591.5
18,7322,599.25
18,7434,607.75
18,7513,613.25
18,7591,618.75
18,7668,624
18,7740,629.25
18,7812,634.25
18,7884,639.5
18,7956,647.5
18,8069,652.25
18,8137,659.75
18,8249,668.25
18,8401,676.5
18,8497,685.75
18,8507,694
18,8622,701.75
18,8722,711.25
18,8731,718.25
18,8829,722.25
18,8885,729.25
18,8996,738.25
18,9117,746.75
18,9240,755.5
18,9370,763.5
18,9484,771.75
18,9609,779
18,9718,786
18,9824,792.75
18,9924,800
18,10024,806.25
19,0,0
19,9,4.5
19,99,9.75
19,317,14.75
19,550,19.25
19,808,24.25
19,1050,28.75
19,1294,33.5
19,1519,38
19,1757,42.5
19,2018,47.25
19,2264,51.75
19,2512,56.25
19,2746,60.75
19,2962,65
19,3186,69.75
19,3457,75.25
19,3690,80.5
19,3883,85.5
19,4062,90.5
19,4235,95.5
19,4410,100.25
19,4570,105.25
19,4735,110
19,4910,114.75
19,5065,119
19,5223,123.5
19,5377,127.75
19,5563,133.25
19,5747,138.75
19,5944,143.75
19,6130,148.75
19,6314,153.5
19,6524,158.5
19,6746,163.5
19,6933,168.25
19,7113,173.25
19,7296,177.75
19,7482,182
19,7666,187
19,7859,191.25
19,8031,195.5
19,8203,199.5
19,8371,203.75
19,8532,207.75
19,8692,211.75
19,8852,215.5
19,9000,219.25
19,9162,223.25
19,9385,228.75
19,9602,233.75
19,9809,239.5
19,10025,244.25
19,10222,249.25
19,10412,254
19,10605,259.25
19,10996,270.75
19,11352,275.25
19,11541,279.5
19,11708,283.75
20,0,0
20,10,9.5
20,17,14.25
20,25,19
20,32,23.75
20,43,28.5
20,54,32.5
20,63,37
20,76,41.25
20,88,45.25
20,105,51
20,123,56.25
20,141,61.5
20,160,66.25
20,178,71.5
20,197,76.75
20,217,81.25
20,235,85.75
20,255,90
20,272,95
20,291,99.75
20,313,105
20,334,110
20,357,115.25
20,380,120.75
20,403,126
20,426,131.25
20,449,136.25
20,472,141
20,495,146
20,516,151
20,541,155.5
20,562,160.5
20,582,165
20,605,169.5
20,626,173.75
20,648,178
20,667,182.25
20,689,186.5
20,709,190.25
20,725,194.5
20,745,198.5
20,765,202.5
20,794,207.75
20,819,213
20,845,218.5
20,871,223.75
20,896,229
20,921,234
20,945,238.75
20,971,243.75
20,996,248.75
20,1021,253.5
20,1043,258.25
20,1068,262.75
20,1091,267.25
20,1116,272.5
20,1139,276.75
20,1153,281
20,1182,285.25
20,1203,289.75
20,1225,293.5
20,1246,297.5
20,1266,301
20,1284,305.25
20,1306,308.25
20,1323,311.25
20,1338,314.5
20,1354,318.25
20,1373,322.25
20,1395,326.75
20,1420,332
20,1447,337.75
20,1472,343.5
20,1499,349
20,1526,354.25
20,1553,359.25
20,1581,364.5
20,1609,369.25
20,1632,374.5
20,1658,379.25
20,1684,384
20,1709,389
20,1733,393
20,1755,397.5
20,1778,401.75
20,1802,405.75
20,1822,410.25
20,1847,414
20,1866,417.5
20,1892,422.25
20,1920,427.25
20,1946,432.5
20,1974,437.75
20,2000,442.75
20,2026,448
20,2054,452.75
20,2078,457.5
20,2103,462.25
20,2131,466.5
20,2152,471.5
20,2177,475.75
20,2203,479.75
20,2223,484.25
20,2247,488.75
20,2270,493.25
20,2292,497.5
20,2314,500.75
20,2333,505
20,2356,508.5
20,2374,512.25
20,2394,515.75
20,2414,519.5
20,2434,522.5
20,2451,526
20,2464,528.75
20,2484,531.75
20,2502,535
20,2518,538
20,2537,541.5
20,2565,547.25
20,2593,552.25
20,2620,557.25
20,2648,562.5
20,2676,567.5
20,2702,572.25
20,2730,577.25
20,2756,581.75
20,2782,586.75
20,2808,591.25
20,2832,595.5
20,2857,600.25
20,2882,604.5
20,2906,608.75
20,2930,613.5
20,2954,617.75
20,2980,622.5
20,3009,627.5
20,3038,633
20,3067,638.25
20,3093,643
20,3121,648
20,3148,653
20,3175,657.75
20,3202,662.75
20,3227,667.5
20,3255,671.75
20,3279,676
20,3305,680.5
20,3330,684.75
20,3355,689.25
20,3379,693.75
20,3404,697.75
20,3427,701.75
20,3450,706
20,3473,709.75
20,3495,713.75
20,3516,717.25
20,3539,720.75
20,3555,724
20,3575,727.75
20,3597,731.25
20,3615,734.25
20,3633,737.75
20,3652,740.5
20,3668,743.25
20,3690,747
20,3714,751.5
20,3738,756
20,3767,760.25
20,3786,764.5
20,3809,768.75
20,3834,772.75
20,3858,776.5
20,3881,780.5
20,3901,783.75
20,3917,787.25
20,3939,790.5
