Id,BulkDensitySoil[g_cm-3],ParticleDensity_Fine[g_cm-3],Density_Rock[g_cm-3],Rock[0_1]
15,1.21,2.62,2.65,0
16,1.2,2.63,2.65,0
17,1.17,2.61,2.65,0
18,1.14,2.6,2.65,0
19,1.14,2.58,2.65,0
20,1.1,2.63,2.65,0
21,1.06,2.61,2.65,0
22,1.15,2.61,2.65,0
23,1.19,2.62,2.65,0
24,1.27,2.64,2.65,0
25,1.16,2.61,2.65,0
26,1.17,2.61,2.65,0
27,1.1,2.6,2.65,0
28,1.2,2.63,2.65,0
29,1.21,2.62,2.65,0
30,1.16,2.61,2.65,0
32,1.27,2.64,2.65,0
33,1.16,2.61,2.65,0
34,1.27,2.64,2.65,0
36,1.27,2.64,2.65,0
37,1.16,2.61,2.65,0
38,1.17,2.61,2.65,0
39,1.1,2.6,2.65,0
40,1.1,2.6,2.65,0
41,1.17,2.61,2.65,0
42,1.1,2.6,2.65,0
43,1.17,2.61,2.65,0
44,1.21,2.62,2.65,0
45,1.2,2.63,2.65,0
46,1.2,2.63,2.65,0
47,1.21,2.62,2.65,0
48,1.21,2.62,2.65,0
49,1.2,2.63,2.65,0
50,1.15,2.61,2.65,0
51,1.19,2.62,2.65,0
52,1.19,2.62,2.65,0
53,1.15,2.61,2.65,0
54,1.15,2.61,2.65,0
55,1.19,2.62,2.65,0
56,1.1,2.63,2.65,0
57,1.06,2.61,2.65,0
58,1.1,2.63,2.65,0
59,1.06,2.61,2.65,0
60,1.1,2.63,2.65,0
61,1.06,2.61,2.65,0
62,1.1,2.63,2.65,0
63,1.14,2.58,2.65,0
64,1.14,2.6,2.65,0
65,1.14,2.6,2.65,0
66,1.14,2.58,2.65,0
67,1.14,2.6,2.65,0
69,1.14,2.58,2.65,0
70,1.2,2.63,2.65,0
71,1.21,2.62,2.65,0
72,1.2,2.63,2.65,0
73,1.21,2.62,2.65,0
74,1.21,2.62,2.65,0
75,1.2,2.63,2.65,0
76,1.1,2.6,2.65,0
77,1.17,2.61,2.65,0
78,1.1,2.6,2.65,0
79,1.17,2.61,2.65,0
80,1.17,2.61,2.65,0
81,1.1,2.6,2.65,0
82,1.16,2.61,2.65,0
83,1.27,2.64,2.65,0
84,1.16,2.61,2.65,0
85,1.27,2.64,2.65,0
86,1.27,2.64,2.65,0
87,1.16,2.61,2.65,0
88,1.2,2.63,2.65,0
89,1.21,2.62,2.65,0
90,1.21,2.62,2.65,0
91,1.2,2.63,2.65,0
92,1.21,2.62,2.65,0
93,1.2,2.63,2.65,0
94,1.1,2.6,2.65,0
95,1.17,2.61,2.65,0
96,1.17,2.61,2.65,0
97,1.1,2.6,2.65,0
98,1.1,2.6,2.65,0
99,1.17,2.61,2.65,0
100,1.17,2.61,2.65,0
101,1.1,2.6,2.65,0
102,1.16,2.61,2.65,0
103,1.27,2.64,2.65,0
104,1.27,2.64,2.65,0
105,1.16,2.61,2.65,0
106,1.16,2.61,2.65,0
107,1.27,2.64,2.65,0
108,1.19,2.62,2.65,0
109,1.19,2.62,2.65,0
110,1.15,2.61,2.65,0
111,1.15,2.61,2.65,0
112,1.15,2.61,2.65,0
113,1.19,2.62,2.65,0
114,1.19,2.62,2.65,0
115,1.06,2.61,2.65,0
116,1.1,2.63,2.65,0
117,1.1,2.63,2.65,0
118,1.1,2.63,2.65,0
119,1.06,2.61,2.65,0
120,1.06,2.61,2.65,0
121,1.14,2.6,2.65,0
122,1.14,2.6,2.65,0
123,1.14,2.58,2.65,0
124,1.14,2.58,2.65,0
125,1.14,2.6,2.65,0
126,1.14,2.58,2.65,0
127,1.2,2.63,2.65,0
128,1.21,2.62,2.65,0
129,1.2,2.63,2.65,0
130,1.21,2.62,2.65,0
131,1.21,2.62,2.65,0
132,1.2,2.63,2.65,0
133,1.1,2.6,2.65,0
134,1.17,2.61,2.65,0
135,1.17,2.61,2.65,0
136,1.1,2.6,2.65,0
137,1.17,2.61,2.65,0
138,1.1,2.6,2.65,0
139,1.16,2.61,2.65,0
140,1.27,2.64,2.65,0
141,1.16,2.61,2.65,0
142,1.27,2.64,2.65,0
143,1.16,2.61,2.65,0
144,1.27,2.64,2.65,0
145,1.14,2.58,2.65,0
146,1.14,2.6,2.65,0
147,1.06,2.61,2.65,0
148,1.1,2.63,2.65,0
149,1.15,2.61,2.65,0
150,1.19,2.62,2.65,0
151,1.15,2.61,2.65,0
152,1.19,2.62,2.65,0
153,1.14,2.58,2.65,0
154,1.14,2.6,2.65,0
155,1.14,2.58,2.65,0
156,1.14,2.6,2.65,0
157,1.1,2.63,2.65,0
158,1.06,2.61,2.65,0
159,1.06,2.61,2.65,0
160,1.1,2.63,2.65,0
161,1.15,2.61,2.65,0
162,1.19,2.62,2.65,0
163,1.15,2.61,2.65,0
164,1.1,2.6,2.65,0
