Id,Diameter[mm],Cumul_Psd
15,0.002,0.28
15,0.06,0.92
15,0.2,0.98
15,0.6,0.99
15,2,1
16,0.002,0.26
16,0.06,0.92
16,0.2,0.98
16,0.6,0.99
16,2,1
17,0.002,0.28
17,0.06,0.94
17,0.2,0.99
17,0.6,1
17,2,1
18,0.002,0.26
18,0.06,0.93
18,0.2,0.99
18,0.6,1
18,2,1
19,0.002,0.26
19,0.06,0.94
19,0.2,0.99
19,0.6,1
19,2,1
20,0.002,0.25
20,0.06,0.93
20,0.2,0.99
20,0.6,1
20,2,1
21,0.002,0.25
21,0.06,0.93
21,0.2,0.98
21,0.6,0.99
21,2,1
22,0.002,0.27
22,0.06,0.95
22,0.2,1
22,0.6,1
22,2,1
23,0.002,0.27
23,0.06,0.94
23,0.2,0.99
23,0.6,1
23,2,1
24,0.002,0.27
24,0.06,0.89
24,0.2,0.95
24,0.6,0.97
24,2,1
25,0.002,0.28
25,0.06,0.93
25,0.2,0.98
25,0.6,0.99
25,2,1
26,0.002,0.28
26,0.06,0.94
26,0.2,0.99
26,0.6,1
26,2,1
27,0.002,0.26
27,0.06,0.94
27,0.2,0.99
27,0.6,1
27,2,1
28,0.002,0.26
28,0.06,0.92
28,0.2,0.98
28,0.6,0.99
28,2,1
29,0.002,0.28
29,0.06,0.92
29,0.2,0.98
29,0.6,0.99
29,2,1
30,0.002,0.28
30,0.06,0.93
30,0.2,0.98
30,0.6,0.99
30,2,1
32,0.002,0.27
32,0.06,0.89
32,0.2,0.95
32,0.6,0.97
32,2,1
33,0.002,0.28
33,0.06,0.93
33,0.2,0.98
33,0.6,0.99
33,2,1
34,0.002,0.27
34,0.06,0.89
34,0.2,0.95
34,0.6,0.97
34,2,1
36,0.002,0.27
36,0.06,0.89
36,0.2,0.95
36,0.6,0.97
36,2,1
37,0.002,0.28
37,0.06,0.93
37,0.2,0.98
37,0.6,0.99
37,2,1
38,0.002,0.28
38,0.06,0.94
38,0.2,0.99
38,0.6,1
38,2,1
39,0.002,0.26
39,0.06,0.94
39,0.2,0.99
39,0.6,1
39,2,1
40,0.002,0.26
40,0.06,0.94
40,0.2,0.99
40,0.6,1
40,2,1
41,0.002,0.28
41,0.06,0.94
41,0.2,0.99
41,0.6,1
41,2,1
42,0.002,0.26
42,0.06,0.94
42,0.2,0.99
42,0.6,1
42,2,1
43,0.002,0.28
43,0.06,0.94
43,0.2,0.99
43,0.6,1
43,2,1
44,0.002,0.28
44,0.06,0.92
44,0.2,0.98
44,0.6,0.99
44,2,1
45,0.002,0.26
45,0.06,0.92
45,0.2,0.98
45,0.6,0.99
45,2,1
46,0.002,0.26
46,0.06,0.92
46,0.2,0.98
46,0.6,0.99
46,2,1
47,0.002,0.28
47,0.06,0.92
47,0.2,0.98
47,0.6,0.99
47,2,1
48,0.002,0.28
48,0.06,0.92
48,0.2,0.98
48,0.6,0.99
48,2,1
49,0.002,0.26
49,0.06,0.92
49,0.2,0.98
49,0.6,0.99
49,2,1
50,0.002,0.27
50,0.06,0.95
50,0.2,1
50,0.6,1
50,2,1
51,0.002,0.27
51,0.06,0.94
51,0.2,0.99
51,0.6,1
51,2,1
52,0.002,0.27
52,0.06,0.94
52,0.2,0.99
52,0.6,1
52,2,1
53,0.002,0.27
53,0.06,0.95
53,0.2,1
53,0.6,1
53,2,1
54,0.002,0.27
54,0.06,0.95
54,0.2,1
54,0.6,1
54,2,1
55,0.002,0.27
55,0.06,0.94
55,0.2,0.99
55,0.6,1
55,2,1
56,0.002,0.25
56,0.06,0.93
56,0.2,0.99
56,0.6,1
56,2,1
57,0.002,0.25
57,0.06,0.93
57,0.2,0.98
57,0.6,0.99
57,2,1
58,0.002,0.25
58,0.06,0.93
58,0.2,0.99
58,0.6,1
58,2,1
59,0.002,0.25
59,0.06,0.93
59,0.2,0.98
59,0.6,0.99
59,2,1
60,0.002,0.25
60,0.06,0.93
60,0.2,0.99
60,0.6,1
60,2,1
61,0.002,0.25
61,0.06,0.93
61,0.2,0.98
61,0.6,0.99
61,2,1
62,0.002,0.25
62,0.06,0.93
62,0.2,0.99
62,0.6,1
62,2,1
63,0.002,0.26
63,0.06,0.94
63,0.2,0.99
63,0.6,1
63,2,1
64,0.002,0.26
64,0.06,0.93
64,0.2,0.99
64,0.6,1
64,2,1
65,0.002,0.26
65,0.06,0.93
65,0.2,0.99
65,0.6,1
65,2,1
66,0.002,0.26
66,0.06,0.94
66,0.2,0.99
66,0.6,1
66,2,1
67,0.002,0.26
67,0.06,0.93
67,0.2,0.99
67,0.6,1
67,2,1
69,0.002,0.26
69,0.06,0.94
69,0.2,0.99
69,0.6,1
69,2,1
70,0.002,0.26
70,0.06,0.92
70,0.2,0.98
70,0.6,0.99
70,2,1
71,0.002,0.28
71,0.06,0.92
71,0.2,0.98
71,0.6,0.99
71,2,1
72,0.002,0.26
72,0.06,0.92
72,0.2,0.98
72,0.6,0.99
72,2,1
73,0.002,0.28
73,0.06,0.92
73,0.2,0.98
73,0.6,0.99
73,2,1
74,0.002,0.28
74,0.06,0.92
74,0.2,0.98
74,0.6,0.99
74,2,1
75,0.002,0.26
75,0.06,0.92
75,0.2,0.98
75,0.6,0.99
75,2,1
76,0.002,0.26
76,0.06,0.94
76,0.2,0.99
76,0.6,1
76,2,1
77,0.002,0.28
77,0.06,0.94
77,0.2,0.99
77,0.6,1
77,2,1
78,0.002,0.26
78,0.06,0.94
78,0.2,0.99
78,0.6,1
78,2,1
79,0.002,0.28
79,0.06,0.94
79,0.2,0.99
79,0.6,1
79,2,1
80,0.002,0.28
80,0.06,0.94
80,0.2,0.99
80,0.6,1
80,2,1
81,0.002,0.26
81,0.06,0.94
81,0.2,0.99
81,0.6,1
81,2,1
82,0.002,0.28
82,0.06,0.93
82,0.2,0.98
82,0.6,0.99
82,2,1
83,0.002,0.27
83,0.06,0.89
83,0.2,0.95
83,0.6,0.97
83,2,1
84,0.002,0.28
84,0.06,0.93
84,0.2,0.98
84,0.6,0.99
84,2,1
85,0.002,0.27
85,0.06,0.89
85,0.2,0.95
85,0.6,0.97
85,2,1
86,0.002,0.27
86,0.06,0.89
86,0.2,0.95
86,0.6,0.97
86,2,1
87,0.002,0.28
87,0.06,0.93
87,0.2,0.98
87,0.6,0.99
87,2,1
88,0.002,0.26
88,0.06,0.92
88,0.2,0.98
88,0.6,0.99
88,2,1
89,0.002,0.28
89,0.06,0.92
89,0.2,0.98
89,0.6,0.99
89,2,1
90,0.002,0.28
90,0.06,0.92
90,0.2,0.98
90,0.6,0.99
90,2,1
91,0.002,0.26
91,0.06,0.92
91,0.2,0.98
91,0.6,0.99
91,2,1
92,0.002,0.28
92,0.06,0.92
92,0.2,0.98
92,0.6,0.99
92,2,1
93,0.002,0.26
93,0.06,0.92
93,0.2,0.98
93,0.6,0.99
93,2,1
94,0.002,0.26
94,0.06,0.94
94,0.2,0.99
94,0.6,1
94,2,1
95,0.002,0.28
95,0.06,0.94
95,0.2,0.99
95,0.6,1
95,2,1
96,0.002,0.28
96,0.06,0.94
96,0.2,0.99
96,0.6,1
96,2,1
97,0.002,0.26
97,0.06,0.94
97,0.2,0.99
97,0.6,1
97,2,1
98,0.002,0.26
98,0.06,0.94
98,0.2,0.99
98,0.6,1
98,2,1
99,0.002,0.28
99,0.06,0.94
99,0.2,0.99
99,0.6,1
99,2,1
100,0.002,0.28
100,0.06,0.94
100,0.2,0.99
100,0.6,1
100,2,1
101,0.002,0.26
101,0.06,0.94
101,0.2,0.99
101,0.6,1
101,2,1
102,0.002,0.28
102,0.06,0.93
102,0.2,0.98
102,0.6,0.99
102,2,1
103,0.002,0.27
103,0.06,0.89
103,0.2,0.95
103,0.6,0.97
103,2,1
104,0.002,0.27
104,0.06,0.89
104,0.2,0.95
104,0.6,0.97
104,2,1
105,0.002,0.28
105,0.06,0.93
105,0.2,0.98
105,0.6,0.99
105,2,1
106,0.002,0.28
106,0.06,0.93
106,0.2,0.98
106,0.6,0.99
106,2,1
107,0.002,0.27
107,0.06,0.89
107,0.2,0.95
107,0.6,0.97
107,2,1
108,0.002,0.27
108,0.06,0.94
108,0.2,0.99
108,0.6,1
108,2,1
109,0.002,0.27
109,0.06,0.94
109,0.2,0.99
109,0.6,1
109,2,1
110,0.002,0.27
110,0.06,0.95
110,0.2,1
110,0.6,1
110,2,1
111,0.002,0.27
111,0.06,0.95
111,0.2,1
111,0.6,1
111,2,1
112,0.002,0.27
112,0.06,0.95
112,0.2,1
112,0.6,1
112,2,1
113,0.002,0.27
113,0.06,0.94
113,0.2,0.99
113,0.6,1
113,2,1
114,0.002,0.27
114,0.06,0.94
114,0.2,0.99
114,0.6,1
114,2,1
115,0.002,0.25
115,0.06,0.93
115,0.2,0.98
115,0.6,0.99
115,2,1
116,0.002,0.25
116,0.06,0.93
116,0.2,0.99
116,0.6,1
116,2,1
117,0.002,0.25
117,0.06,0.93
117,0.2,0.99
117,0.6,1
117,2,1
118,0.002,0.25
118,0.06,0.93
118,0.2,0.99
118,0.6,1
118,2,1
119,0.002,0.25
119,0.06,0.93
119,0.2,0.98
119,0.6,0.99
119,2,1
120,0.002,0.25
120,0.06,0.93
120,0.2,0.98
120,0.6,0.99
120,2,1
121,0.002,0.26
121,0.06,0.93
121,0.2,0.99
121,0.6,1
121,2,1
122,0.002,0.26
122,0.06,0.93
122,0.2,0.99
122,0.6,1
122,2,1
123,0.002,0.26
123,0.06,0.94
123,0.2,0.99
123,0.6,1
123,2,1
124,0.002,0.26
124,0.06,0.94
124,0.2,0.99
124,0.6,1
124,2,1
125,0.002,0.26
125,0.06,0.93
