Id,Theta_Ini[-],Thetas[-],RingRadius[mm],Lambda[-],Beta[-]
90,0.38285,0.5113,150,0.75,0.6
91,0.351725,0.4553,150,0.75,0.6
92,0.3951,0.5032,150,0.75,0.6
93,0.3533,0.5073,150,0.75,0.6
94,0.3524,0.5373,150,0.75,0.6
95,0.49495,0.5012,150,0.75,0.6
96,0.451875,0.4892,150,0.75,0.6
97,0.428025,0.5073,150,0.75,0.6
98,0.44965,0.5113,150,0.75,0.6
99,0.4092125,0.4892,150,0.75,0.6
100,0.450625,0.5173,150,0.75,0.6
101,0.4383125,0.5012,150,0.75,0.6
102,0.4892,0.51127,150,0.75,0.6
103,0.463775,0.5193,150,0.75,0.6
104,0.49995,0.51729,150,0.75,0.6
105,0.454575,0.4992,150,0.75,0.6
106,0.4630375,0.4952,150,0.75,0.6
107,0.4702,0.50927,150,0.75,0.6
108,0.4297,0.4772,150,0.75,0.6
109,0.48895,0.5353,150,0.75,0.6
110,0.4533,0.4812,150,0.75,0.6
111,0.4521125,0.5473,150,0.75,0.6
112,0.45335,0.5353,150,0.75,0.6
113,0.4244,0.5313,150,0.75,0.6
114,0.47445,0.4912,150,0.75,0.6
115,0.434175,0.5373,150,0.75,0.6
116,0.4415,0.5333,150,0.75,0.6
117,0.429475,0.5273,150,0.75,0.6
118,0.45705,0.51528,150,0.75,0.6
119,0.4526125,0.5193,150,0.75,0.6
120,0.4278,0.5153,150,0.75,0.6
121,0.4697,0.5213,150,0.75,0.6
122,0.442,0.5093,150,0.75,0.6
123,0.4297,0.4932,150,0.75,0.6
124,0.4479,0.5093,150,0.75,0.6
125,0.4273,0.5093,150,0.75,0.6
126,0.4395,0.5153,150,0.75,0.6
127,0.1921875,0.5073,150,0.75,0.6
128,0.1884625,0.4912,150,0.75,0.6
129,0.2166,0.4732,150,0.75,0.6
130,0.2121625,0.4832,150,0.75,0.6
131,0.254975,0.4772,150,0.75,0.6
132,0.199175,0.4752,150,0.75,0.6
133,0.2654,0.4593,150,0.75,0.6
134,0.1890375,0.4613,150,0.75,0.6
135,0.17975,0.4932,150,0.75,0.6
136,0.1609,0.4852,150,0.75,0.6
137,0.1653875,0.4952,150,0.75,0.6
138,0.1561875,0.5333,150,0.75,0.6
139,0.1666375,0.4356,150,0.75,0.6
140,0.1697625,0.5073,150,0.75,0.6
141,0.158,0.5233,150,0.75,0.6
142,0.200275,0.5012,150,0.75,0.6
143,0.188925,0.4912,150,0.75,0.6
144,0.1863875,0.5253,150,0.75,0.6
145,0.1563125,0.5133,150,0.75,0.6
146,0.1890375,0.5273,150,0.75,0.6
147,0.142525,0.5193,150,0.75,0.6
148,0.17195,0.5353,150,0.75,0.6
