Id,H[mm],Kunsat[mm_s]
15,10,0.013333333
15,40,0.006666667
15,70,0.003611111
15,100,0.001944444
16,10,0.006388889
16,40,0.005277778
16,70,0.003333333
16,100,0.0025
17,10,0.076388889
17,40,0.009722222
17,70,0.003888889
17,100,0.002222222
18,10,0.052222222
18,40,0.020555556
18,70,0.020277778
18,100,0.009166667
19,10,0.029166667
19,40,0.026111111
19,70,0.018888889
19,100,0.008888889
20,10,0.201944444
20,40,0.027222222
20,70,0.001388889
20,100,0.006388889
21,10,0.0025
21,40,0.011388889
21,70,0.006388889
21,100,0.003888889
22,10,0.042222222
22,40,0.025555556
22,70,0.001388889
22,100,0.006666667
23,10,0.063611111
23,40,0.040833333
23,70,0.025833333
23,100,0.000833333
24,10,0.052222222
24,40,0.008888889
24,70,0.005
24,100,0.003055556
25,10,0.028611111
25,40,0.012222222
25,70,0.0075
25,100,0.003333333
26,10,0.076388889
26,40,0.009722222
26,70,0.003888889
26,100,0.002222222
27,10,0.011666667
27,40,0.0225
27,70,0.008888889
27,100,0.005
28,10,0.006388889
28,40,0.005277778
28,70,0.003333333
28,100,0.0025
29,10,0.013333333
29,40,0.006666667
29,70,0.003611111
29,100,0.001944444
30,10,0.028611111
30,40,0.012222222
30,70,0.0075
30,100,0.003333333
32,10,0.052222222
32,40,0.008888889
32,70,0.005
32,100,0.003055556
33,10,0.028611111
33,40,0.012222222
33,70,0.0075
33,100,0.003333333
34,10,0.052222222
34,40,0.008888889
34,70,0.005
34,100,0.003055556
36,10,0.052222222
36,40,0.008888889
36,70,0.005
36,100,0.003055556
37,10,0.028611111
37,40,0.012222222
37,70,0.0075
37,100,0.003333333
38,10,0.076388889
38,40,0.009722222
38,70,0.003888889
38,100,0.002222222
39,10,0.011666667
39,40,0.0225
39,70,0.008888889
39,100,0.005
40,10,0.011666667
40,40,0.0225
40,70,0.008888889
40,100,0.005
41,10,0.076388889
41,40,0.009722222
41,70,0.003888889
41,100,0.002222222
42,10,0.011666667
42,40,0.0225
