0,Horizon,θs,θr,Ks,So,σ,Ψm,θsMacMat,σMac,ΨmMac,Zstart[mm],Zend[mm]
,1,0.7001,0.1702,0.004204664,0.000000001,3.5776,86627.665,0.6723,1.3256,225.001,0,25
,2,0.7001,0.1531,0.00377353,0.000000001,3.5997,131593.003,0.6473,1.4794,1000,25,50
,3,0.7001,0.1607,0.003786076,0.000000001,3.596,112175.558,0.6544,1.5412,1000,50,100
,4,0.7001,0.1579,0.003782836,0.000000001,3.6,119588.907,0.6514,1.5661,1000,100,150
,5,0.7001,0.1705,0.004254769,0.000000001,3.6,81950.417,0.6765,0.7641,132.365,150,200
,6,0.6574,0.2269,0.000254745,0.000000001,3.6,40598.775,0.6526,1.3259,238.795,200,250
,7,0.6574,0.2306,0.000220926,0.000000001,3.4563,44064.032,0.6413,0.9111,348.358,250,300
,8,0.6574,0.2297,0.00026353,0.000000001,3.6,37027.098,0.6574,1.3124,190.703,300,400
,9,0.6659,0.25,1.56E-04,0.000000001,3.6,89357.543,0.6114,0.4585,173.887,400,500
,10,0.6659,0.2449,1.18E-04,0.000000001,3.5028,156824.159,0.5765,1.6,1000,500,600
,11,0.611,0.1829,2.35E-04,0.000000001,3.3549,39409.912,0.611,1.4362,423.229,600,700
,12,0.611,0.1927,2.22E-04,0.000000001,3.2352,35197.87,0.611,1.2442,347.947,700,800
,13,0.6982,0.25,1.44E-04,0.000000001,3.6,163199.597,0.6277,0.3271,94.901,800,900
,14,0.6982,0.25,1.45E-04,0.000000001,3.6,161356.16,0.6282,0.9748,216.934,900,1000
