,TYPE,NAME,HORIZON,MIN,MAX,LogTransform,SIM_1,SIM_2,SIM_3,SIM_4,SIM_5,SIM_6,SIM_7,SIM_8,SIM_9,SIM_10,OPT_1,OPT_2,OPT_3,OPT_4,OPT_5,OPT_6,OPT_7,OPT_8,OPT_9,OPT_10,SIM_100,SIM_101,OPT_100,OPT_101
Param,veg,Zroot,1,600,1000,0,800,800,800,800,800,800,800,800,800,800,0,0,0,0,0,0,0,0,0,0,800,800,0,0
Param,veg,ΔRdf_Top,1,0.7,0.9,0,0.897509579,0.897509579,0.897509579,0.897509579,0.897509579,0.897509579,0.897509579,0.897509579,0.897509579,0.897509579,0,0,0,0,0,0,0,0,0,0,0.897509579,0.897509579,0,0
Param,veg,Zroot_Top,1,300,300,0,300,300,300,300,300,300,300,300,300,300,0,0,0,0,0,0,0,0,0,0,300,300,0,0
Param,veg,Lai,1,1,6,0,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0
Param,veg,Lai_Min,1,0.1,3,0,0.504555263,0.504555263,0.504555263,0.504555263,0.504555263,0.504555263,0.504555263,0.504555263,0.504555263,0.504555263,0,0,0,0,0,0,0,0,0,1,0.504555263,2.270845023,0,0
Param,veg,Lai_Max,1,3,6,0,4.180647619,4.180647619,4.180647619,4.180647619,4.180647619,4.180647619,4.180647619,4.180647619,4.180647619,4.180647619,0,0,0,0,0,0,0,0,0,1,4.180647619,5.520632283,0,0
Param,veg,CropCoeficient,1,0.85,1.05,0,0.86572077,0.86572077,0.86572077,0.86572077,0.86572077,0.86572077,0.86572077,0.86572077,0.86572077,0.86572077,0,0,0,0,0,0,0,0,0,0,0.86572077,0.86572077,0,0
Param,veg,CropCoeficient_Min,1,0.75,0.8,0,0.785910459,0.785910459,0.785910459,0.785910459,0.785910459,0.785910459,0.785910459,0.785910459,0.785910459,0.785910459,0,0,0,0,0,0,0,0,0,1,0.785910459,0.787599228,0,0
Param,veg,CropCoeficient_Max,1,0.8,2,0,1.238294123,1.238294123,1.238294123,1.238294123,1.238294123,1.238294123,1.238294123,1.238294123,1.238294123,1.238294123,0,0,0,0,0,0,0,0,0,1,1.238294123,0.98188928,0,0
Param,veg,ExtinctCoefRadiation,1,0.01,1,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0
Param,veg,Ψfeddes1,1,0.01,150000,0,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,100,100,0,0
Param,veg,Ψfeddes2,1,0.01,150000,0,250,250,250,250,250,250,250,250,250,250,0,0,0,0,0,0,0,0,0,0,250,250,0,0
Param,veg,Ψfeddes3,1,0.01,150000,0,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,0,0,0,0,0,0,0,0,0,0,5000,5000,0,0
Param,veg,Ψfeddes4,1,0.01,150000,0,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,0,0,0,0,0,0,0,0,0,0,80000,80000,0,0
Param,veg,RootWaterUptakeComp,1,0.01,1,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0
Param,veg,Zevapo,1,0.01,300,0,300,300,300,300,300,300,300,300,300,300,0,0,0,0,0,0,0,0,0,0,300,300,0,0
Param,veg,Sint_Lai,1,0.01,1,0,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,0,0,0,0,0,0,0,0,0,0,1.6,1.6,0,0
Param,veg,Sint_Sat,1,0.5,2,0,1.802076279,1.802076279,1.802076279,1.802076279,1.802076279,1.802076279,1.802076279,1.802076279,1.802076279,1.802076279,0,0,0,0,0,0,0,0,0,1,1.802076279,0.875424822,0,0
Vector,hydro,θs,1,0.483,0.6,0,0.495080985,0.495080985,0.495080985,0.495080985,0.495080985,0.495080985,0.495080985,0.495080985,0.495080985,0.495080985,1,1,0,1,0,0,0,0,0,0,0.50550329,0.488505709,0,0
Vector,hydro,θs,2,0.4805,0.6,0,0.530420313,0.530420313,0.530420313,0.530420313,0.530420313,0.530420313,0.530420313,0.530420313,0.530420313,0.530420313,1,1,0,0,1,1,0,0,0,0,0.459571225,0.488505709,0,0
Vector,hydro,θs,3,0.438,0.6,0,0.520246942,0.520246942,0.520246942,0.520246942,0.520246942,0.520246942,0.520246942,0.520246942,0.520246942,0.520246942,1,1,0,0,1,0,1,0,0,0,0.501863211,0.488505709,0,0
Vector,hydro,θs,4,0.425,0.6,0,0.490083414,0.490083414,0.490083414,0.490083414,0.490083414,0.490083414,0.490083414,0.490083414,0.490083414,0.490083414,1,0,1,0,0,0,0,1,0,0,0.475150792,0.488505709,0,0
Vector,hydro,θs,5,0.421,0.6,0,0.488505709,0.488505709,0.488505709,0.488505709,0.488505709,0.488505709,0.488505709,0.488505709,0.488505709,0.488505709,1,0,1,0,0,0,0,0,1,0,0.463752012,0.488505709,0,0
Vector,hydro,θr,1,0,0.2,0,0.172662846,0.172662846,0.172662846,0.172662846,0.172662846,0.172662846,0.172662846,0.172662846,0.172662846,0.172662846,0,0,0,0,0,0,0,0,0,0,0.186663055,0.178726443,0,0
Vector,hydro,θr,2,0,0.2,0,0.197070474,0.197070474,0.197070474,0.197070474,0.197070474,0.197070474,0.197070474,0.197070474,0.197070474,0.197070474,0,0,0,0,0,0,0,0,0,0,0.120455319,0.178726443,0,0
Vector,hydro,θr,3,0,0.2,0,0.195828312,0.195828312,0.195828312,0.195828312,0.195828312,0.195828312,0.195828312,0.195828312,0.195828312,0.195828312,0,0,0,0,0,0,0,0,0,0,0.141447725,0.178726443,0,0
Vector,hydro,θr,4,0,0.2,0,0.198916975,0.198916975,0.198916975,0.198916975,0.198916975,0.198916975,0.198916975,0.198916975,0.198916975,0.198916975,0,0,0,0,0,0,0,0,0,0,0.170367023,0.178726443,0,0
Vector,hydro,θr,5,0,0.2,0,0.178726443,0.178726443,0.178726443,0.178726443,0.178726443,0.178726443,0.178726443,0.178726443,0.178726443,0.178726443,0,0,0,0,0,0,0,0,0,0,0.179883092,0.178726443,0,0
Vector,hydro,Ks,1,1.00E-05,0.08,1,0.073545076,0.073545076,0.073545076,0.073545076,0.073545076,0.073545076,0.073545076,0.073545076,0.073545076,0.073545076,1,1,0,1,0,0,0,0,0,0,0.003268886,0.000425373,0,0
Vector,hydro,Ks,2,1.00E-05,0.08,1,0.070461768,0.070461768,0.070461768,0.070461768,0.070461768,0.070461768,0.070461768,0.070461768,0.070461768,0.070461768,1,1,0,0,1,1,0,0,0,0,0.017137032,0.000425373,0,0
Vector,hydro,Ks,3,1.00E-05,0.08,1,0.06467906,0.06467906,0.06467906,0.06467906,0.06467906,0.06467906,0.06467906,0.06467906,0.06467906,0.06467906,1,1,0,0,1,0,1,0,0,0,0.000823625,0.000425373,0,0
Vector,hydro,Ks,4,1.00E-05,0.08,1,0.033275065,0.033275065,0.033275065,0.033275065,0.033275065,0.033275065,0.033275065,0.033275065,0.033275065,0.033275065,1,0,1,0,0,0,0,1,0,0,0.010331088,0.000425373,0,0
