Horizon Cm/H,0.0cm,10.0cm,20.0cm,30.0cm,40.0cm,50.0cm,60.0cm,70.0cm,80.0cm,90.0cm,100.0cm,200.0cm,300.0cm,400.0cm,500.0cm,600.0cm,700.0cm,800.0cm,900.0cm,1000.0cm,2000.0cm,3000.0cm,4000.0cm,5000.0cm,6000.0cm,7000.0cm,8000.0cm,9000.0cm,10000.0cm,15000.0cm,20000.0cm,30000.0cm,100000.0cm
1.0,0.3356482237372009,0.0406122270681228,0.021045640190072854,0.01342009870883329,0.009455372554880312,0.0070759514874485915,0.005516412189009959,0.0044307297642425785,0.0036408281647337523,0.0030463459317363454,0.0025867603136289974,0.0007995788244647621,0.0003708826845722297,0.00020711130256917583,0.000128953705576428,8.631083543794709e-5,6.084379907161803e-5,4.4604399334760695e-5,3.371953251398009e-5,2.613094281975395e-5,4.364620689182724e-6,1.3978315237043014e-6,5.976971846521765e-7,3.0187335443083175e-7,1.7006395650974713e-7,1.0353637331589253e-7,6.680714329243778e-8,4.5105170996782066e-8,3.158051385653886e-8,7.658904461501382e-9,2.6838844292673034e-9,5.756074583758278e-10,3.87424077577835e-12
2.0,0.3356482237372009,0.0406122270681228,0.021045640190072854,0.01342009870883329,0.009455372554880312,0.0070759514874485915,0.005516412189009959,0.0044307297642425785,0.0036408281647337523,0.0030463459317363454,0.0025867603136289974,0.0007995788244647621,0.0003708826845722297,0.00020711130256917583,0.000128953705576428,8.631083543794709e-5,6.084379907161803e-5,4.4604399334760695e-5,3.371953251398009e-5,2.613094281975395e-5,4.364620689182724e-6,1.3978315237043014e-6,5.976971846521765e-7,3.0187335443083175e-7,1.7006395650974713e-7,1.0353637331589253e-7,6.680714329243778e-8,4.5105170996782066e-8,3.158051385653886e-8,7.658904461501382e-9,2.6838844292673034e-9,5.756074583758278e-10,3.87424077577835e-12
3.0,0.3356482237372009,0.0406122270681228,0.021045640190072854,0.01342009870883329,0.009455372554880312,0.0070759514874485915,0.005516412189009959,0.0044307297642425785,0.0036408281647337523,0.0030463459317363454,0.0025867603136289974,0.0007995788244647621,0.0003708826845722297,0.00020711130256917583,0.000128953705576428,8.631083543794709e-5,6.084379907161803e-5,4.4604399334760695e-5,3.371953251398009e-5,2.613094281975395e-5,4.364620689182724e-6,1.3978315237043014e-6,5.976971846521765e-7,3.0187335443083175e-7,1.7006395650974713e-7,1.0353637331589253e-7,6.680714329243778e-8,4.5105170996782066e-8,3.158051385653886e-8,7.658904461501382e-9,2.6838844292673034e-9,5.756074583758278e-10,3.87424077577835e-12
4.0,0.005340340797506553,0.002402732976532735,0.0018108662013122101,0.0014561789560759196,0.0012147465174707959,0.0010383173203146626,0.0009032691337305374,0.0007964199908883058,0.0007097453407487056,0.0006380443737299342,0.0005777822305261894,0.0002728751195643755,0.00016191209814945946,0.0001074718890169318,7.63989853194842e-5,5.6917626530386454e-5,4.388709514126914e-5,3.474603716453808e-5,2.8093715797516888e-5,2.310887436734276e-5,5.63587059802309e-6,2.224039519753465e-6,1.0957867372362216e-6,6.153498844466218e-7,3.770416263222447e-7,2.459698055793018e-7,1.6825898377152193e-7,1.1947051277561942e-7,8.742281213832009e-8,2.4918913799689277e-8,9.712042200421258e-9,2.3906455293755584e-9,2.2193638715885538e-11
5.0,0.005340340797506553,0.002402732976532735,0.0018108662013122101,0.0014561789560759196,0.0012147465174707959,0.0010383173203146626,0.0009032691337305374,0.0007964199908883058,0.0007097453407487056,0.0006380443737299342,0.0005777822305261894,0.0002728751195643755,0.00016191209814945946,0.0001074718890169318,7.63989853194842e-5,5.6917626530386454e-5,4.388709514126914e-5,3.474603716453808e-5,2.8093715797516888e-5,2.310887436734276e-5,5.63587059802309e-6,2.224039519753465e-6,1.0957867372362216e-6,6.153498844466218e-7,3.770416263222447e-7,2.459698055793018e-7,1.6825898377152193e-7,1.1947051277561942e-7,8.742281213832009e-8,2.4918913799689277e-8,9.712042200421258e-9,2.3906455293755584e-9,2.2193638715885538e-11
