Id,SoilName,Depth,θs,θr,λch,Ψch,Ks,Φ,Ψga,θs_Min,θr_Min,λch_Min,Ψch_Min,Ks_Min,Φ_Min,θs_Max,θr_Max,λch_Max,Ψch_Max,Ks_Max,Φ_Max,Nse,Nse_θΨ,Nse_KΨ,Rmse,Rmse_θΨ,Rmse_KΨ,KunsatModel
11133025000031011,Acto_3a.1,250.0,0.48643704531642734,0.0,0.10781814467603246,89.99999999999997,0.10915385062727362,0.5242105263157895,158.003852407728,0.3735,0.0,0.087719298,90.0,1.0e-8,0.0,0.498,0.2,0.709219858,856.0,0.21516663154755675,0.0,0.7368407361377977,0.9094432749364331,0.5642381973391621,0.036573577506484024,0.03084594695762867,0.04230120805533938,0.0
11133025000031012,Acto_3a.1,375.0,0.4433420888080853,0.0,0.11290310866638098,253.6430866351319,0.004983947772304045,0.4747368421052632,443.1114661474849,0.33825,0.0,0.087719298,90.0,1.0e-8,0.0,0.451,0.2,0.709219858,856.0,0.012050733537586438,0.0,0.6556138917388402,0.9319883391625812,0.37923944431509926,0.013275950516670656,0.023479961992637424,0.003071939040703886,0.0
11133025000031013,Acto_3a.1,675.0,0.39808,0.0,0.09726393944048788,286.8849747075082,0.006525574383463741,0.4190315789473684,508.9679532793052,0.29856,0.0,0.087719298,90.0,9.200000000000001e-9,0.0,0.39808,0.18400000000000002,0.709219858,856.0,0.012497302109361523,0.0,0.7204580610635076,0.8808139864847352,0.56010213564228,0.015698795572895035,0.02864842315907043,0.002749167986719642,0.0
11133025000031014,Acto_3a.1,1000.0,0.23109295800649357,0.0,0.09442148865744716,90.00000000000773,0.000676796202553135,0.25163157894736843,160.1336337025617,0.1792875,0.0,0.087719298,90.0,4.5e-9,0.0,0.23904999999999998,0.09,0.709219858,856.0,0.0011733563886492868,0.0,0.7888787502219508,0.941791511639384,0.6359659888045175,0.005304032096054195,0.010371496660685198,0.0002365675314231923,0.0
11133025000041011,Acto_4a.1,250.0,0.4864367176822902,0.0,0.10781784585240715,90.0000000000015,0.10915477324886584,0.5242105263157895,158.00389847166224,0.3735,0.0,0.087719298,90.0,1.0e-8,0.0,0.498,0.2,0.709219858,856.0,0.2151683813257253,0.0,0.7368409672139153,0.9094430573925654,0.5642388770352653,0.03657369957615669,0.03084590591840216,0.04230149323391123,0.0
11133025000041012,Acto_4a.1,375.0,0.4433419496965649,0.0,0.11290349456956167,253.6446540978456,0.004984158695372498,0.4747368421052632,443.1140406340318,0.33825,0.0,0.087719298,90.0,1.0e-8,0.0,0.451,0.2,0.709219858,856.0,0.01205141761334134,0.0,0.655608218462886,0.9319871604475242,0.37922927647824767,0.013276181904771445,0.023480227441284637,0.0030721363682582542,0.0
11133025000041013,Acto_4a.1,1000.0,0.41687499999999994,0.0,0.09352956409711032,299.2297428345286,0.009070218201742669,0.4388157894736842,532.8955128321716,0.31265624999999997,0.0,0.087719298,90.0,9.75e-9,0.0,0.416875,0.195,0.709219858,856.0,0.013920621585972553,0.0,0.7934057297789687,0.8500359786915309,0.7367754808664065,0.018385305608646305,0.0342685140310873,0.002502097186205311,0.0
11183128190051011,Ahuri_5a.1,200.0,0.5479880001926768,0.0,0.08771929800000311,90.00000000000304,0.11879804466463632,0.5989473684210526,161.25000004156743,0.42674999999999996,0.0,0.087719298,90.0,1.0e-8,0.0,0.569,0.2,0.709219858,856.0,0.29943129927579265,0.0,0.6322377844611717,0.8842441452386058,0.38023142368373763,0.04998657025856064,0.03270187171157321,0.06727126880554807,0.0
11183128190051012,Ahuri_5a.1,325.0,0.5207325976603571,0.0,0.08771929800000114,89.99999999999997,0.12898237746317084,0.5757894736842106,161.25000004156226,0.41025,0.0,0.087719298,90.0,1.0e-8,0.0,0.547,0.2,0.709219858,856.0,0.2904355854171193,0.0,0.6816544009760488,0.8966890268668752,0.46661977508522245,0.04479699172645996,0.02895552211714354,0.060638461335776384,0.0
11183128190051013,Ahuri_5a.1,1000.0,0.4421051820340538,0.0,0.22482017582227432,90.00000000000054,0.008855569277512769,0.47052631578947374,143.74865428219815,0.33525,0.0,0.087719298,90.0,1.0e-8,0.0,0.447,0.2,0.709219858,856.0,0.012694001967223086,0.0,0.8718320776990668,0.952402063348695,0.7912620920494384,0.015516216915391744,0.028957786999769017,0.00207464683101447,0.0
11183128190071011,Ahuri_7a.1,175.0,0.7847257905711286,0.0,0.15309202031487606,90.00000000003328,0.4264708076832,0.8642105263157894,151.6744167939152,0.61575,0.0,0.087719298,90.0,1.0e-8,0.0,0.821,0.2,0.709219858,856.0,0.5770707383554065,0.0,0.8793178888952283,0.8804080561468751,0.8782277216435814,0.07151433455966079,0.08658211366891391,0.056446555450407665,0.0
11183128190071012,Ahuri_7a.1,350.0,0.5011530168948454,0.0,0.0877192980000228,90.00000000000175,0.1283344055965195,0.5557894736842106,161.25000004156178,0.396,0.0,0.087719298,90.0,1.0e-8,0.0,0.528,0.2,0.709219858,856.0,0.25751509640051246,0.0,0.7384564833859566,0.9198435713553138,0.5570693954165993,0.03770835946923237,0.025304389081682793,0.050112329856781955,0.0
11183128190071013,Ahuri_7a.1,1000.0,0.4890883631486095,0.0,0.10121885492266089,249.58775908977617,0.004799951298690296,0.5193473684210527,441.0398376778178,0.370035,0.0,0.087719298,90.0,9.7e-9,0.0,0.49338,0.194,0.709219858,856.0,0.011136872036172536,0.0,0.6751930318995083,0.9412895133147962,0.40909655048422044,0.012464297822856405,0.022152133885754904,0.0027764617599579057,0.0
