0,iZ,Z,θini,Horizon
,1,10,0.391706461,1
,2,20,0.391706461,1
,3,30,0.391706461,1
,4,40,0.391706461,1
,5,50,0.391706461,1
,6,60,0.391706461,1
,7,70,0.391706461,1
,8,80,0.391706461,1
,9,90,0.391706461,1
,10,100,0.391706461,2
,11,110,0.400978584,2
,12,120,0.410250706,2
,13,130,0.410250706,2
,14,140,0.410250706,2
,15,150,0.410250706,2
,16,160,0.410250706,2
,17,170,0.422329408,2
,18,180,0.43440811,3
,19,190,0.43440811,3
,20,200,0.43440811,3
,21,210,0.449769673,4
,22,220,0.465131235,4
,23,230,0.465131235,4
,24,240,0.465131235,4
,25,250,0.479529453,4
,26,260,0.493927671,5
,27,270,0.493927671,5
,28,280,0.493927671,5
,29,290,0.493927671,5
,30,300,0.493927671,5
,31,310,0.493927671,5
,32,320,0.493927671,5
,33,330,0.493927671,5
,34,340,0.493927671,5
,35,350,0.493927671,5
,36,360,0.493927671,5
,37,370,0.493927671,5
,38,380,0.493927671,5
,39,390,0.493927671,5
,40,400,0.493927671,5
,41,410,0.493927671,5
,42,420,0.493927671,5
,43,430,0.493927671,5
,44,440,0.493927671,5
,45,450,0.493927671,5
,46,460,0.493927671,5
,47,470,0.493927671,5
,48,480,0.493927671,5
,49,490,0.493927671,5
,50,500,0.493927671,5
,51,510,0.493927671,5
,52,520,0.493927671,5
,53,530,0.493927671,5
,54,540,0.493927671,5
,55,550,0.493927671,5
,56,560,0.493927671,5
,57,570,0.493927671,5
,58,580,0.493927671,5
,59,590,0.493927671,5
,60,600,0.493927671,5
,61,610,0.493927671,5
,62,620,0.493927671,5
,63,630,0.493927671,5
,64,640,0.493927671,5
,65,650,0.493927671,5
,66,660,0.493927671,5
,67,670,0.493927671,5
,68,680,0.493927671,5
,69,690,0.493927671,5
,70,700,0.493927671,5
,71,710,0.493927671,5
,72,720,0.493927671,5
,73,730,0.493927671,5
,74,740,0.493927671,5
,75,750,0.493927671,5
,76,760,0.493927671,5
,77,770,0.493927671,5
,78,780,0.493927671,5
,79,790,0.493927671,5
,80,800,0.493927671,5
,81,810,0.493927671,5
,82,820,0.493927671,5
,83,830,0.493927671,5
,84,840,0.493927671,5
,85,850,0.493927671,5
,86,860,0.493927671,5
,87,870,0.493927671,5
,88,880,0.493927671,5
,89,890,0.493927671,5
,90,900,0.493927671,5
,91,910,0.493927671,5
,92,920,0.493927671,5
,93,930,0.493927671,5
,94,940,0.493927671,5
,95,950,0.493927671,5
,96,960,0.493927671,5
,97,970,0.493927671,5
,98,980,0.493927671,5
,99,990,0.493927671,5
,100,1000,0.493927671,5
