id,Year,Month,Day,Hour,Minute,Second,Pr_mm,Pet_mm,Temp_c
0,2015,6,1,21,0,1,0,0,0
1,2015,6,1,22,0,1,0,0.229102807,14.90392456
2,2015,6,1,23,0,1,0,0.280169683,15.78795776
4,2015,6,2,0,0,1,0,0.294932484,16.54116211
5,2015,6,2,1,0,1,0,0.273638492,17.11220703
6,2015,6,2,2,0,1,0,0.215330088,17.4621521
7,2015,6,2,3,0,1,0,0.124136481,17.56716309
8,2015,6,2,4,0,1,0.384365849,0.007421029,17.42009888
9,2015,6,2,5,0,1,1.115483232,0,17.03096924
10,2015,6,2,6,0,1,1.013313886,0,16.42629395
11,2015,6,2,7,0,1,0.272503501,0,15.64727173
12,2015,6,2,8,0,1,0.545007002,0,14.74697266
13,2015,6,2,9,0,1,1.370349317,0,13.78682861
14,2015,6,2,10,0,1,1.132922247,0,12.83217773
15,2015,6,2,11,0,1,1.049456419,0,11.94814453
16,2015,6,2,12,0,1,0,0,11.19494019
17,2015,6,2,13,0,1,1.026572427,0,10.62389526
18,2015,6,2,14,0,1,0,0,10.2739502
19,2015,6,2,15,0,1,0.317512488,0,10.16918335
20,2015,6,2,16,0,1,0,0,10.35799561
21,2015,6,2,17,0,1,0,0,10.85753784
22,2015,6,2,18,0,1,0,0,11.63381348
23,2015,6,2,19,0,1,0,0,12.63390503
24,2015,6,2,20,0,1,0,0.058898149,13.78966675
25,2015,6,2,21,0,1,0,0.18958564,15.02233276
26,2015,6,2,22,0,1,5.855111871,0.296443061,16.64388428
27,2015,6,2,23,0,1,1.07758888,0.363219762,17.6473938
28,2015,6,3,0,0,1,2.179643605,0.382957805,18.50237427
29,2015,6,3,1,0,1,0.66039362,0.355656695,19.15056763
30,2015,6,3,2,0,1,3.910119645,0.280087668,19.54781494
31,2015,6,3,3,0,1,3.57236038,0.159594681,19.6670166
32,2015,6,3,4,0,1,0,0.009354697,19.50008545
33,2015,6,3,5,0,1,0,0,19.05837402
34,2015,6,3,6,0,1,0,0,18.37197266
35,2015,6,3,7,0,1,0,0,17.48766479
36,2015,6,3,8,0,1,0,0,16.46575317
37,2015,6,3,9,0,1,0,0,15.37581787
38,2015,6,3,10,0,1,0,0,14.29219971
39,2015,6,3,11,0,1,0,0,13.28869019
40,2015,6,3,12,0,1,0,0,12.43370972
41,2015,6,3,13,0,1,0,0,11.78551636
42,2015,6,3,14,0,1,0,0,11.38826904
43,2015,6,3,15,0,1,0,0,11.26867065
44,2015,6,3,16,0,1,3.176775528,0,11.37401733
45,2015,6,3,17,0,1,0,0,11.65270386
46,2015,6,3,18,0,1,0.941584934,0,12.08580933
47,2015,6,3,19,0,1,0,0,12.64376221
48,2015,6,3,20,0,1,0,0.02737979,13.2885376
49,2015,6,3,21,0,1,0,0.088632303,13.9762207
50,2015,6,3,22,0,1,0,0.133357025,13.79592285
51,2015,6,3,23,0,1,0,0.193612053,14.71578369
52,2015,6,4,0,0,1,0,0.247408432,15.49953613
53,2015,6,4,1,0,1,1.24870718,0.257166859,16.09371338
54,2015,6,4,2,0,1,0.469288265,0.213935404,16.45784912
55,2015,6,4,3,0,1,0,0.124041908,16.56713257
56,2015,6,4,4,0,1,0,0.004583903,16.41408691
57,2015,6,4,5,0,1,0,0,16.00917969
58,2015,6,4,6,0,1,0,0,15.37999878
59,2015,6,4,7,0,1,1.830396126,0,14.56939087
60,2015,6,4,8,0,1,0.654780713,0,13.63262329
61,2015,6,4,9,0,1,0,0,12.63353882
62,2015,6,4,10,0,1,0,0,11.64019165
63,2015,6,4,11,0,1,0,0,10.72030029
64,2015,6,4,12,0,1,0,0,9.936578369
65,2015,6,4,13,0,1,0,0,9.342401123
66,2015,6,4,14,0,1,0,0,8.978265381
67,2015,6,4,15,0,1,0,0,8.868859863
68,2015,6,4,16,0,1,0,0,9.004022217
69,2015,6,4,17,0,1,0,0,9.36159668
70,2015,6,4,18,0,1,0,0,9.917230225
71,2015,6,4,19,0,1,0,0,10.63311157
72,2015,6,4,20,0,1,0,0.037510221,11.46038208
73,2015,6,4,21,0,1,0,0.12504404,12.34267578
74,2015,6,4,22,0,1,0,0.191119529,12.64388428
75,2015,6,4,23,0,1,0,0.235473039,13.6473938
76,2015,6,5,0,0,1,0,0.269947952,14.50237427
77,2015,6,5,1,0,1,0,0.276471314,15.15056763
78,2015,6,5,2,0,1,0,0.22762244,15.54781494
79,2015,6,5,3,0,1,0,0.130898261,15.6670166
80,2015,6,5,4,0,1,0,0.003198279,15.50008545
81,2015,6,5,5,0,1,0,0,15.05837402
82,2015,6,5,6,0,1,0,0,14.37197266
83,2015,6,5,7,0,1,0,0,13.48766479
84,2015,6,5,8,0,1,0,0,12.46575317
85,2015,6,5,9,0,1,0,0,11.37581787
86,2015,6,5,10,0,1,0,0,10.29219971
87,2015,6,5,11,0,1,0,0,9.288690186
88,2015,6,5,12,0,1,0,0,8.433709717
89,2015,6,5,13,0,1,0,0,7.785516357
90,2015,6,5,14,0,1,0,0,7.388269043
91,2015,6,5,15,0,1,0,0,7.269006348
92,2015,6,5,16,0,1,0,0,7.429986572
93,2015,6,5,17,0,1,0,0,7.855950928
94,2015,6,5,18,0,1,0,0,8.517816162
95,2015,6,5,19,0,1,0,0,9.37053833
96,2015,6,5,20,0,1,0,0.043498902,10.35595093
97,2015,6,5,21,0,1,0,0.1486166,11.4069458
98,2015,6,5,22,0,1,0,0.22864528,11.83986816
99,2015,6,5,23,0,1,0,0.283326488,13.01061401
100,2015,6,6,0,0,1,0,0.312723889,14.00811157
101,2015,6,6,1,0,1,0,0.311310607,14.76433716
102,2015,6,6,2,0,1,0,0.25186842,15.2277771
103,2015,6,6,3,0,1,0,0.143541009,15.36687622
104,2015,6,6,4,0,1,0,0.002092767,15.17211304
105,2015,6,6,5,0,1,0,0,14.6567627
106,2015,6,6,6,0,1,0,0,13.85598145
107,2015,6,6,7,0,1,0,0,12.8243042
108,2015,6,6,8,0,1,0,0,11.63204346
109,2015,6,6,9,0,1,0,0,10.36046753
110,2015,6,6,10,0,1,0,0,9.096246338
111,2015,6,6,11,0,1,0,0,7.925469971
112,2015,6,6,12,0,1,0,0,6.92800293
113,2015,6,6,13,0,1,0,0,6.171777344
114,2015,6,6,14,0,1,0,0,5.708306885
115,2015,6,6,15,0,1,0,0,5.569299316
116,2015,6,6,16,0,1,0,0,5.77199707
117,2015,6,6,17,0,1,0,0,6.308374023
118,2015,6,6,18,0,1,0,0,7.1418396
119,2015,6,6,19,0,1,0,0,8.215631104
120,2015,6,6,20,0,1,0,0.048678616,9.456536865
121,2015,6,6,21,0,1,0,0.170691521,10.78002319
122,2015,6,6,22,0,1,0,0.258970394,10.58376465
123,2015,6,6,23,0,1,0,0.334831857,12.30407104
124,2015,6,7,0,0,1,0,0.369851245,13.76976929
125,2015,6,7,1,0,1,0,0.3499054,14.88094482
126,2015,6,7,2,0,1,0,0.276318868,15.56194458
127,2015,6,7,3,0,1,0,0.156083173,15.76629028
128,2015,6,7,4,0,1,0,0.001162249,15.48012695
129,2015,6,7,5,0,1,0,0,14.72289429
130,2015,6,7,6,0,1,0,0,13.54619751
131,2015,6,7,7,0,1,0,0,12.03026733
132,2015,6,7,8,0,1,0,0,10.27840576
133,2015,6,7,9,0,1,0,0,8.409967041
134,2015,6,7,10,0,1,0,0,6.552301025
135,2015,6,7,11,0,1,0,0,4.832025146
136,2015,6,7,12,0,1,0,0,3.366326904
137,2015,6,7,13,0,1,0,0,2.25512085
138,2015,6,7,14,0,1,0,0,1.574151611
139,2015,6,7,15,0,1,0,0,1.36965332
140,2015,6,7,16,0,1,0,0,1.633966064
141,2015,6,7,17,0,1,0,0,2.33336792
142,2015,6,7,18,0,1,0,0,3.420159912
143,2015,6,7,19,0,1,0,0,4.820275879
144,2015,6,7,20,0,1,0,0.046144367,6.438317871
145,2015,6,7,21,0,1,0,0.167126869,8.164025879
146,2015,6,7,22,0,1,0,0.27443943,10.7078186
147,2015,6,7,23,0,1,0,0.342255051,12.02193604
148,2015,6,8,0,0,1,0,0.365231303,13.14156494
149,2015,6,8,1,0,1,0,0.340762956,13.99041138
150,2015,6,8,2,0,1,0,0.267202704,14.5105835
151,2015,6,8,3,0,1,0,0.149684507,14.66671143
152,2015,6,8,4,0,1,0,0,14.4480835
153,2015,6,8,5,0,1,0,0,13.86965332
154,2015,6,8,6,0,1,0,0,12.97078857
155,2015,6,8,7,0,1,0,0,11.81279907
156,2015,6,8,8,0,1,0,0,10.47457275
157,2015,6,8,9,0,1,0,0,9.047296143
158,2015,6,8,10,0,1,0,0,7.62822876
159,2015,6,8,11,0,1,0,0,6.314111328
160,2015,6,8,12,0,1,0,0,5.194512939
161,2015,6,8,13,0,1,0,0,4.345666504
162,2015,6,8,14,0,1,0,0,3.825463867
163,2015,6,8,15,0,1,0,0,3.669458008
164,2015,6,8,16,0,1,0,0,3.903985596
165,2015,6,8,17,0,1,0,0,4.524468994
166,2015,6,8,18,0,1,0,0,5.488702393
167,2015,6,8,19,0,1,0,0,6.73092041
168,2015,6,8,20,0,1,0,0.046849316,8.166497803
169,2015,6,8,21,0,1,0,0.170888787,9.697564697
170,2015,6,8,22,0,1,0,0.287875941,13.30794678
171,2015,6,8,23,0,1,0,0.353068608,14.02474365
172,2015,6,9,0,0,1,0,0.371794653,14.63543091
173,2015,6,9,1,0,1,0,0.343442603,15.0984436
174,2015,6,9,2,0,1,0,0.267583469,15.38216553
175,2015,6,9,3,0,1,0,0.148949635,15.46734009
176,2015,6,9,4,0,1,0,0,15.34807739
177,2015,6,9,5,0,1,0,0,15.03255615
178,2015,6,9,6,0,1,0,0,14.54229126
179,2015,6,9,7,0,1,0,0,13.91063843
180,2015,6,9,8,0,1,0,0,13.18068848
181,2015,6,9,9,0,1,0,0,12.40218506
182,2015,6,9,10,0,1,0,0,11.62816772
183,2015,6,9,11,0,1,0,0,10.91137085
184,2015,6,9,12,0,1,0,0,10.30068359
185,2015,6,9,13,0,1,0,0,9.837670898
186,2015,6,9,14,0,1,0,0,9.553918457
187,2015,6,9,15,0,1,0,0,9.468835449
188,2015,6,9,16,0,1,0,0,9.596032715
189,2015,6,9,17,0,1,0,0,9.932580566
190,2015,6,9,18,0,1,0,0,10.45552979
191,2015,6,9,19,0,1,0,0,11.12926636
192,2015,6,9,20,0,1,0,0.031160431,11.90789185
193,2015,6,9,21,0,1,0,0.111810143,12.73830566
194,2015,6,9,22,0,1,0,0.174853601,13.52791748
195,2015,6,9,23,0,1,0,0.214859494,14.30443726
196,2015,6,10,0,0,1,0,0.226579243,14.96605835
197,2015,6,10,1,0,1,0,0.209422229,15.46761475
198,2015,6,10,2,0,1,0,0.163423276,15.77501831
199,2015,6,10,3,0,1,0,0.093061353,15.86727295
200,2015,6,10,4,0,1,0,0,15.73809204
201,2015,6,10,5,0,1,0,0,15.39626465
202,2015,6,10,6,0,1,0,0,14.86513672
203,2015,6,10,7,0,1,0,0,14.18087158
204,2015,6,10,8,0,1,0,0,13.3901001
205,2015,6,10,9,0,1,0,0,12.54668579
206,2015,6,10,10,0,1,0.286357361,0,11.7081543
207,2015,6,10,11,0,1,0.964516948,0,10.93163452
