id,Year,Month,Day,Hour,Minute,Second,Z=100,Z=300,Z=500,Z=670,Z=1000
1,2016,6,2,15,30,0,0.373,0.4074,0.473,0.514,0.534
2,2016,6,2,15,45,0,0.373,0.4079,0.473,0.514,0.534
3,2016,6,2,16,0,0,0.373,0.4081,0.474,0.514,0.534
4,2016,6,2,16,15,0,0.373,0.4084,0.474,0.514,0.534
5,2016,6,2,16,30,0,0.373,0.4084,0.474,0.514,0.534
6,2016,6,2,16,45,0,0.374,0.4086,0.474,0.514,0.535
7,2016,6,2,17,0,0,0.374,0.4087,0.474,0.514,0.535
8,2016,6,2,17,15,0,0.374,0.4086,0.474,0.514,0.535
9,2016,6,2,17,30,0,0.374,0.4087,0.474,0.514,0.535
10,2016,6,2,17,45,0,0.374,0.4087,0.474,0.514,0.535
11,2016,6,2,18,0,0,0.375,0.409,0.474,0.514,0.535
12,2016,6,2,18,15,0,0.375,0.4091,0.474,0.514,0.535
13,2016,6,2,18,30,0,0.375,0.4091,0.474,0.514,0.535
14,2016,6,2,18,45,0,0.375,0.4093,0.474,0.515,0.535
15,2016,6,2,19,0,0,0.375,0.4093,0.474,0.515,0.535
16,2016,6,2,19,15,0,0.375,0.4093,0.474,0.515,0.535
17,2016,6,2,19,30,0,0.375,0.4094,0.474,0.515,0.535
18,2016,6,2,19,45,0,0.375,0.4094,0.474,0.515,0.536
19,2016,6,2,20,0,0,0.375,0.4096,0.474,0.515,0.536
20,2016,6,2,20,15,0,0.375,0.4096,0.474,0.515,0.535
21,2016,6,2,20,30,0,0.375,0.4097,0.474,0.515,0.536
22,2016,6,2,20,45,0,0.376,0.4097,0.474,0.515,0.536
23,2016,6,2,21,0,0,0.376,0.4097,0.474,0.515,0.536
24,2016,6,2,21,15,0,0.376,0.4099,0.474,0.515,0.536
25,2016,6,2,21,30,0,0.376,0.41,0.474,0.515,0.536
26,2016,6,2,21,45,0,0.376,0.41,0.474,0.515,0.536
27,2016,6,2,22,0,0,0.376,0.4099,0.474,0.515,0.536
28,2016,6,2,22,15,0,0.376,0.4099,0.474,0.515,0.536
29,2016,6,2,22,30,0,0.376,0.4099,0.474,0.515,0.536
30,2016,6,2,22,45,0,0.376,0.41,0.474,0.515,0.536
31,2016,6,2,23,0,0,0.376,0.41,0.474,0.515,0.536
32,2016,6,2,23,15,0,0.376,0.41,0.474,0.515,0.536
33,2016,6,2,23,30,0,0.376,0.4101,0.474,0.515,0.536
34,2016,6,2,23,45,0,0.376,0.4101,0.474,0.515,0.536
35,2016,6,3,0,0,0,0.376,0.4103,0.475,0.515,0.536
36,2016,6,3,0,15,0,0.376,0.4103,0.474,0.515,0.536
37,2016,6,3,0,30,0,0.376,0.4103,0.474,0.515,0.536
38,2016,6,3,0,45,0,0.376,0.4103,0.475,0.515,0.536
39,2016,6,3,1,0,0,0.376,0.4104,0.475,0.515,0.536
40,2016,6,3,1,15,0,0.376,0.4103,0.474,0.515,0.536
41,2016,6,3,1,30,0,0.377,0.4104,0.474,0.515,0.536
42,2016,6,3,1,45,0,0.377,0.4104,0.475,0.515,0.536
