id,Year,Month,Day,Hour,Minute,Second,Z=100,Z=300,Z=500,Z=670,Z=1000
43,2016,6,3,2,0,0,0.377,0.4104,0.475,0.515,0.536
44,2016,6,3,2,15,0,0.377,0.4104,0.475,0.515,0.536
45,2016,6,3,2,30,0,0.377,0.4106,0.475,0.515,0.536
46,2016,6,3,2,45,0,0.377,0.4107,0.475,0.515,0.536
47,2016,6,3,3,0,0,0.377,0.4106,0.475,0.515,0.536
48,2016,6,3,3,15,0,0.377,0.4106,0.475,0.515,0.536
49,2016,6,3,3,30,0,0.377,0.4109,0.475,0.515,0.536
50,2016,6,3,3,45,0,0.377,0.4107,0.475,0.515,0.536
51,2016,6,3,4,0,0,0.377,0.4107,0.475,0.515,0.536
52,2016,6,3,4,15,0,0.377,0.4107,0.475,0.515,0.536
53,2016,6,3,4,30,0,0.377,0.4107,0.475,0.515,0.536
54,2016,6,3,4,45,0,0.377,0.4109,0.475,0.515,0.536
55,2016,6,3,5,0,0,0.377,0.4109,0.475,0.515,0.536
56,2016,6,3,5,15,0,0.377,0.4109,0.475,0.515,0.536
57,2016,6,3,5,30,0,0.377,0.4109,0.475,0.515,0.536
58,2016,6,3,5,45,0,0.377,0.4109,0.475,0.515,0.536
59,2016,6,3,6,0,0,0.377,0.4109,0.475,0.515,0.536
60,2016,6,3,6,15,0,0.377,0.411,0.475,0.515,0.536
61,2016,6,3,6,30,0,0.377,0.411,0.475,0.515,0.536
62,2016,6,3,6,45,0,0.377,0.411,0.475,0.515,0.536
63,2016,6,3,7,0,0,0.377,0.411,0.475,0.515,0.536
64,2016,6,3,7,15,0,0.378,0.4113,0.475,0.515,0.536
65,2016,6,3,7,30,0,0.378,0.4111,0.475,0.515,0.536
66,2016,6,3,7,45,0,0.378,0.411,0.475,0.515,0.536
67,2016,6,3,8,0,0,0.378,0.4111,0.475,0.515,0.536
68,2016,6,3,8,15,0,0.378,0.4113,0.475,0.515,0.536
69,2016,6,3,8,30,0,0.378,0.4113,0.475,0.515,0.536
70,2016,6,3,8,45,0,0.378,0.4113,0.475,0.515,0.536
71,2016,6,3,9,0,0,0.378,0.4114,0.475,0.515,0.536
72,2016,6,3,9,15,0,0.378,0.4114,0.475,0.515,0.536
73,2016,6,3,9,30,0,0.378,0.4114,0.475,0.515,0.536
74,2016,6,3,9,45,0,0.378,0.4116,0.475,0.515,0.536
75,2016,6,3,10,0,0,0.378,0.4114,0.475,0.515,0.536
76,2016,6,3,10,15,0,0.378,0.4116,0.475,0.515,0.536
77,2016,6,3,10,30,0,0.378,0.4116,0.475,0.515,0.536
78,2016,6,3,10,45,0,0.378,0.4117,0.475,0.515,0.536
79,2016,6,3,11,0,0,0.378,0.4117,0.475,0.515,0.536
80,2016,6,3,11,15,0,0.378,0.4116,0.475,0.515,0.536
81,2016,6,3,11,30,0,0.378,0.4117,0.475,0.515,0.536
82,2016,6,3,11,45,0,0.378,0.4116,0.475,0.515,0.536
83,2016,6,3,12,0,0,0.378,0.412,0.475,0.515,0.536
84,2016,6,3,12,15,0,0.378,0.4116,0.475,0.515,0.536
85,2016,6,3,12,30,0,0.378,0.412,0.475,0.515,0.536
86,2016,6,3,12,45,0,0.378,0.4117,0.475,0.515,0.536
87,2016,6,3,13,0,0,0.378,0.4117,0.475,0.515,0.536
88,2016,6,3,13,15,0,0.378,0.4119,0.475,0.515,0.536
89,2016,6,3,13,30,0,0.378,0.4117,0.475,0.515,0.536
90,2016,6,3,13,45,0,0.378,0.4119,0.475,0.515,0.536
91,2016,6,3,14,0,0,0.378,0.4119,0.475,0.515,0.536
92,2016,6,3,14,15,0,0.378,0.4117,0.475,0.515,0.536
93,2016,6,3,14,30,0,0.378,0.4119,0.475,0.515,0.536
94,2016,6,3,14,45,0,0.378,0.4119,0.475,0.515,0.536
95,2016,6,3,15,0,0,0.378,0.4119,0.475,0.516,0.536
96,2016,6,3,15,15,0,0.378,0.4119,0.475,0.515,0.536
97,2016,6,3,15,30,0,0.378,0.4119,0.475,0.515,0.536
98,2016,6,3,15,45,0,0.378,0.4117,0.475,0.515,0.536
99,2016,6,3,16,0,0,0.378,0.4117,0.475,0.515,0.536
100,2016,6,3,16,15,0,0.378,0.4117,0.475,0.515,0.536
101,2016,6,3,16,30,0,0.378,0.4117,0.475,0.515,0.536
102,2016,6,3,16,45,0,0.378,0.4119,0.475,0.515,0.536
103,2016,6,3,17,0,0,0.378,0.4119,0.475,0.515,0.536
104,2016,6,3,17,15,0,0.378,0.4119,0.475,0.515,0.536
105,2016,6,3,17,30,0,0.378,0.4117,0.475,0.515,0.536
106,2016,6,3,17,45,0,0.378,0.4119,0.475,0.515,0.536
107,2016,6,3,18,0,0,0.378,0.4117,0.475,0.516,0.536
108,2016,6,3,18,15,0,0.378,0.4117,0.475,0.515,0.536
109,2016,6,3,18,30,0,0.378,0.4117,0.475,0.516,0.536
110,2016,6,3,18,45,0,0.378,0.4117,0.475,0.515,0.536
111,2016,6,3,19,0,0,0.378,0.4117,0.475,0.515,0.536
112,2016,6,3,19,15,0,0.378,0.4119,0.475,0.515,0.536
113,2016,6,3,19,30,0,0.378,0.4119,0.475,0.515,0.536
114,2016,6,3,19,45,0,0.378,0.412,0.475,0.515,0.536
115,2016,6,3,20,0,0,0.378,0.412,0.475,0.515,0.536
116,2016,6,3,20,15,0,0.378,0.4117,0.475,0.515,0.536
117,2016,6,3,20,30,0,0.378,0.412,0.475,0.515,0.536
118,2016,6,3,20,45,0,0.378,0.4119,0.475,0.515,0.536
119,2016,6,3,21,0,0,0.378,0.412,0.475,0.515,0.536
120,2016,6,3,21,15,0,0.378,0.4119,0.475,0.515,0.536
121,2016,6,3,21,30,0,0.378,0.412,0.475,0.515,0.536
122,2016,6,3,21,45,0,0.378,0.4119,0.475,0.515,0.536
123,2016,6,3,22,0,0,0.378,0.412,0.475,0.515,0.536
124,2016,6,3,22,15,0,0.378,0.4119,0.475,0.515,0.536
125,2016,6,3,22,30,0,0.378,0.4119,0.475,0.515,0.536
126,2016,6,3,22,45,0,0.378,0.4119,0.475,0.515,0.536
127,2016,6,3,23,0,0,0.378,0.412,0.475,0.515,0.536
128,2016,6,3,23,15,0,0.378,0.412,0.475,0.515,0.536
129,2016,6,3,23,30,0,0.378,0.4121,0.475,0.515,0.536
130,2016,6,3,23,45,0,0.378,0.412,0.475,0.515,0.536
131,2016,6,4,0,0,0,0.378,0.4121,0.475,0.515,0.536
132,2016,6,4,0,15,0,0.378,0.412,0.476,0.516,0.536
133,2016,6,4,0,30,0,0.378,0.4121,0.475,0.515,0.536
134,2016,6,4,0,45,0,0.378,0.4121,0.475,0.515,0.536
135,2016,6,4,1,0,0,0.378,0.4121,0.476,0.515,0.536
136,2016,6,4,1,15,0,0.378,0.4121,0.476,0.515,0.536
137,2016,6,4,1,30,0,0.378,0.412,0.475,0.515,0.536
138,2016,6,4,1,45,0,0.378,0.4121,0.476,0.515,0.536
139,2016,6,4,2,0,0,0.378,0.4121,0.475,0.515,0.536
140,2016,6,4,2,15,0,0.378,0.4123,0.476,0.515,0.535
141,2016,6,4,2,30,0,0.378,0.4123,0.476,0.515,0.536
142,2016,6,4,2,45,0,0.378,0.4123,0.475,0.515,0.536
143,2016,6,4,3,0,0,0.378,0.4123,0.476,0.515,0.535
144,2016,6,4,3,15,0,0.378,0.4123,0.475,0.516,0.536
145,2016,6,4,3,30,0,0.378,0.4123,0.476,0.515,0.536
146,2016,6,4,3,45,0,0.378,0.4123,0.475,0.515,0.536
147,2016,6,4,4,0,0,0.378,0.4124,0.476,0.516,0.535
148,2016,6,4,4,15,0,0.378,0.4123,0.476,0.515,0.536
149,2016,6,4,4,30,0,0.378,0.4124,0.476,0.515,0.536
150,2016,6,4,4,45,0,0.378,0.4123,0.475,0.516,0.536
151,2016,6,4,5,0,0,0.378,0.4124,0.476,0.515,0.535
152,2016,6,4,5,15,0,0.378,0.4123,0.476,0.516,0.535
153,2016,6,4,5,30,0,0.379,0.4123,0.476,0.515,0.535
154,2016,6,4,5,45,0,0.378,0.4126,0.476,0.515,0.536
155,2016,6,4,6,0,0,0.378,0.4126,0.476,0.515,0.535
156,2016,6,4,6,15,0,0.379,0.4124,0.476,0.515,0.535
157,2016,6,4,6,30,0,0.379,0.4123,0.476,0.515,0.535
158,2016,6,4,6,45,0,0.379,0.4124,0.476,0.515,0.535
159,2016,6,4,7,0,0,0.378,0.4124,0.476,0.515,0.535
160,2016,6,4,7,15,0,0.379,0.4124,0.476,0.515,0.535
161,2016,6,4,7,30,0,0.379,0.4124,0.476,0.515,0.535
162,2016,6,4,7,45,0,0.379,0.4126,0.476,0.516,0.535
163,2016,6,4,8,0,0,0.379,0.4124,0.476,0.515,0.535
164,2016,6,4,8,15,0,0.379,0.4126,0.476,0.515,0.535
165,2016,6,4,8,30,0,0.379,0.4127,0.476,0.515,0.535
166,2016,6,4,8,45,0,0.379,0.4126,0.476,0.515,0.535
167,2016,6,4,9,0,0,0.379,0.4126,0.476,0.515,0.535
168,2016,6,4,9,15,0,0.379,0.4126,0.476,0.516,0.535
169,2016,6,4,9,30,0,0.378,0.4124,0.476,0.515,0.535
170,2016,6,4,9,45,0,0.378,0.4126,0.476,0.516,0.535
171,2016,6,4,10,0,0,0.378,0.4124,0.476,0.515,0.535
172,2016,6,4,10,15,0,0.379,0.4127,0.476,0.515,0.535
173,2016,6,4,10,30,0,0.379,0.4126,0.476,0.516,0.535
174,2016,6,4,10,45,0,0.379,0.4126,0.476,0.515,0.535
175,2016,6,4,11,0,0,0.379,0.4127,0.476,0.515,0.535
176,2016,6,4,11,15,0,0.379,0.4128,0.476,0.515,0.535
177,2016,6,4,11,30,0,0.379,0.4128,0.476,0.516,0.535
178,2016,6,4,11,45,0,0.379,0.4127,0.476,0.515,0.535
179,2016,6,4,12,0,0,0.379,0.4127,0.476,0.515,0.535
180,2016,6,4,12,15,0,0.379,0.4127,0.476,0.515,0.535
181,2016,6,4,12,30,0,0.379,0.4127,0.476,0.515,0.535
182,2016,6,4,12,45,0,0.378,0.4127,0.476,0.515,0.535
183,2016,6,4,13,0,0,0.379,0.4128,0.476,0.516,0.535
184,2016,6,4,13,15,0,0.379,0.4128,0.476,0.515,0.535
185,2016,6,4,13,30,0,0.379,0.4127,0.476,0.515,0.535
186,2016,6,4,13,45,0,0.379,0.4128,0.476,0.515,0.535
187,2016,6,4,14,0,0,0.379,0.4127,0.476,0.516,0.535
188,2016,6,4,14,15,0,0.379,0.4127,0.476,0.515,0.535
189,2016,6,4,14,30,0,0.379,0.4127,0.476,0.516,0.535
190,2016,6,4,14,45,0,0.379,0.413,0.476,0.515,0.535
191,2016,6,4,15,0,0,0.379,0.4127,0.476,0.516,0.535
192,2016,6,4,15,15,0,0.379,0.4128,0.476,0.515,0.535
193,2016,6,4,15,30,0,0.379,0.4127,0.476,0.515,0.535
194,2016,6,4,15,45,0,0.379,0.4128,0.476,0.515,0.535
195,2016,6,4,16,0,0,0.379,0.4128,0.476,0.515,0.535
196,2016,6,4,16,15,0,0.378,0.4128,0.476,0.515,0.535
197,2016,6,4,16,30,0,0.379,0.4128,0.476,0.515,0.535
198,2016,6,4,16,45,0,0.379,0.413,0.476,0.516,0.535
199,2016,6,4,17,0,0,0.379,0.4128,0.476,0.515,0.535
200,2016,6,4,17,15,0,0.379,0.4127,0.476,0.515,0.535
201,2016,6,4,17,30,0,0.379,0.413,0.476,0.515,0.535
202,2016,6,4,17,45,0,0.379,0.4128,0.476,0.515,0.535
203,2016,6,4,18,0,0,0.379,0.4127,0.476,0.515,0.535
204,2016,6,4,18,15,0,0.379,0.413,0.476,0.515,0.535
205,2016,6,4,18,30,0,0.379,0.4128,0.476,0.515,0.535
206,2016,6,4,18,45,0,0.379,0.4127,0.476,0.515,0.535
207,2016,6,4,19,0,0,0.379,0.4128,0.476,0.515,0.535
208,2016,6,4,19,15,0,0.378,0.4128,0.476,0.516,0.535
209,2016,6,4,19,30,0,0.379,0.413,0.476,0.516,0.535
210,2016,6,4,19,45,0,0.379,0.4128,0.476,0.515,0.535
211,2016,6,4,20,0,0,0.378,0.4128,0.476,0.515,0.535
212,2016,6,4,20,15,0,0.379,0.413,0.476,0.515,0.535
213,2016,6,4,20,30,0,0.378,0.4128,0.476,0.516,0.535
214,2016,6,4,20,45,0,0.379,0.4128,0.476,0.515,0.535
215,2016,6,4,21,0,0,0.378,0.4128,0.476,0.515,0.535
216,2016,6,4,21,15,0,0.378,0.4128,0.476,0.515,0.535
217,2016,6,4,21,30,0,0.378,0.4128,0.476,0.515,0.535
218,2016,6,4,21,45,0,0.378,0.4131,0.476,0.515,0.535
219,2016,6,4,22,0,0,0.378,0.4128,0.476,0.515,0.535
220,2016,6,4,22,15,0,0.378,0.4128,0.476,0.515,0.535
221,2016,6,4,22,30,0,0.378,0.413,0.476,0.515,0.535
222,2016,6,4,22,45,0,0.378,0.4128,0.476,0.515,0.535
223,2016,6,4,23,0,0,0.378,0.4128,0.476,0.516,0.535
224,2016,6,4,23,15,0,0.378,0.413,0.476,0.515,0.535
225,2016,6,4,23,30,0,0.378,0.4128,0.476,0.515,0.535
226,2016,6,4,23,45,0,0.378,0.413,0.476,0.515,0.535
227,2016,6,5,0,0,0,0.378,0.4131,0.476,0.515,0.535
228,2016,6,5,0,15,0,0.378,0.413,0.476,0.515,0.535
229,2016,6,5,0,30,0,0.378,0.4131,0.476,0.515,0.535
230,2016,6,5,0,45,0,0.378,0.4133,0.476,0.516,0.535
231,2016,6,5,1,0,0,0.378,0.4137,0.477,0.516,0.535
232,2016,6,5,1,15,0,0.378,0.4135,0.476,0.515,0.535
233,2016,6,5,1,30,0,0.378,0.4137,0.476,0.515,0.535
234,2016,6,5,1,45,0,0.379,0.4135,0.476,0.515,0.535
235,2016,6,5,2,0,0,0.378,0.4135,0.476,0.515,0.535
236,2016,6,5,2,15,0,0.378,0.4134,0.476,0.516,0.535
237,2016,6,5,2,30,0,0.378,0.4134,0.476,0.516,0.535
238,2016,6,5,2,45,0,0.379,0.4133,0.476,0.516,0.535
239,2016,6,5,3,0,0,0.379,0.4133,0.476,0.515,0.535
240,2016,6,5,3,15,0,0.379,0.4131,0.476,0.515,0.535
241,2016,6,5,3,30,0,0.379,0.4133,0.476,0.515,0.535
242,2016,6,5,3,45,0,0.379,0.4131,0.476,0.515,0.535
243,2016,6,5,4,0,0,0.379,0.4133,0.476,0.515,0.535
244,2016,6,5,4,15,0,0.379,0.4131,0.476,0.516,0.535
245,2016,6,5,4,30,0,0.379,0.4133,0.476,0.515,0.535
246,2016,6,5,4,45,0,0.379,0.4131,0.476,0.515,0.535
247,2016,6,5,5,0,0,0.379,0.4133,0.476,0.515,0.535
248,2016,6,5,5,15,0,0.379,0.4133,0.476,0.515,0.535
249,2016,6,5,5,30,0,0.379,0.4133,0.476,0.515,0.535
250,2016,6,5,5,45,0,0.379,0.4133,0.476,0.516,0.535
251,2016,6,5,6,0,0,0.379,0.4133,0.476,0.516,0.535
252,2016,6,5,6,15,0,0.379,0.4134,0.476,0.515,0.535
253,2016,6,5,6,30,0,0.379,0.4133,0.476,0.516,0.535
254,2016,6,5,6,45,0,0.379,0.4134,0.476,0.516,0.535
255,2016,6,5,7,0,0,0.379,0.4133,0.476,0.516,0.535
256,2016,6,5,7,15,0,0.379,0.4133,0.476,0.516,0.535
257,2016,6,5,7,30,0,0.379,0.4134,0.476,0.515,0.535
258,2016,6,5,7,45,0,0.379,0.4134,0.476,0.516,0.535
259,2016,6,5,8,0,0,0.379,0.4134,0.476,0.516,0.535
260,2016,6,5,8,15,0,0.379,0.4133,0.476,0.516,0.535
261,2016,6,5,8,30,0,0.379,0.4133,0.476,0.515,0.535
262,2016,6,5,8,45,0,0.379,0.4134,0.476,0.515,0.535
263,2016,6,5,9,0,0,0.379,0.4134,0.476,0.515,0.535
264,2016,6,5,9,15,0,0.379,0.4134,0.476,0.516,0.535
265,2016,6,5,9,30,0,0.379,0.4134,0.476,0.515,0.535
266,2016,6,5,9,45,0,0.379,0.4135,0.476,0.515,0.535
267,2016,6,5,10,0,0,0.379,0.4134,0.476,0.515,0.535
268,2016,6,5,10,15,0,0.379,0.4135,0.476,0.516,0.535
269,2016,6,5,10,30,0,0.379,0.4135,0.476,0.516,0.535
270,2016,6,5,10,45,0,0.379,0.4135,0.476,0.516,0.535
271,2016,6,5,11,0,0,0.379,0.4135,0.476,0.515,0.535
272,2016,6,5,11,15,0,0.379,0.4135,0.476,0.515,0.535
273,2016,6,5,11,30,0,0.379,0.4135,0.476,0.516,0.535
274,2016,6,5,11,45,0,0.379,0.4138,0.476,0.516,0.535
275,2016,6,5,12,0,0,0.379,0.4137,0.476,0.516,0.535
276,2016,6,5,12,15,0,0.379,0.4135,0.476,0.515,0.535
277,2016,6,5,12,30,0,0.379,0.4138,0.476,0.516,0.535
278,2016,6,5,12,45,0,0.379,0.4135,0.476,0.515,0.535
279,2016,6,5,13,0,0,0.379,0.4138,0.476,0.516,0.535
280,2016,6,5,13,15,0,0.379,0.4137,0.476,0.515,0.535
281,2016,6,5,13,30,0,0.379,0.4137,0.476,0.515,0.535
282,2016,6,5,13,45,0,0.379,0.4137,0.476,0.516,0.535
283,2016,6,5,14,0,0,0.379,0.414,0.476,0.516,0.535
284,2016,6,5,14,15,0,0.379,0.4135,0.476,0.516,0.535
285,2016,6,5,14,30,0,0.379,0.4138,0.476,0.515,0.535
286,2016,6,5,14,45,0,0.379,0.4134,0.476,0.515,0.535
287,2016,6,5,15,0,0,0.379,0.4135,0.476,0.516,0.535
288,2016,6,5,15,15,0,0.379,0.4135,0.476,0.515,0.535
289,2016,6,5,15,30,0,0.379,0.4137,0.476,0.515,0.535
290,2016,6,5,15,45,0,0.379,0.4145,0.477,0.515,0.535
291,2016,6,5,16,0,0,0.379,0.4135,0.476,0.516,0.535
292,2016,6,5,16,15,0,0.379,0.4137,0.476,0.515,0.535
293,2016,6,5,16,30,0,0.379,0.4135,0.476,0.516,0.535
294,2016,6,5,16,45,0,0.379,0.4137,0.476,0.515,0.535
295,2016,6,5,17,0,0,0.379,0.414,0.477,0.515,0.535
296,2016,6,5,17,15,0,0.379,0.4137,0.476,0.515,0.535
297,2016,6,5,17,30,0,0.379,0.414,0.477,0.515,0.535
298,2016,6,5,17,45,0,0.379,0.414,0.477,0.515,0.535
299,2016,6,5,18,0,0,0.379,0.4138,0.477,0.515,0.535
300,2016,6,5,18,15,0,0.379,0.4144,0.477,0.515,0.535
301,2016,6,5,18,30,0,0.379,0.4144,0.477,0.516,0.535
302,2016,6,5,18,45,0,0.379,0.4145,0.477,0.515,0.535
303,2016,6,5,19,0,0,0.379,0.4145,0.477,0.516,0.535
304,2016,6,5,19,15,0,0.379,0.4137,0.476,0.516,0.535
305,2016,6,5,19,30,0,0.379,0.4138,0.477,0.516,0.535
306,2016,6,5,19,45,0,0.379,0.4137,0.476,0.515,0.535
307,2016,6,5,20,0,0,0.379,0.4137,0.476,0.515,0.535
308,2016,6,5,20,15,0,0.379,0.4137,0.476,0.515,0.535
309,2016,6,5,20,30,0,0.379,0.4141,0.477,0.515,0.535
310,2016,6,5,20,45,0,0.379,0.4144,0.477,0.515,0.535
311,2016,6,5,21,0,0,0.379,0.4147,0.477,0.515,0.535
312,2016,6,5,21,15,0,0.379,0.4145,0.477,0.515,0.535
313,2016,6,5,21,30,0,0.378,0.414,0.477,0.515,0.535
314,2016,6,5,21,45,0,0.378,0.4141,0.477,0.515,0.535
315,2016,6,5,22,0,0,0.379,0.414,0.477,0.515,0.535
316,2016,6,5,22,15,0,0.379,0.4138,0.477,0.516,0.535
317,2016,6,5,22,30,0,0.378,0.4137,0.476,0.516,0.535
318,2016,6,5,22,45,0,0.378,0.4137,0.476,0.516,0.535
319,2016,6,5,23,0,0,0.378,0.4137,0.477,0.516,0.535
320,2016,6,5,23,15,0,0.378,0.4137,0.476,0.515,0.535
321,2016,6,5,23,30,0,0.378,0.414,0.477,0.515,0.535
322,2016,6,5,23,45,0,0.379,0.4137,0.476,0.515,0.535
323,2016,6,6,0,0,0,0.378,0.414,0.476,0.515,0.535
324,2016,6,6,0,15,0,0.379,0.4138,0.476,0.515,0.535
325,2016,6,6,0,30,0,0.379,0.4138,0.476,0.515,0.535
326,2016,6,6,0,45,0,0.379,0.4138,0.476,0.516,0.535
327,2016,6,6,1,0,0,0.379,0.4138,0.476,0.515,0.535
328,2016,6,6,1,15,0,0.379,0.4138,0.476,0.515,0.535
329,2016,6,6,1,30,0,0.379,0.4138,0.476,0.515,0.535
330,2016,6,6,1,45,0,0.379,0.4135,0.476,0.515,0.534
331,2016,6,6,2,0,0,0.379,0.414,0.476,0.515,0.535
332,2016,6,6,2,15,0,0.379,0.4138,0.476,0.515,0.535
333,2016,6,6,2,30,0,0.379,0.414,0.476,0.515,0.535
334,2016,6,6,2,45,0,0.379,0.4137,0.476,0.516,0.535
335,2016,6,6,3,0,0,0.379,0.414,0.476,0.515,0.535
336,2016,6,6,3,15,0,0.379,0.4138,0.476,0.515,0.535
337,2016,6,6,3,30,0,0.379,0.4138,0.476,0.515,0.535
338,2016,6,6,3,45,0,0.379,0.4138,0.476,0.515,0.535
339,2016,6,6,4,0,0,0.379,0.4138,0.476,0.516,0.535
340,2016,6,6,4,15,0,0.379,0.4138,0.476,0.516,0.535
341,2016,6,6,4,30,0,0.379,0.4141,0.477,0.515,0.534
342,2016,6,6,4,45,0,0.379,0.414,0.477,0.515,0.535
343,2016,6,6,5,0,0,0.379,0.414,0.477,0.515,0.535
344,2016,6,6,5,15,0,0.379,0.4138,0.476,0.515,0.534
345,2016,6,6,5,30,0,0.379,0.4138,0.476,0.516,0.535
346,2016,6,6,5,45,0,0.379,0.4138,0.476,0.515,0.535
347,2016,6,6,6,0,0,0.379,0.414,0.476,0.516,0.534
348,2016,6,6,6,15,0,0.379,0.414,0.476,0.515,0.535
349,2016,6,6,6,30,0,0.379,0.414,0.476,0.515,0.535
350,2016,6,6,6,45,0,0.379,0.4138,0.476,0.516,0.535
351,2016,6,6,7,0,0,0.379,0.4141,0.476,0.515,0.535
352,2016,6,6,7,15,0,0.379,0.4138,0.476,0.515,0.535
353,2016,6,6,7,30,0,0.379,0.414,0.476,0.516,0.535
354,2016,6,6,7,45,0,0.379,0.4138,0.476,0.515,0.535
355,2016,6,6,8,0,0,0.379,0.4143,0.477,0.515,0.535
356,2016,6,6,8,15,0,0.379,0.414,0.476,0.515,0.535
357,2016,6,6,8,30,0,0.379,0.414,0.477,0.515,0.535
358,2016,6,6,8,45,0,0.379,0.414,0.476,0.516,0.534
359,2016,6,6,9,0,0,0.379,0.4138,0.476,0.515,0.534
360,2016,6,6,9,15,0,0.379,0.414,0.477,0.516,0.535
361,2016,6,6,9,30,0,0.379,0.414,0.476,0.515,0.535
362,2016,6,6,9,45,0,0.379,0.4138,0.476,0.515,0.535
363,2016,6,6,10,0,0,0.379,0.4138,0.477,0.515,0.535
364,2016,6,6,10,15,0,0.379,0.414,0.476,0.515,0.535
365,2016,6,6,10,30,0,0.379,0.4141,0.476,0.515,0.535
366,2016,6,6,10,45,0,0.379,0.414,0.477,0.516,0.534
367,2016,6,6,11,0,0,0.379,0.414,0.477,0.515,0.535
368,2016,6,6,11,15,0,0.379,0.4141,0.476,0.515,0.534
369,2016,6,6,11,30,0,0.379,0.4141,0.476,0.515,0.535
370,2016,6,6,11,45,0,0.379,0.4143,0.477,0.515,0.535
371,2016,6,6,12,0,0,0.379,0.4143,0.476,0.515,0.535
372,2016,6,6,12,15,0,0.379,0.414,0.476,0.515,0.534
373,2016,6,6,12,30,0,0.379,0.4141,0.476,0.515,0.535
374,2016,6,6,12,45,0,0.379,0.4141,0.477,0.515,0.534
375,2016,6,6,13,0,0,0.379,0.4141,0.477,0.516,0.534
376,2016,6,6,13,15,0,0.379,0.4141,0.476,0.515,0.534
377,2016,6,6,13,30,0,0.379,0.414,0.476,0.515,0.534
378,2016,6,6,13,45,0,0.379,0.414,0.477,0.515,0.534
379,2016,6,6,14,0,0,0.378,0.4141,0.477,0.515,0.535
380,2016,6,6,14,15,0,0.378,0.4143,0.477,0.515,0.534
381,2016,6,6,14,30,0,0.378,0.4143,0.477,0.515,0.534
382,2016,6,6,14,45,0,0.379,0.4143,0.477,0.515,0.534
383,2016,6,6,15,0,0,0.379,0.4141,0.477,0.515,0.535
384,2016,6,6,15,15,0,0.379,0.4141,0.477,0.515,0.534
385,2016,6,6,15,30,0,0.379,0.4141,0.477,0.516,0.534
386,2016,6,6,15,45,0,0.378,0.414,0.477,0.515,0.535
387,2016,6,6,16,0,0,0.378,0.4141,0.476,0.516,0.534
