Layer Cm/H,0.0cm,10.0cm,20.0cm,30.0cm,40.0cm,50.0cm,60.0cm,70.0cm,80.0cm,90.0cm,100.0cm,200.0cm,300.0cm,400.0cm,500.0cm,600.0cm,700.0cm,800.0cm,900.0cm,1000.0cm,2000.0cm,3000.0cm,4000.0cm,5000.0cm,6000.0cm,7000.0cm,8000.0cm,9000.0cm,10000.0cm,15000.0cm,20000.0cm,30000.0cm,100000.0cm
1.0,4.4149593551991995,2.1090318604757017,1.5294311172521406,1.1913409755650226,0.9670287841024292,0.806878579175971,0.6868607168129613,0.5937333133477898,0.5195386013749127,0.4591843302416156,0.4092520869083376,0.17105011342774515,0.09309889632532581,0.05771990238209902,0.03875740474631966,0.027485880990793483,0.02028954405579877,0.01544632487140462,0.012051462985352293,0.009593350358303563,0.001846572329455584,0.0006237767191126659,0.00027313667271977886,0.00013935809694305977,7.872964643318099e-5,4.785764300748083e-5,3.074895648795037e-5,2.063532336122e-5,1.4343847871658806e-5,3.3286093203229535e-6,1.1126598948708155e-6,2.1823320655274498e-7,9.587782139230674e-10
2.0,0.017518373245301113,0.008928398659496796,0.005785943505702582,0.004070172776539494,0.0030154171038928937,0.00231629073397842,0.0018279452552230672,0.0014732967637856866,0.001207840503949206,0.0010042655665440808,0.0008449959949402221,0.00022510496164502314,8.861835383136924e-5,4.2446699178451165e-5,2.2951704921799377e-5,1.3490765859130693e-5,8.432443223129503e-6,5.5266136207780985e-6,3.7617588138935737e-6,2.641021190936055e-6,2.0479349814863605e-7,3.8010112932144965e-8,1.0559588301771982e-8,3.7208854159100346e-9,1.5362274222970223e-9,7.107410355560548e-10,3.584021787652831e-10,1.933743661018085e-10,1.1019247051170955e-10,1.1535857345391986e-11,2.127191117007772e-12,1.7292423567926133e-13,4.152076735813805e-17
3.0,0.08918958619498006,0.05615583542048087,0.04338292372334285,0.0342191352020408,0.027560411766994326,0.02259145945255492,0.018791485947014575,0.015824167185869844,0.013465771547935206,0.011562935949731342,0.010007658879062966,0.0031487980149685563,0.0013388940870610589,0.000669747054197725,0.0003718713406557193,0.0002222655091067796,0.00014039457465699716,9.259805475864174e-5,6.324158770981898e-5,4.445546206383749e-5,3.3266320797666695e-6,5.827523802542313e-7,1.5272770314403914e-7,5.0921126649648314e-8,1.9961756115871796e-8,8.797931529868685e-9,4.238964004453578e-9,2.191081710311796e-9,1.1989565901679442e-9,1.0533225362481495e-10,1.6832914705692654e-11,1.088967515861263e-12,1.1013626065629593e-16
4.0,0.006366241019905888,0.001818877484898485,0.0010403097866465549,0.0006841015852784019,0.0004854826324531663,0.00036198348042470156,0.0002795601161681053,0.00022171206390029287,0.00017954387145355965,0.0001478780752640752,0.00012352061541964047,3.232591275457539e-5,1.2941486776911795e-5,6.357954915661116e-6,3.5346155507127065e-6,2.1368057308884294e-6,1.373052128660626e-6,9.24411084550962e-7,6.457841883491357e-7,4.649078182457976e-7,4.4451901736256726e-8,9.674588777472214e-9,3.0603060398294042e-9,1.2043036914102004e-9,5.476613038326869e-10,2.761890264315805e-10,1.5057463812659224e-10,8.725603868927604e-11,5.311162140429622e-11,7.298743299444823e-12,1.6616023437178474e-12,1.8641211357954377e-13,1.3871505471218436e-16
5.0,0.016193144474373148,0.007079266674987284,0.005154434309787786,0.0040282621642775554,0.00327897614105893,0.0027426791575644095,0.0023398730678068276,0.002026680076832788,0.0017766912186259172,0.0015729823796187883,0.0014041765864141206,0.0005940853627465064,0.0003261228126960755,0.0002035550481595213,0.00013744939473755505,9.794777301356642e-5,7.26118742715329e-5,5.5490842539930977e-5,4.3445582314837295e-5,3.469463332963612e-5,6.833170472788447e-6,2.343130315516419e-6,1.0377036675909083e-6,5.343445718625575e-7,3.042325388946954e-7,1.8618910901615466e-7,1.2034693498194598e-7,8.119999402829933e-8,5.672043188467899e-8,1.3422885348885976e-8,4.552876468984168e-9,9.124437956982596e-10,4.302488998087716e-12
