Id,WofBest,RmseBest,Efficiency,Global_WaterBalance,Global_WaterBalance_NormPr,ΔT_Average,∑∑ΔSink,∑ΔQ_Bot,SwcRoots,iNonConverge,ΔRunTimeHypix
1.0,0.00012543123634123178,0.01119960875840008,252.0,0.5919869057366327,0.10055153000603115,3599.0,292.7212843840056,252.8958548824002,317.0720833338888,2.0,2609.36
2.0,0.00012543123634123178,0.01119960875840008,252.0,0.5919869057366327,0.10055153000603115,3599.0,292.7212843840056,252.8958548824002,317.0720833338888,2.0,6799.773
3.0,8.006988260831152e-5,0.008948177613811179,249.0,0.520457230234058,0.08840189048129948,3598.0,279.9278511326709,274.60990234664536,320.31960080893515,2.0,11049.561
4.0,8.006988260831152e-5,0.008948177613811179,249.0,0.520457230234058,0.08840189048129948,3598.0,279.9278511326709,274.60990234664536,320.31960080893515,2.0,15319.48
5.0,6.73633726565858e-5,0.008207519275431877,337.0,-248.0184969127203,-42.12701150905353,3598.0,272.1133503532902,23.357407593770986,331.7102452063586,788.0,20408.241
6.0,6.73633726565858e-5,0.008207519275431877,337.0,-248.0184969127203,-42.12701150905353,3598.0,272.1133503532902,23.357407593770986,331.7102452063586,788.0,25589.411
7.0,6.319544971065414e-5,0.007949556573209234,331.0,-255.3620904883204,-43.37435165381297,3598.0,276.3275013321945,12.898600566960717,329.85735643099014,747.0,30450.892
8.0,6.183240463165227e-5,0.007863358355795078,337.0,-252.252557759586,-43.19579251203919,3598.0,267.4000855191134,20.748342700801775,331.7617163083616,794.0,35295.468
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
