0,iZ,Z,θini,Horizon
,1,12.5,0.441,1
,2,25,0.441,1
,3,37.5,0.441,1
,4,50,0.441,1
,5,75,0.441,1
,6,100,0.441,1
,7,125,0.441,1
,8,150,0.441,1
,9,175,0.441,1
,10,200,0.441,2
,11,225,0.441,2
,12,250,0.4317,2
,13,275,0.4317,2
,14,300,0.4317,2
,15,350,0.4317,3
,16,400,0.4317,3
,17,450,0.4317,3
,18,500,0.427,3
,19,550,0.427,4
,20,600,0.427,4
,21,650,0.427,4
,22,700,0.435,4
,23,750,0.435,4
,24,800,0.435,5
,25,850,0.435,5
,26,900,0.474,5
,27,950,0.474,5
,28,1000,0.474,5
,29,1050,0.474,5
,30,1100,0.474,5
,31,1150,0.474,5
,32,1200,0.474,5
