Id,Diameter[mm],Cumul_Psd
1,0.002,0.22
1,0.006,0.31
1,0.01,0.38
1,0.02,0.5
1,0.063,0.79
1,0.125,0.86
1,0.25,0.94
1,0.5,0.99
1,1,1
1,2,1
2,0.002,0.22
2,0.006,0.32
2,0.01,0.38
2,0.02,0.5
2,0.063,0.79
2,0.125,0.87
2,0.25,0.94
2,0.5,0.99
2,1,1
2,2,1
3,0.002,0.18
3,0.006,0.26
3,0.01,0.3
3,0.02,0.41
3,0.063,0.64
3,0.125,0.76
3,0.25,0.91
3,0.5,0.98
3,1,1
3,2,1
4,0.002,0.22
4,0.006,0.31
4,0.01,0.36
4,0.02,0.5
4,0.063,0.78
4,0.125,0.86
4,0.25,0.92
4,0.5,0.97
4,1,0.99
4,2,1
5,0.002,0.11
5,0.006,0.14
5,0.01,0.17
5,0.02,0.22
5,0.063,0.37
5,0.125,0.44
5,0.25,0.58
5,0.5,0.79
5,1,0.87
5,2,1
6,0.002,0.03
6,0.006,0.04
6,0.01,0.05
6,0.02,0.05
6,0.063,0.08
6,0.125,0.14
6,0.25,0.38
6,0.5,0.85
6,1,0.93
6,2,1
7,0.002,0.21
7,0.006,0.3
7,0.01,0.37
7,0.02,0.49
7,0.063,0.78
7,0.125,0.87
7,0.25,0.95
7,0.5,0.99
7,1,1
7,2,1
8,0.002,0.2
8,0.006,0.29
8,0.01,0.35
8,0.02,0.44
8,0.063,0.78
8,0.125,0.86
8,0.25,0.94
8,0.5,0.99
8,1,1
8,2,1
9,0.002,0.18
9,0.006,0.25
9,0.01,0.33
9,0.02,0.44
9,0.063,0.78
9,0.125,0.87
9,0.25,0.95
9,0.5,0.99
9,1,1
9,2,1
10,0.002,0.19
10,0.006,0.27
10,0.01,0.32
10,0.02,0.43
10,0.063,0.72
10,0.125,0.84
10,0.25,0.94
10,0.5,0.99
10,1,1
10,2,1
11,0.002,0.16
11,0.006,0.22
11,0.01,0.26
11,0.02,0.36
11,0.063,0.59
11,0.125,0.73
11,0.25,0.91
11,0.5,0.99
11,1,1
11,2,1
12,0.002,0.1
12,0.006,0.14
12,0.01,0.17
12,0.02,0.22
12,0.063,0.39
12,0.125,0.57
12,0.25,0.85
12,0.5,0.98
12,1,1
12,2,1
13,0.002,0.19
13,0.006,0.29
13,0.01,0.34
13,0.02,0.47
13,0.063,0.77
13,0.125,0.86
13,0.25,0.94
13,0.5,0.99
13,1,1
13,2,1
14,0.002,0.1
14,0.006,0.13
14,0.01,0.16
14,0.02,0.21
14,0.063,0.35
14,0.125,0.49
14,0.25,0.7
14,0.5,0.83
14,1,0.89
14,2,1
15,0.002,0.19
15,0.006,0.27
15,0.01,0.34
15,0.02,0.45
15,0.063,0.72
15,0.125,0.82
15,0.25,0.93
15,0.5,0.99
15,1,1
15,2,1
16,0.002,0.14
16,0.006,0.22
16,0.01,0.25
16,0.02,0.33
16,0.063,0.6
16,0.125,0.72
