Id,BulkDensitySoil[g_cm-3],ParticleDensity_Fine[g_cm-3],Density_Rock[g_cm-3],Rock[0_1]
1,0.990450358,2.54,2.65,0
2,1.200835801,2.61,2.65,0
3,1.25949534,2.64,2.65,0
4,1.279821743,2.66,2.65,0
5,0.828834359,2.67,2.65,0
6,1.319123548,2.67,2.65,0
7,0.934937778,2.51,2.65,0
8,1.117187784,2.57,2.65,0
9,1.005525071,2.61,2.65,0
10,1.056389271,2.63,2.65,0
11,1.053916875,2.63,2.65,0
12,-999,2.64,2.65,0
13,0.907838344,2.51,2.65,0
14,1.084703511,2.58,2.65,0
15,1.488551774,2.62,2.65,0
16,0.696584726,2.63,2.65,0
17,0.936529149,2.64,2.65,0
18,0.960233512,2.65,2.65,0
19,0.978621195,2.51,2.65,0
20,1.030949882,2.6,2.65,0
21,0.811759406,2.61,2.65,0
22,0.974239854,2.63,2.65,0
23,0.81830477,2.66,2.65,0
24,1.042613755,2.66,2.65,0
25,1.070631606,2.55,2.65,0
26,1.295775019,2.61,2.65,0
27,1.283221573,2.63,2.65,0
28,0.834995279,2.64,2.65,0
29,0.979286771,2.66,2.65,0
30,1.200993958,2.66,2.65,0
31,1.072351605,2.53,2.65,0
32,1.170017502,2.58,2.65,0
33,0.592672455,2.61,2.65,0
34,0.175554988,2.64,2.65,0
35,0.404814518,2.65,2.65,0
36,0.388887505,2.65,2.65,0
37,1.137960266,2.56,2.65,0
38,1.260704754,2.61,2.65,0
39,1.302778303,2.65,2.65,0
40,0.90040239,2.66,2.65,0
41,0.950269661,2.67,2.65,0
42,1.546889393,2.64,2.65,0
43,1.168459241,2.57,2.65,0
44,1.239726463,2.58,2.65,0
45,1.273195412,2.63,2.65,0
46,0.922808313,2.66,2.65,0
47,1.158419195,2.67,2.65,0
48,1.306009231,2.67,2.65,0
49,1.083507837,2.65,2.65,0
50,1.177522011,2.61,2.65,0
51,1.025155597,2.62,2.65,0
52,0.971530525,2.64,2.65,0
53,0.903951718,2.67,2.65,0
54,0.761478837,2.65,2.65,0
55,1.08787546,2.58,2.65,0
56,1.301736378,2.63,2.65,0
57,1.87953417,2.65,2.65,0
58,1.181276125,2.66,2.65,0
59,1.046448455,2.67,2.65,0
60,1.074757937,2.66,2.65,0
61,1.091838511,2.58,2.65,0
62,1.192976405,2.62,2.65,0
63,1.258661716,2.63,2.65,0
64,1.210089457,2.66,2.65,0
65,1.118339876,2.66,2.65,0
66,0.960900608,2.65,2.65,0
67,1.135205563,2.59,2.65,0
68,1.315018004,2.61,2.65,0
69,1.254928208,2.64,2.65,0
70,1.23217391,2.66,2.65,0
71,0.962399063,2.66,2.65,0
72,0.674899433,2.66,2.65,0
73,1.113415049,2.596192436,2.65,0
74,1.298506995,2.624227979,2.65,0
75,1.135976301,2.645851757,2.65,0
76,1.058959792,2.656924992,2.65,0
77,1.195858394,2.666134831,2.65,0
78,1.200690475,2.669314239,2.65,0
79,1.004468839,2.551030128,2.65,0
80,1.201706936,2.597661897,2.65,0
81,1.041213741,2.613960802,2.65,0
82,0.908041362,2.630546154,2.65,0
83,1.007242687,2.650004227,2.65,0
84,1.22153702,2.650949753,2.65,0
85,1.06832444,2.546821794,2.65,0
86,1.192060232,2.61719474,2.65,0
87,1.25120325,2.660764452,2.65,0
88,1.465979436,2.674481955,2.65,0
89,1.032412623,2.676854063,2.65,0
90,1.365342306,2.697472929,2.65,0
91,1.151115066,2.565878443,2.65,0
92,1.229971375,2.597303473,2.65,0
93,1.296349217,2.666605139,2.65,0
94,1.240118054,2.681175299,2.65,0
95,1.099474688,2.689581395,2.65,0
96,1.007628345,2.682084294,2.65,0
97,1.076302402,2.55,2.65,0
98,1.190029845,2.61,2.65,0
99,1.284513165,2.67,2.65,0
100,1.180092087,2.69,2.65,0
101,0.698144131,2.68,2.65,0
102,0.829957166,2.66,2.65,0
103,1.028611338,2.55,2.65,0
104,1.161724808,2.62,2.65,0
105,1.305655833,2.65,2.65,0
106,1.210585307,2.68,2.65,0
107,1.225184107,2.67,2.65,0
108,0.793193571,2.68,2.65,0
109,0.923440057,2.58,2.65,0
110,1.236986223,2.63,2.65,0
111,1.233443317,2.65,2.65,0
112,1.040481401,2.64,2.65,0
113,1.079827728,2.66,2.65,0
114,1.184038143,2.66,2.65,0
115,0.877378787,2.54,2.65,0
116,1.005108863,2.57,2.65,0
117,0.884071544,2.59,2.65,0
118,1.164103138,2.63,2.65,0
119,1.142227859,2.66,2.65,0
120,1.842439149,2.65,2.65,0
121,0.975282717,2.5,2.65,0
122,1.159964657,2.59,2.65,0
123,1.208153161,2.64,2.65,0
124,1.317278326,2.66,2.65,0
125,1.177631097,2.67,2.65,0
126,1.024841672,2.67,2.65,0
127,0.934287843,2.54,2.65,0
128,1.205361605,2.59,2.65,0
129,1.08279729,2.63,2.65,0
130,1.584126196,2.63,2.65,0
131,1.017894118,2.65,2.65,0
132,0.337113493,2.65,2.65,0
133,0.962853698,2.62,2.65,0
134,1.15415028,2.64,2.65,0
135,1.561566995,2.67,2.65,0
136,1.226149772,2.7,2.65,0
137,1.642687805,2.73,2.65,0
138,1.609152486,2.74,2.65,0
139,1.068087553,2.61,2.65,0
140,1.184066647,2.64,2.65,0
141,1.527114716,2.66,2.65,0
142,1.309741153,2.68,2.65,0
143,1.858244787,2.7,2.65,0
144,1.533100769,2.71,2.65,0
145,0.963909657,2.53,2.65,0
146,1.128034024,2.59,2.65,0
147,1.101157379,2.65,2.65,0
148,1.422188774,2.65,2.65,0
149,0.823029732,2.66,2.65,0
150,1.684220588,2.66,2.65,0
151,1.013347691,2.57,2.65,0
152,1.037753819,2.58,2.65,0
153,1.300376131,2.65,2.65,0
154,1.511009371,2.69,2.65,0
155,1.336623621,2.71,2.65,0
156,1.341611854,2.71,2.65,0
157,1.105801953,2.63,2.65,0
158,1.326681846,2.65,2.65,0
159,1.380580035,2.68,2.65,0
160,1.457387652,2.69,2.65,0
161,1.599058291,2.69,2.65,0
162,0.816971214,2.68,2.65,0
163,1.185129613,2.64,2.65,0
164,1.358295189,2.65,2.65,0
165,1.387443285,2.67,2.65,0
166,1.524607945,2.69,2.65,0
167,1.422794547,2.7,2.65,0
168,0.854802177,2.67,2.65,0
169,0.734085237,2.58,2.65,0
170,1.002793159,2.6,2.65,0
171,1.03697464,2.62,2.65,0
172,1.256540982,2.67,2.65,0
173,0.886830195,2.71,2.65,0
174,2.557786045,2.7,2.65,0
175,0.92618057,2.57,2.65,0
176,1.088065141,2.6,2.65,0
177,0.99772811,2.64,2.65,0
178,1.470549264,2.7,2.65,0
179,1.05489616,2.68,2.65,0
180,1.558004488,2.69,2.65,0
181,1.105609248,2.62,2.65,0
182,1.240881076,2.63,2.65,0
183,1.126957115,2.67,2.65,0
184,1.230014688,2.71,2.65,0
185,1.609426551,2.72,2.65,0
186,1.044356617,2.72,2.65,0
187,1.14978406,2.64,2.65,0
188,1.370847998,2.65,2.65,0
189,1.244422147,2.68,2.65,0
190,1.216696032,2.71,2.65,0
191,1.09214119,2.71,2.65,0
192,1.233414318,2.71,2.65,0
193,1.095225588,2.58,2.65,0
194,1.218686474,2.61,2.65,0
195,1.168417164,2.65,2.65,0
196,1.032793892,2.67,2.65,0
197,1.117497639,2.69,2.65,0
198,1.044811802,2.69,2.65,0
199,1.089706325,2.58,2.65,0
200,1.338704667,2.61,2.65,0
201,1.027585613,2.65,2.65,0
202,1.289855619,2.68,2.65,0
203,1.261260906,2.69,2.65,0
204,1.21955563,2.7,2.65,0
205,1.188379576,2.64,2.65,0
206,1.348817257,2.69,2.65,0
207,1.411801044,2.66,2.65,0
208,1.457685472,2.7,2.65,0
209,1.275748518,2.7,2.65,0
210,1.937170808,2.7,2.65,0
211,1.28185744,2.66,2.65,0
212,1.508747683,2.66,2.65,0
213,1.377747234,2.69,2.65,0
214,1.569486821,2.68,2.65,0
215,1.546373808,2.7,2.65,0
216,1.977212255,2.7,2.65,0
217,1.258963358,2.69,2.65,0
218,1.457069286,2.69,2.65,0
219,2.149031013,2.74,2.65,0
220,1.431958135,2.74,2.65,0
221,1.224970712,2.74,2.65,0
222,1.100007815,2.74,2.65,0
223,1.153771418,2.68,2.65,0
224,1.63530217,2.7,2.65,0
225,1.217032859,2.73,2.65,0
226,2.045680713,2.74,2.65,0
227,0.848311093,2.75,2.65,0
228,0.727516454,2.74,2.65,0
229,1.030316903,2.57,2.65,0
230,1.333360734,2.63,2.65,0
231,1.266929503,2.66,2.65,0
232,1.191113564,2.68,2.65,0
233,1.247296119,2.68,2.65,0
234,-999,-999,2.65,0
235,0.973440713,2.6,2.65,0
236,1.32119247,2.67,2.65,0
237,1.369222629,2.68,2.65,0
238,1.283765943,2.69,2.65,0
239,0.966879892,2.67,2.65,0
240,-999,-999,2.65,0
241,0.903105258,2.57,2.65,0
242,1.207548872,2.58,2.65,0
243,1.115190142,2.62,2.65,0
244,0.929277114,2.66,2.65,0
245,-999,-999,2.65,0
246,0.71857192,2.68,2.65,0
247,0.770188868,2.53,2.65,0
248,1.10802633,2.58,2.65,0
249,1.276145578,2.64,2.65,0
250,1.109356353,2.66,2.65,0
251,1.230749741,2.66,2.65,0
252,0.473416372,2.69,2.65,0
253,0.919120432,2.57,2.65,0
254,1.070322005,2.59,2.65,0
255,0.918587872,2.61,2.65,0
256,0.871362071,2.64,2.65,0
257,0.994909747,2.64,2.65,0
258,1.200522753,2.66,2.65,0
259,1.058959384,2.53,2.65,0
260,1.10595682,2.6,2.65,0
261,1.110129876,2.64,2.65,0
262,1.044088024,2.65,2.65,0
263,0.875171969,2.65,2.65,0
