Id,θs,θr,Ks,Ψm,σ,θsMacMat_ƞ,σMac,ΨmMac,So,θsMacMat,Φ,Nse,Nse_θΨ,Nse_KΨ
1.0,0.496478511,0.166098635,4.18e-5,80446.57317,2.345539976,0.769978915,0.7675,10.0,0.0,0.3822779852205956,0.0,0.0,0.0,0.0
2.0,0.503876924,0.192565397,0.002067319,47494.80365,2.710409393,0.833441285,0.7675,10.0,0.0,0.41995183102040734,0.0,0.0,0.0,0.0
3.0,0.557037329,0.180388004,0.000695537,45622.60201,2.495089907,0.77314403,0.7675,10.0,0.0,0.4306700854034959,0.0,0.0,0.0,0.0
4.0,0.536781489,0.177608194,0.000444229,119118.5314,2.461233139,0.824913531,0.7675,10.0,0.0,0.4427983134664277,0.0,0.0,0.0,0.0
5.0,0.554662306,0.078901262,5.0e-5,8113.984182,1.797138506,0.953247131,0.7675,10.0,0.0,0.5287302518683441,0.0,0.0,0.0,0.0
