Id,Theta,BulkDensitySoil[g_cm-3],ParticleDensity_Fine[g_cm-3],Density_Rock[g_cm-3],Rock%
110,0.418938244,1.53867792,2.65,2.65,0
111,0.387037033,1.631429825,2.66,2.65,0
112,0.375985076,1.672008988,2.68,2.65,0
113,0.367049179,1.703342444,2.69,2.65,0
114,0.48005721,1.340698791,2.58,2.65,0
115,0.438662018,1.480611261,2.64,2.65,0
116,0.411370065,1.554908312,2.64,2.65,0
117,0.385683,1.647164251,2.68,2.65,0
118,0.38509404,1.654397573,2.69,2.65,0
119,0.366818687,1.696052875,2.68,2.65,0
120,0.470156113,1.345523252,2.54,2.65,0
121,0.430418995,1.482168529,2.6,2.65,0
122,0.438838572,1.476308941,2.63,2.65,0
123,0.41580917,1.553860213,2.66,2.65,0
124,0.391453,1.625331068,2.67,2.65,0
125,0.426690875,1.531880887,2.67,2.65,0
126,0.504827622,1.282333115,2.59,2.65,0
127,0.455043565,1.434858885,2.63,2.65,0
128,0.47198481,1.397240693,2.65,2.65,0
129,0.460499284,1.428455951,2.65,2.65,0
130,0.452567016,1.465871789,2.68,2.65,0
131,0.409478504,1.582892152,2.68,2.65,0
132,0.556523874,1.124784603,2.54,2.65,0
133,0.506526158,1.275650633,2.59,2.65,0
134,0.475917325,1.388042966,2.65,2.65,0
135,0.428446,1.521782225,2.66,2.65,0
136,0.438366115,1.525566712,2.72,2.65,0
137,0.420339766,1.568302807,2.71,2.65,0
138,0.590880634,1.053213692,2.57,2.65,0
139,0.509883357,1.279103532,2.61,2.65,0
140,0.509233359,1.299067448,2.65,2.65,0
141,0.432488159,1.512665749,2.67,2.65,0
142,0.426324677,1.560496201,2.72,2.65,0
143,0.401097029,1.630770102,2.72,2.65,0
144,0.532419088,1.205515245,2.58,2.65,0
145,0.502224545,1.310989469,2.63,2.65,0
146,0.488531019,1.35837177,2.66,2.65,0
147,0.484128439,1.379406847,2.67,2.65,0
148,0.449869479,1.479509986,2.69,2.65,0
149,0.432366,1.519959614,2.68,2.65,0
150,0.527003292,1.211522509,2.56,2.65,0
151,0.483651742,1.351347935,2.62,2.65,0
152,0.481395225,1.37564325,2.65,2.65,0
153,0.482410807,1.376679381,2.66,2.65,0
154,0.462808455,1.444928869,2.69,2.65,0
155,0.420021704,1.552957571,2.68,2.65,0
156,0.521261443,1.222616723,2.55,2.65,0
157,0.439733585,1.449545583,2.59,2.65,0
158,0.484230221,1.337763846,2.59,2.65,0
159,0.469541117,1.433545256,2.7,2.65,0
160,0.433855,1.508991827,2.67,2.65,0
161,0.391592399,1.6396863,2.7,2.65,0
162,0.596802831,1.038805923,2.58,2.65,0
