Id2,BulkDensity_FineEarth_RockFragment_g_cm3,BulkDensity_FineEarth_g_cm3,ParticleDensity_FineEarth_g_cm3,Density_RockFragment_g_cm3,RockFragment_0_1,RockFragment_Rlarge_mm,RockFragment_Rsmall_mm,RockFragment_Wettability_mm_mm2
87,1.750579782,1.750579782,2.68,2.65,0,5,2,0.01
88,1.724821042,1.724821042,2.69,2.65,0,5,2,0.01
89,1.722482235,1.722482235,2.7,2.65,0,5,2,0.01
90,1.346633555,1.346633555,2.55,2.65,0,5,2,0.01
91,1.520216859,1.520216859,2.61,2.65,0,5,2,0.01
92,1.578674011,1.578674011,2.6,2.65,0,5,2,0.01
93,1.526403297,1.526403297,2.67,2.65,0,5,2,0.01
94,1.633396272,1.633396272,2.65,2.65,0,5,2,0.01
95,1.563482598,1.563482598,2.69,2.65,0,5,2,0.01
96,1.257188548,1.257188548,2.63,2.65,0,5,2,0.01
97,1.293533786,1.293533786,2.7,2.65,0,5,2,0.01
98,1.368313611,1.368313611,2.65,2.65,0,5,2,0.01
99,1.576551691,1.576551691,2.67,2.65,0,5,2,0.01
100,1.621271832,1.621271832,2.67,2.65,0,5,2,0.01
101,1.590351731,1.590351731,2.7,2.65,0,5,2,0.01
102,1.12363915,1.12363915,2.54,2.65,0,5,2,0.01
103,1.242441853,1.242441853,2.61,2.65,0,5,2,0.01
104,1.162368977,1.162368977,2.65,2.65,0,5,2,0.01
105,1.451479898,1.451479898,2.66,2.65,0,5,2,0.01
106,1.537887637,1.537887637,2.66,2.65,0,5,2,0.01
107,1.610174064,1.610174064,2.65,2.65,0,5,2,0.01
108,1.366112296,1.366112296,2.59,2.65,0,5,2,0.01
109,1.448790528,1.448790528,2.61,2.65,0,5,2,0.01
110,1.53867792,1.53867792,2.65,2.65,0,5,2,0.01
111,1.631429825,1.631429825,2.66,2.65,0,5,2,0.01
112,1.672008988,1.672008988,2.68,2.65,0,5,2,0.01
113,1.703342444,1.703342444,2.69,2.65,0,5,2,0.01
114,1.340698791,1.340698791,2.58,2.65,0,5,2,0.01
115,1.480611261,1.480611261,2.64,2.65,0,5,2,0.01
116,1.554908312,1.554908312,2.64,2.65,0,5,2,0.01
