Id,Diameter[mm],Cumul_Psd
11122911000031011,0.002,0.125
11122911000031011,0.06,0.8
11122911000031011,2,1
11122911000031012,0.002,0.125
11122911000031012,0.06,0.5
11122911000031012,2,1
11122911000031013,0.002,0.125
11122911000031013,0.06,0.65
11122911000031013,2,1
11122911000031014,0.002,0.125
11122911000031014,0.06,0.55
11122911000031014,2,1
11122911000031015,0.002,0.125
11122911000031015,0.06,0.55
11122911000031015,2,1
11122911000041011,0.002,0.1
11122911000041011,0.06,0.85
11122911000041011,2,1
11122911000041012,0.002,0.25
11122911000041012,0.06,0.775
11122911000041012,2,1
11122911000041013,0.002,0.325
11122911000041013,0.06,0.8499999999999999
11122911000041013,2,1
11133025000031011,0.002,0.275
11133025000031011,0.06,0.8
11133025000031011,2,1
11133025000031012,0.002,0.275
11133025000031012,0.06,0.8
11133025000031012,2,1
11133025000031013,0.002,0.275
11133025000031013,0.06,0.8
11133025000031013,2,1
11133025000031014,0.002,0.3
11133025000031014,0.06,0.5
11133025000031014,2,1
11133025000041011,0.002,0.275
11133025000041011,0.06,0.8
11133025000041011,2,1
11133025000041012,0.002,0.275
11133025000041012,0.06,0.8
11133025000041012,2,1
11133025000041013,0.002,0.275
11133025000041013,0.06,0.8
11133025000041013,2,1
11141415280101011,0.002,0.24
11141415280101011,0.06,0.875
11141415280101011,2,1
11141415280101012,0.002,0.24
11141415280101012,0.06,0.875
11141415280101012,2,1
11141415280101013,0.002,0.24
11141415280101013,0.06,0.875
11141415280101013,2,1
11141415280031011,0.002,0.24
11141415280031011,0.06,0.8
11141415280031011,2,1
11141415280031012,0.002,0.24
11141415280031012,0.06,0.8
11141415280031012,2,1
11141415280031013,0.002,0.24
11141415280031013,0.06,0.8
11141415280031013,2,1
11141415280051011,0.002,0.24
11141415280051011,0.06,0.8
11141415280051011,2,1
11141415280051012,0.002,0.24
11141415280051012,0.06,0.8
11141415280051012,2,1
11141419290021011,0.002,0.275
11141419290021011,0.06,0.7
11141419290021011,2,1
11141419290021012,0.002,0.275
11141419290021012,0.06,0.7
11141419290021012,2,1
11141419290021013,0.002,0.275
11141419290021013,0.06,0.7
11141419290021013,2,1
11141419290021014,0.002,0.2
11141419290021014,0.06,0.55
11141419290021014,2,1
11141419290021015,0.002,0.025
