Id,SELECT_1
11122911000031011,1
11122911000031012,1
11122911000031013,1
11122911000031014,1
11122911000031015,1
11122911000041011,1
11122911000041012,1
11122911000041013,1
11133025000031011,1
11133025000031012,1
11133025000031013,1
11133025000031014,1
11133025000041011,1
11133025000041012,1
11133025000041013,1
11141415280101011,1
11141415280101012,1
11141415280101013,1
11141415280031011,1
11141415280031012,1
11141415280031013,1
11141415280051011,1
11141415280051012,1
11141419290021011,1
11141419290021012,1
11141419290021013,1
11141419290021014,1
11141419290021015,1
11181911000011011,1
11181911000011012,1
11181911000011013,1
11183128000031011,1
11183128000031012,1
11183128000031013,1
11183128000031014,1
11183128190031011,1
11183128190031012,1
11183128190031013,1
11183128190041011,1
11183128190041012,1
11183128190051011,1
11183128190051012,1
11183128190051013,1
11183128190071011,1
11183128190071012,1
11183128190071013,1
11192229000031011,1
11192229000031012,1
11192229000031013,1
11192229000031014,1
11192229000031015,1
11192229000031016,1
11192229000051011,1
11192229000051012,1
11192229000051013,1
11192229000081011,1
11192229000081012,1
11192229000081013,1
11192429000091011,1
11192429000091012,1
11192429000091013,1
11192815000101011,1
11192815000101012,1
11192815000011011,1
11192815000011012,1
11192815000011013,1
11192815000021011,1
11192815000021012,1
11192815000021013,1
11192815000021014,1
11192815000081011,1
11192815000081012,1
11192815000081013,1
11192815000081014,1
11192816000031011,1
11192816000031012,1
11192816000041011,1
11192816000041012,1
11192816000041013,1
11192816000041021,1
11192816000041022,1
11192816000041023,1
11192816000042011,1
11192816000042012,1
11192816000042013,1
11192816000051011,1
11192816000051012,1
11192816000061011,1
11192816000061012,1
11192816000071011,1
11192816000071012,1
11192816000071013,1
11192816000073011,1
11192816000073012,1
11192816000073013,1
11192816000073021,1
11192816000073022,1
11192816000073023,1
11192816000081011,1
11192816000081012,1
11192816000081013,1
11192816000081014,1
11192816000091011,1
11192816000091012,1
11192816000091013,1
11193021000021011,1
11193021000021012,1
11193021000021013,1
11193021000031011,1
11193021000031012,1
11193021000031013,1
11221534000011011,1
11221534000011012,1
11221534000011013,1
11221534000011014,1
11221624000011011,1
11221624000011012,1
11222211240011011,1
11222211240011012,1
11222211240011013,1
11222211240021011,1
11222211240021012,1
11222211240021013,1
11222211240021014,1
11222211240031011,1
11222211240031012,1
11222211240031013,1
11222300000011011,1
11222300000011012,1
11222300000011013,1
11222300000011014,1
11222300000031011,1
11222300000031012,1
11222300000031013,1
11222311000011011,1
11222311000011012,1
11222311000011013,1
11223019230081011,1
11223019230081012,1
11223019230081013,1
11231215000011011,1
11231215000011012,1
11231215000011013,1
11231215000011014,1
11231215000021011,1
11231215000021012,1
11231215000021013,1
11231215000021014,1
11241131280011011,1
11241131280011012,1
11241131280011013,1
11241428000111011,1
11241428000111012,1
11241428000111013,1
11241428000111014,1
11241428000121011,1
11241428000121012,1
11241428000121013,1
11241428000042011,1
11241428000042012,1
11241428000042013,1
11241731000101011,1
11241731000101012,1
11241731000101013,1
11241731000101014,1
11241731000101015,1
11241731000101016,1
11241731000111011,1
11241731000111012,1
11241731000111013,1
11241731000111014,1
11241731000111015,1
11241731000091011,1
11241731000091012,1
11241731000091013,1
11241731000091014,1
11241731000091015,1
11242411000051011,1
11242411000051012,1
11242411000051021,1
11242411000051022,1
11242411000051031,1
11242411000051032,1
11242411000061011,1
11242411000061012,1
11242411000061013,1
11242411000071011,1
11242411000071012,1
