0,iZ,Z,θini,Layer
,1,25,0.391706461,1
,2,50,0.391706461,1
,3,100,0.391706461,1
,4,150,0.391706461,1
,5,200,0.391706461,2
,6,250,0.410250706,2
,7,300,0.410250706,2
,8,400,0.410250706,2
,9,500,0.43440811,3
,10,600,0.43440811,3
,11,700,0.465131235,4
,12,800,0.465131235,4
,13,900,0.493927671,5
,14,1000,0.493927671,5
,15,1100,0.493927671,5
,16,1200,0.493927671,5
