Layer Cm/H,0.0cm,10.0cm,20.0cm,30.0cm,40.0cm,50.0cm,60.0cm,70.0cm,80.0cm,90.0cm,100.0cm,200.0cm,300.0cm,400.0cm,500.0cm,600.0cm,700.0cm,800.0cm,900.0cm,1000.0cm,2000.0cm,3000.0cm,4000.0cm,5000.0cm,6000.0cm,7000.0cm,8000.0cm,9000.0cm,10000.0cm,15000.0cm,20000.0cm,30000.0cm,100000.0cm
1.0,0.008928175967964629,0.005588127524383738,0.0044841633013289126,0.0037179928797588975,0.0031543359530281354,0.0027219049224312987,0.00237978706895599,0.002102681842135338,0.0018740186826168316,0.0016824493898626406,0.001519921030782661,0.0006848054961289032,0.00038409648078689305,0.00024145218116419936,0.0001631080749197057,0.00011586577740388759,8.54466284589519e-5,6.487661201540127e-5,5.0425706749216346e-5,3.9957297016248846e-5,7.2496910626800355e-6,2.3081446614981613e-6,9.579226709918822e-7,4.65658426802118e-7,2.517406037536606e-7,1.4696550893160316e-7,9.096113386800678e-8,5.895347701726425e-8,3.9663362872436854e-8,8.011674810076962e-9,2.3960789544382826e-9,3.944644763696698e-10,9.062530396281877e-13
2.0,0.008928175967964629,0.005588127524383738,0.0044841633013289126,0.0037179928797588975,0.0031543359530281354,0.0027219049224312987,0.00237978706895599,0.002102681842135338,0.0018740186826168316,0.0016824493898626406,0.001519921030782661,0.0006848054961289032,0.00038409648078689305,0.00024145218116419936,0.0001631080749197057,0.00011586577740388759,8.54466284589519e-5,6.487661201540127e-5,5.0425706749216346e-5,3.9957297016248846e-5,7.2496910626800355e-6,2.3081446614981613e-6,9.579226709918822e-7,4.65658426802118e-7,2.517406037536606e-7,1.4696550893160316e-7,9.096113386800678e-8,5.895347701726425e-8,3.9663362872436854e-8,8.011674810076962e-9,2.3960789544382826e-9,3.944644763696698e-10,9.062530396281877e-13
3.0,0.008928175967964629,0.005588127524383738,0.0044841633013289126,0.0037179928797588975,0.0031543359530281354,0.0027219049224312987,0.00237978706895599,0.002102681842135338,0.0018740186826168316,0.0016824493898626406,0.001519921030782661,0.0006848054961289032,0.00038409648078689305,0.00024145218116419936,0.0001631080749197057,0.00011586577740388759,8.54466284589519e-5,6.487661201540127e-5,5.0425706749216346e-5,3.9957297016248846e-5,7.2496910626800355e-6,2.3081446614981613e-6,9.579226709918822e-7,4.65658426802118e-7,2.517406037536606e-7,1.4696550893160316e-7,9.096113386800678e-8,5.895347701726425e-8,3.9663362872436854e-8,8.011674810076962e-9,2.3960789544382826e-9,3.944644763696698e-10,9.062530396281877e-13
4.0,0.010976359053679224,0.005359192446072092,0.004171394438246547,0.0033973967406193562,0.0028479980928892345,0.002436498369646016,0.0021165752263246386,0.001860884856544714,0.001652110342142287,0.0014786943775433566,0.0013326029061786003,0.000595883642881795,0.0003354414212192661,0.0002123039757693283,0.00014455161997508137,0.00010353094571876303,7.698190072755581e-5,5.892643465943584e-5,4.6166138818558704e-5,3.6866016459093e-5,7.1470860227036235e-6,2.3962039348416718e-6,1.0378542227320186e-6,5.233406060676844e-7,2.921955290624985e-7,1.7558434252215911e-7,1.1156488458682784e-7,7.40710311887688e-8,5.0958837183652715e-8,1.1291607583977048e-8,3.629780446762558e-9,6.677044435898945e-10,2.2749434086651454e-12
5.0,0.010976359053679224,0.005359192446072092,0.004171394438246547,0.0033973967406193562,0.0028479980928892345,0.002436498369646016,0.0021165752263246386,0.001860884856544714,0.001652110342142287,0.0014786943775433566,0.0013326029061786003,0.000595883642881795,0.0003354414212192661,0.0002123039757693283,0.00014455161997508137,0.00010353094571876303,7.698190072755581e-5,5.892643465943584e-5,4.6166138818558704e-5,3.6866016459093e-5,7.1470860227036235e-6,2.3962039348416718e-6,1.0378542227320186e-6,5.233406060676844e-7,2.921955290624985e-7,1.7558434252215911e-7,1.1156488458682784e-7,7.40710311887688e-8,5.0958837183652715e-8,1.1291607583977048e-8,3.629780446762558e-9,6.677044435898945e-10,2.2749434086651454e-12
