Layer,0.0cm,10.0cm,20.0cm,30.0cm,40.0cm,50.0cm,60.0cm,70.0cm,80.0cm,90.0cm,100.0cm,200.0cm,300.0cm,400.0cm,500.0cm,600.0cm,700.0cm,800.0cm,900.0cm,1000.0cm,2000.0cm,3000.0cm,4000.0cm,5000.0cm,6000.0cm,7000.0cm,8000.0cm,9000.0cm,10000.0cm,15000.0cm,20000.0cm,30000.0cm,100000.0cm
1.0,0.4757563982609084,0.4396081585842197,0.43779700699488877,0.43575027044329917,0.43358915646757645,0.43138414100301103,0.42917162163667405,0.42697170491568914,0.4247959529668102,0.42265110457991695,0.4205410284544386,0.4014735230983737,0.3855873854829116,0.3720552634008925,0.3602928738495531,0.3499060078045991,0.34061926265489223,0.3322329400771245,0.32459753430523347,0.3175980977849877,0.2689814857535499,0.24015321206189977,0.22040955917597027,0.20580624116694293,0.19446369523253162,0.18534755331791214,0.17783240306908382,0.1715139028425724,0.16611713060427996,0.14767682287338346,0.1368511563063003,0.12462896313430515,0.1049871932350662
2.0,0.5633970676732984,0.4746589233591727,0.4725782912422903,0.46999804810577606,0.46708345225687414,0.4639759194433066,0.4607598016551065,0.45748784175340473,0.45419439243060905,0.4509024775211188,0.4476278206333452,0.41712645768531204,0.39126396605728125,0.36929232329734624,0.35036517501332354,0.3338410563313601,0.3192482767766949,0.306235569453562,0.2945360854406316,0.2839430463529701,0.2143432721329062,0.17684949306351055,0.15303977480711087,0.13650224701770491,0.12433510990057992,0.11501316907057402,0.10765161757321637,0.10169955275906836,0.09679514428805364,0.08138775750246811,0.07342744586082148,0.06557686195010148,0.05630390074096687
3.0,0.507141758758546,0.4438105183089204,0.4425174626168077,0.44095405087276185,0.4391962950848561,0.4373219314619602,0.43537772056768836,0.43339321291890615,0.4313879442459215,0.42937525901414225,0.4273644866554442,0.40820022461945615,0.391321374142501,0.3765189501528344,0.36341673766375504,0.35170294600466173,0.3411366845546129,0.33153210277736295,0.3227439729694383,0.3146570443306289,0.2580244056131488,0.2244026966424471,0.2015238659528345,0.18474111675223,0.17181860572023488,0.16152192200804755,0.1531045855935078,0.14608471083324925,0.14013546413809544,0.12020351525392567,0.10886902564627693,0.09653321685996884,0.07848178830012789
4.0,0.5955523797632261,0.48176488033219445,0.47851958505078757,0.47533384694461706,0.4722074737691954,0.46917455634682037,0.4662447416537427,0.4634179776892639,0.4606904364050172,0.4580569068676171,0.45551182052534384,0.43388534949444496,0.4170241340716825,0.40316119029817177,0.3913800346624519,0.381138758812954,0.3720873047922121,0.3639850410249583,0.3566587636934644,0.3499792964729267,0.3042195610076489,0.2773045498361546,0.2588245448122538,0.2450787250700917,0.23433011247939256,0.22562976935479853,0.21840587116064186,0.21228913909832375,0.20702842605950994,0.1887273751026992,0.1776610277652851,0.1647227120910521,0.141893780126073
5.0,0.5955523797632261,0.48176488033219445,0.47851958505078757,0.47533384694461706,0.4722074737691954,0.46917455634682037,0.4662447416537427,0.4634179776892639,0.4606904364050172,0.4580569068676171,0.45551182052534384,0.43388534949444496,0.4170241340716825,0.40316119029817177,0.3913800346624519,0.381138758812954,0.3720873047922121,0.3639850410249583,0.3566587636934644,0.3499792964729267,0.3042195610076489,0.2773045498361546,0.2588245448122538,0.2450787250700917,0.23433011247939256,0.22562976935479853,0.21840587116064186,0.21228913909832375,0.20702842605950994,0.1887273751026992,0.1776610277652851,0.1647227120910521,0.141893780126073
