0,Horizon,θs,θr,Ks,So,σ,Ψm,θsMacMat,σMac,ΨmMac,Zstart[mm],Zend[mm]
,1,0.6545,0,0.0222222,0,4.4846,318513.131,0.6545,4.4846,318513.131,0,25
,2,0.6545,0,0.0222222,0,4.4829,317987.187,0.6545,4.4829,317987.187,25,50
,3,0.6545,0,0.0222222,0,4.485,317951.918,0.6545,4.485,317951.918,50,100
,4,0.6545,0,0.0222222,0,4.4829,317844.711,0.6545,4.4829,317844.711,100,150
,5,0.6545,0,0.0222222,0,4.4746,317065.375,0.6545,4.4746,317065.375,150,200
,6,0.5443,0.014,0.0222222,0,3.8429,54398.638,0.5443,3.8429,54398.638,200,250
,7,0.5443,0.0221,0.0222222,0,3.7774,49941.492,0.5443,3.7774,49941.492,250,300
,8,0.5443,0.0184,0.0222222,0,3.8113,51935.497,0.5443,3.8113,51935.497,300,400
,9,0.5253,0,0.0055556,0,3.8371,524006.559,0.5253,3.8371,524006.559,400,500
,10,0.5253,0,0.0055556,0,3.8296,523693.491,0.5253,3.8296,523693.491,500,600
,11,0.5253,0,0.0055556,0,3.8314,523935.574,0.5253,3.8314,523935.574,600,700
,12,0.5605,0,0.0166667,0,4.2953,340033.564,0.5605,4.2953,340033.564,700,800
,13,0.5605,0,0.0166667,0,4.2964,340720.025,0.5605,4.2964,340720.025,800,900
,14,0.5244,0.0245,0.0111111,0,3.5777,21204.842,0.5244,3.5777,21204.842,900,1000
