Id,Diameter[mm],Cumul_Psd
30,0.002,0.28
30,0.006,0.93
30,0.01,0.93
30,0.02,0.93
30,0.063,0.98
30,0.125,0.98
30,0.25,0.99
30,0.5,0.99
30,1,1
30,2,1
32,0.002,0.27
32,0.006,0.89
32,0.01,0.89
32,0.02,0.89
32,0.063,0.95
32,0.125,0.95
32,0.25,0.97
32,0.5,0.97
32,1,1
32,2,1
33,0.002,0.28
33,0.006,0.93
33,0.01,0.93
33,0.02,0.93
33,0.063,0.98
33,0.125,0.98
33,0.25,0.99
33,0.5,0.99
33,1,1
33,2,1
34,0.002,0.27
34,0.006,0.89
34,0.01,0.89
34,0.02,0.89
34,0.063,0.95
34,0.125,0.95
34,0.25,0.97
34,0.5,0.97
34,1,1
34,2,1
37,0.002,0.28
37,0.006,0.93
37,0.01,0.93
37,0.02,0.93
37,0.063,0.98
37,0.125,0.98
37,0.25,0.99
37,0.5,0.99
37,1,1
37,2,1
105,0.002,0.28
105,0.006,0.93
105,0.01,0.93
105,0.02,0.93
105,0.063,0.98
105,0.125,0.98
105,0.25,0.99
105,0.5,0.99
105,1,1
105,2,1
107,0.002,0.27
107,0.006,0.89
107,0.01,0.89
107,0.02,0.89
107,0.063,0.95
107,0.125,0.95
107,0.25,0.97
107,0.5,0.97
107,1,1
107,2,1
108,0.002,0.27
108,0.006,0.94
108,0.01,0.94
108,0.02,0.94
108,0.063,0.99
108,0.125,0.99
108,0.25,1
108,0.5,1
108,1,1
108,2,1
114,0.002,0.27
114,0.006,0.94
114,0.01,0.94
114,0.02,0.94
114,0.063,0.99
114,0.125,0.99
114,0.25,1
114,0.5,1
114,1,1
114,2,1
118,0.002,0.25
118,0.006,0.93
118,0.01,0.93
118,0.02,0.93
118,0.063,0.99
118,0.125,0.99
118,0.25,1
118,0.5,1
118,1,1
118,2,1
