Ψm_A,σ_A,,Ψm_B,σ_B,,Ψm_C,σ_C,,Ψm_D,σ_D,,Ψm_E,σ_E,,Ψm_F,σ_F,,Ψm_G,σ_G,,Ψm_H,σ_H,,Ψm_I,σ_I,,Ψm_J,σ_J
13905.00673,3.74155,,11745.9294,3.7654,,8649.43681,3.32635,,7435.11517,3.31879,,534071.4535,3.62857,,33133.60558,2.70191,,27513.93234,2.63995,,5551.746,4,,11614.66637,2.35248,,5551.74677,4
4112.02086,3.24805,,4068.47662,3.276,,8939.73239,2.68248,,7255.44041,2.65033,,4538.47786,2.03925,,18772.97444,2.51253,,18154.91323,2.50137,,1999.50854,3.46442,,4079.63258,2.00373,,1997.0438,3.46167
2260.56036,2.93667,,2432.57612,3.05809,,1080.37083,2.91054,,1132.06216,2.87262,,2291.35042,1.81144,,15699.52454,2.45293,,13465.01219,2.40175,,887.67844,3.05678,,1718.96354,1.71563,,837.94706,2.88965
38353.42667,3.20623,,20916.67293,3.04679,,12770.29322,3.20223,,11874.92042,3.20295,,197874.426,3.2976,,30803.40578,2.6776,,25636.17358,2.61639,,11695.09077,3.40237,,15636.53939,2.45159,,17491.93663,3.64628
22841.41425,3.40036,,10121.31603,3.1671,,5914.25501,3.184,,5934.27354,3.14537,,167311.7431,3.24168,,23179.41659,2.58281,,18690.61944,2.51106,,5180.74136,3.41042,,8161.2106,2.23485,,5381.05249,3.43703
458617.7115,3.85829,,3571.04868,3.99997,,5769.53572,3.09119,,4850.9661,3.04364,,216954.7258,3.32829,,22575.88496,2.57402,,19064.33734,2.51766,,2244.84843,4,,6893.9804,2.17861,,2266.26499,4
16544.96465,3.40417,,13933.09961,3.38102,,10954.12443,3.46906,,10955.63891,3.44941,,342129.6867,3.48012,,32823.60602,2.69877,,26876.96562,2.63215,,10518.18255,3.46173,,14107.31442,2.41729,,10508.49613,3.46086
19382.77166,3.99857,,9894.81676,3.99945,,11064.51114,3.56597,,10791.16673,3.32219,,467658.5179,3.5843,,35721.70258,2.72698,,29321.65771,2.66117,,7876.77473,4,,15343.94571,2.4453,,7876.76826,4
13272.36947,3.50537,,13086.4832,3.48747,,7629.91323,3.45478,,8278.90477,3.40194,,410327.2679,3.54071,,31364.78917,2.68362,,25144.48537,2.60994,,6955.40214,3.65311,,10867.63697,2.33032,,6954.79469,3.65299
24061.79049,2.38156,,18107.80603,2.31003,,16577.09703,2.3017,,15949.68133,2.28517,,11937.20399,2.206,,15949.64751,2.28517,,12235.19403,2.3564,,12235.19411,2.3564,,14114.61062,2.41746,,54899.61198,3.71476
7714.4165,2.45491,,9055.11398,2.42965,,7274.79739,2.45029,,6765.89064,2.42321,,7837.63637,2.22137,,11364.26362,2.34521,,10867.58804,2.33032,,5339.3063,2.48737,,5330.96436,2.0929,,9813.82403,3.68058
7471.18711,3.98876,,4001.32221,2.49334,,3361.70849,2.50938,,3059.55006,2.5356,,66646.78619,2.93486,,10397.99869,2.31559,,9223.27714,2.27563,,4380.75227,2.44965,,4726.15673,2.05276,,8363.33804,4
8790.91419,2.84313,,5250.08734,2.40836,,4896.08558,2.42447,,4480.25972,2.44827,,66699.38588,2.93512,,10228.48479,2.31012,,9317.002,2.279,,7126.92793,2.34096,,6936.9537,2.18068,,8624.79707,2.67071
10602.17893,2.94181,,4404.44204,2.42686,,4184.512,2.395,,4184.64157,2.395,,23879.93148,2.59274,,8702.50463,2.25626,,7970.78372,2.22698,,5168.45554,2.3384,,5488.94135,2.10264,,7144.83529,2.77539
28018.74979,3.51974,,7184.56716,2.41816,,4801.2281,2.51908,,4302.92449,2.54365,,91303.3313,3.03979,,11796.10751,2.35765,,10835.01098,2.31359,,10835.01135,2.31359,,11796.04276,2.35764,,18676.57256,2.93581
87268.44206,3.79286,,10496.34945,3.14952,,12349.44893,2.54185,,12107.81489,2.5387,,38226.49911,2.74957,,16169.88201,2.46277,,15937.16683,2.4484,,15937.16675,2.4484,,21482.59184,2.55747,,72707.74834,3.67318
57954.89713,2.6227,,33874.15414,2.33132,,23056.28812,2.36024,,21410.80063,2.33555,,12099.06865,2.18286,,21409.81282,2.33554,,15474.73797,2.44813,,15279.63269,2.45178,,20960.71933,2.54927,,99631.23213,3.99464
94217.91103,3.64763,,7688.33459,2.57236,,5794.05916,2.533,,5482.0014,2.51949,,69655.91033,2.94958,,12330.28317,2.37241,,11275.97325,2.34261,,4455.79965,2.58744,,6026.89262,2.1338,,14295.30166,4
17423.80715,3.11657,,4386.85708,2.48073,,4234.68115,2.35029,,3953.01607,2.33984,,4272.98948,2.01916,,7882.70222,2.22328,,7345.83998,2.19977,,2114.0596,2.51653,,2962.96232,1.89712,,3246.67003,2.95233
47439.77463,3.21402,,8972.4275,2.51906,,6191.16818,2.61714,,5678.98337,2.64219,,105548.9975,3.08812,,14469.38922,2.42574,,14811.40897,2.34858,,14811.40912,2.34858,,19307.99459,2.5219,,75090.1571,3.70424
72346.22857,3.54768,,9531.27902,2.58889,,8504.61954,2.52157,,8504.72987,2.52158,,79385.66857,2.99316,,13736.58712,2.40841,,14276.28788,2.35405,,14276.28791,2.35405,,17375.8918,2.48675,,43650.39956,3.32689
31475.13341,3.48407,,6542.44331,3.05034,,5479.39647,2.80507,,4991.38697,2.774,,71747.08119,2.95944,,16626.33077,2.47205,,13152.63359,2.39393,,4127.96138,3.10977,,6012.24555,2.13299,,5686.34382,3.34125
5748.46365,3.99376,,2698.84964,3.6757,,10892.03825,2.6197,,9417.07559,2.58165,,6028.54543,2.13389,,17149.77401,2.48239,,16409.02615,2.46767,,2173.9288,3.62386,,5181.70497,2.08343,,3208.61955,3.99515
4538.06252,2.82296,,5248.55349,2.98177,,1722.38646,2.93417,,1722.37377,2.93414,,3010.23673,1.9024,,15526.47632,2.44924,,12735.25391,2.38318,,1619.45485,3.03988,,2292.22319,1.81156,,1517.63284,2.87449
3878.8739,2.95177,,4312.27175,3.03091,,2654.25425,2.81961,,1546.38504,2.92276,,3303.83965,1.93342,,16300.53314,2.46546,,14002.99985,2.41481,,1359.28199,3.14475,,2515.62642,1.84256,,1322.91684,3.07848
3257.61661,3.6976,,2823.76641,3.71817,,4397.21171,3.02801,,4153.70136,2.92444,,6184.33502,2.1424,,25348.2747,2.61263,,22339.2333,2.5705,,2063.15396,3.69243,,4272.04281,2.01909,,2062.99655,3.69221
10723.08195,3.73318,,9989.90594,3.72641,,9759.54433,3.7258,,8279.0586,3.28656,,1.63E+06,4,,30930.08468,2.67897,,29850.16567,2.66712,,5640.79216,4,,7298.48696,2.19761,,5640.80334,4
29514.85552,3.53762,,28749.82356,3.53983,,15222.68349,3.61702,,16204.65487,3.61275,,390922.2103,3.52456,,44544.10622,2.80055,,34426.61083,2.71467,,15823.83744,3.86933,,22855.17873,2.57812,,15823.80895,3.86933
20142.8002,3.65568,,18756.82441,3.67612,,15739.26847,3.02386,,12773.51193,2.99967,,21298.47133,2.5546,,35018.51057,2.72035,,31767.22071,2.68787,,11763.84863,3.84193,,15828.11263,2.45565,,11763.76985,3.84192
82796.88317,2.32998,,184955.3298,2.51955,,103079.589,2.52478,,91336.96202,2.49677,,28313.95881,2.23628,,91337.41863,2.49677,,43927.15419,2.7959,,20711.71154,4,,29480.59895,2.66297,,20711.71294,4
5586.86842,2.99098,,2864.63141,2.62121,,2573.3446,2.66688,,2657.11648,2.63679,,61745.37141,2.9094,,9917.46436,2.29982,,9417.31711,2.28257,,2562.82234,2.65178,,2925.49171,1.89288,,2962.90223,4
1405.39508,3.45866,,798.87364,2.90151,,1675.24827,2.68864,,1673.1945,2.65117,,2344.50686,1.81908,,10941.36764,2.33257,,9825.56056,2.29672,,1164.04411,2.75506,,1666.04425,1.70521,,1009.09054,3.34753
