Ψm_A,σ_A,,Ψm_B,σ_B,,Ψm_C,σ_C,,Ψm_D,σ_D,,Ψm_E,σ_E,,Ψm_F,σ_F,,Ψm_G,σ_G,,Ψm_H,σ_H,,Ψm_I,σ_I,,Ψm_J,σ_J
14166.3068,2.85865,,9964.42794,2.72549,,11274.56895,2.69699,,11344.43042,2.68356,,175670.8986,3.25793,,21544.60397,2.55843,,20132.1502,2.53583,,12563.34232,2.65851,,10061.86772,2.30464,,13930.77667,2.77854
28880.37397,3.30398,,13219.08948,2.79866,,13669.06091,2.78211,,12223.53601,2.83845,,517899.2879,3.61832,,27323.94552,2.63764,,24820.94897,2.60562,,17195.15022,2.70723,,13168.15312,2.39432,,15810.73771,2.62188
10478.81701,3.88444,,10796.51669,3.86569,,5042.98845,3.31553,,5157.87943,3.30704,,879478.1752,3.79483,,32003.96743,2.69034,,26305.02563,2.62498,,2938.77734,4,,7846.23222,2.22173,,2938.78448,4
103245.2907,3.32268,,15143.86047,2.56047,,10766.56575,2.72513,,9770.46267,2.78141,,137448.2319,3.17614,,19923.07102,2.53235,,27581.28471,2.32151,,27581.28498,2.32151,,75074.24219,2.97455,,104927.1206,3.17644
175476.2131,3.88766,,6185.43799,2.64255,,4059.2179,2.77548,,3485.24,2.84763,,148508.4365,3.20194,,16001.34676,2.45928,,13923.99316,2.41293,,6645.70343,2.60078,,7168.02997,2.1916,,18256.12735,4
52957.95128,3.55998,,6357.51515,2.60749,,5180.68192,2.66682,,4372.8488,2.73081,,155217.6024,3.21667,,13522.5127,2.40318,,13026.66649,2.39072,,6798.82825,2.5844,,8948.52094,2.26555,,20407.42802,4
19120.04391,3.94488,,5423.21793,2.66966,,3216.02868,2.75385,,3263.35954,2.73056,,116115.7501,3.11992,,14224.81495,2.42005,,12471.26462,2.3762,,4079.88316,2.65944,,4630.76174,2.04596,,6933.97798,4
11925.59734,3.41752,,6609.84977,2.50646,,4387.76257,2.62145,,3871.8711,2.65915,,112528.5049,3.10946,,13590.26222,2.40484,,11980.74362,2.36282,,7098.00081,2.48745,,7118.63421,2.1893,,21864.14424,4
16508.05577,2.94063,,8938.99908,2.57579,,8150.23563,2.59105,,8027.34734,2.59728,,199461.0628,3.30026,,16687.82567,2.47328,,15585.03463,2.45049,,10238.60223,2.54016,,9700.6137,2.29245,,38546.45562,3.92257
44509.11331,2.89377,,9592.99951,2.41395,,7773.48989,2.47455,,7558.22704,2.48423,,43256.99755,2.79078,,12172.09564,2.36811,,12020.66728,2.29039,,12020.66701,2.29039,,17367.54982,2.48659,,31997.24731,3.31197
27944.89802,3.2627,,7450.49337,2.38509,,6099.92318,2.29472,,5990.92531,2.29161,,7967.74082,2.22686,,8016.91269,2.22891,,7755.94951,2.21788,,6058.89093,2.30408,,6175.36984,2.14191,,7819.848,2.67486
18725.46986,3.03739,,5747.28467,2.46763,,5378.68559,2.44704,,5295.33128,2.44992,,41027.30168,2.77314,,9994.83022,2.30241,,9712.42509,2.2434,,9712.42499,2.2434,,8160.29973,1.97371,,8160.32743,1.97371
24024.84499,3.00641,,9747.08276,2.43935,,7498.88791,2.48452,,7104.89022,2.49999,,85640.96126,3.01844,,12839.11161,2.38589,,13461.07027,2.32528,,13461.07037,2.32528,,14971.03452,2.4371,,15620.89075,2.4876
45049.36637,3.04339,,16906.34053,2.47349,,12915.01126,2.56292,,12240.96005,2.58168,,133508.5947,3.16645,,18013.78928,2.49877,,20618.46139,2.41266,,20618.46183,2.41266,,28826.69471,2.65549,,63952.80968,3.25417
243102.9462,2.80553,,52051.80258,2.42135,,40840.46151,2.50229,,39385.25685,2.51501,,251192.052,2.95376,,39385.38057,2.51501,,75174.38261,2.25744,,75174.38186,2.25744,,56579.38693,2.11274,,42683.19276,1.93223
40318.39261,3.48512,,8457.0532,2.9369,,7335.21769,3.04287,,6955.53995,3.00214,,51486.82825,2.84883,,14593.52043,2.42858,,16655.80091,2.19793,,16655.80072,2.19793,,34168.2034,2.71216,,33327.62025,2.86286
26178.24552,2.66701,,8575.34504,2.35724,,8441.60117,2.35747,,8108.79581,2.33843,,15909.90354,2.45737,,9964.77967,2.30141,,9626.65395,2.2899,,9122.90447,2.30676,,11350.3397,2.34481,,29754.18998,3.65347
34804.30581,3.11535,,6234.38874,2.47658,,5125.98658,2.49761,,4960.3913,2.50815,,45173.98673,2.80523,,10775.38228,2.32748,,9547.44492,2.28715,,8672.66382,2.31881,,10080.53016,2.30526,,27087.44038,3.69518
45859.65455,3.28959,,8744.08016,2.41482,,7504.99787,2.36977,,7504.83589,2.36976,,18611.07415,2.50964,,10035.74168,2.30377,,9839.82811,2.28025,,9839.82824,2.28025,,10085.56233,2.30543,,10443.73841,2.36207
118392.1154,3.48866,,15160.826,2.43216,,10547.64523,2.53899,,9686.69335,2.56367,,135256.0557,3.17078,,15992.87333,2.4591,,26751.78344,2.26694,,26751.78328,2.26694,,19158.64969,1.97883,,19158.6958,1.97883
9392.25797,2.5936,,5989.81743,2.25617,,5020.21857,2.29634,,4738.81082,2.31745,,16491.06307,2.46933,,7855.61354,2.22213,,7129.67688,2.18981,,5995.88737,2.24388,,6418.55438,2.15479,,10788.03067,3.20554
3548.9301,3.50562,,3286.95145,2.34222,,2822.00273,2.32847,,2700.07012,2.30975,,3643.02899,1.966,,6397.59418,2.1537,,5755.20073,2.11842,,2206.17476,2.36486,,2521.96672,1.8434,,2219.64025,3.27966
2105.99602,3.9995,,1970.09399,2.33308,,1740.52103,2.35016,,1755.77384,2.3452,,3452.76891,1.94812,,5581.25199,2.10819,,5274.08733,2.08933,,2132.66123,2.30657,,2404.53766,1.82751,,2092.14831,2.81876
1557.71482,2.85391,,1073.4964,2.38384,,2305.37636,2.24121,,2201.10599,2.2251,,2145.00879,1.78944,,4982.80641,2.07039,,4514.80063,2.03751,,1521.18898,2.3165,,1814.1878,1.7336,,1441.58978,2.59994
1869.89358,3.27847,,2524.98327,2.28787,,3374.7466,2.24265,,3214.12509,2.22053,,2578.98942,1.85086,,5770.52646,2.11931,,5444.21136,2.09991,,2485.65708,2.28955,,2354.34116,1.64669,,2354.34596,1.64669
668.44163,3.98598,,2672.24125,2.17638,,2896.70044,2.15246,,2935.67167,2.1496,,1929.1671,1.75409,,4462.04798,2.03359,,4419.90113,2.03043,,1873.74702,2.26455,,1915.45265,1.75171,,1896.01322,2.28533
49050.17874,3.54111,,8278.18105,2.93254,,7365.52266,3.09588,,6678.71788,3.00523,,61190.4207,2.90639,,14782.88895,2.43288,,18801.89233,2.18633,,18801.89241,2.18633,,40930.10551,2.77235,,40435.104,2.85995
32028.38569,3.53106,,4255.94842,2.68046,,3516.82929,2.70119,,3516.68668,2.70117,,47398.73647,2.82126,,10405.24556,2.31583,,8872.02716,2.26269,,6939.27541,2.3434,,7332.55559,2.19916,,11007.66673,2.87642
7069.8066,3.29609,,2973.24183,2.47764,,3911.81651,2.37344,,3777.97651,2.36224,,7084.55486,2.1877,,7844.95331,2.22168,,7258.49152,2.19578,,3830.11637,2.36881,,4197.67623,2.01323,,5910.54057,3.50628
4186.27046,3.99617,,3267.53273,2.32589,,3602.32747,2.29732,,3377.88655,2.27352,,4041.08977,2.00056,,6529.51882,2.1605,,6092.9905,2.13744,,2733.81046,2.33325,,3104.58554,1.91268,,3150.29518,3.75092
2759.20736,2.21827,,3197.27369,2.28439,,3561.48147,2.28166,,3477.32403,2.26413,,3879.32117,1.98694,,6534.51133,2.16076,,6042.38346,2.13466,,3000.17881,2.30345,,2918.0225,1.89203,,2912.17373,2.10829
2251.60488,2.12693,,3244.83015,2.29148,,3491.31309,2.29246,,3391.29153,2.279,,3078.59197,1.90988,,6741.11245,2.17113,,6250.87265,2.14596,,2559.87099,2.34434,,2429.99008,1.74478,,2429.9883,1.74478
12713.07858,3.34295,,18271.71877,2.42207,,14367.60202,2.33567,,13110.99347,2.31206,,4752.66807,2.00976,,13111.03313,2.31206,,12247.92391,2.37018,,6345.68264,2.58319,,6386.67802,2.15313,,16406.53726,4
39416.95291,2.73341,,21599.57509,2.54934,,19850.08229,2.5255,,19724.5399,2.52361,,19552.75545,2.52116,,19724.58679,2.52361,,20858.82511,2.50881,,20858.82511,2.50881,,23266.96374,2.58407,,29661.2595,2.79925
23087.91795,3.68679,,5711.05916,2.65613,,5387.37108,2.63002,,5224.89481,2.61681,,83160.52738,3.00865,,13772.59392,2.40928,,12341.74021,2.37272,,5278.56932,2.62046,,5418.97499,2.09836,,11376.09745,3.80739
11314.30722,2.91468,,6362.5218,2.67748,,6701.21425,2.66809,,6719.8297,2.64502,,145378.1183,3.19484,,16283.32993,2.4651,,14988.30381,2.43748,,7399.22111,2.62099,,6718.43326,2.17001,,17903.88247,3.8417
3559.94894,2.5646,,490.64877,3.99489,,4852.16752,2.62024,,5173.7542,2.60408,,108574.5118,3.09754,,13020.70845,2.39057,,12782.44763,2.38441,,2912.18514,2.81304,,3323.91523,1.93544,,4806.70748,3.71645
9018.12848,2.1508,,20675.3661,2.36699,,18096.47932,2.35431,,16701.57249,2.32909,,5990.98885,2.03304,,16701.53176,2.32909,,13206.73236,2.3953,,7910.05559,2.49829,,7717.54003,2.21622,,27518.43364,4
35859.99605,3.54653,,4070.65863,2.67094,,2595.72355,2.8572,,2312.83868,2.93121,,48265.55133,2.8273,,11421.07618,2.34688,,9391.64647,2.28166,,4847.82288,2.51351,,5949.09253,2.12947,,11209.08016,4
47434.90899,3.69681,,5640.73372,2.8267,,4675.80654,2.98095,,4331.60851,2.94827,,74121.51873,2.97029,,14197.31052,2.41941,,11986.36865,2.36298,,9846.2589,2.4296,,12451.04721,2.37566,,41019.12457,3.79552
15944.86377,3.28684,,3253.21168,2.6221,,3465.56614,2.52668,,3292.39621,2.52573,,41159.14689,2.77421,,9818.86323,2.29649,,8666.81779,2.25489,,2838.69062,2.5902,,3727.14744,1.9736,,4854.6373,3.08126
9991.52687,2.57382,,11339.64354,2.44193,,7175.68727,2.49598,,6745.78084,2.47194,,10409.11251,2.31595,,12412.49346,2.37462,,11645.80719,2.35337,,5356.23175,2.53685,,5416.15867,2.09819,,11947.09939,4
7300.1777,2.69725,,5819.52988,2.60556,,5796.71944,2.60634,,5481.22675,2.5715,,14841.61813,2.4342,,13861.14307,2.41142,,13260.00131,2.39664,,4246.287,2.63864,,4489.04421,2.0356,,7462.95009,4
12371.67285,2.09659,,35529.20755,2.35144,,17550.86671,2.36372,,16199.02359,2.3437,,3942.1136,1.93939,,16198.9594,2.3437,,13276.72605,2.39706,,3097.90596,2.7174,,3808.91022,1.98084,,4967.70535,3.14849
27321.10879,2.93128,,9974.46683,2.37174,,7333.44539,2.43686,,7045.07743,2.45579,,46507.30774,2.81493,,11484.32327,2.34872,,10857.2496,2.30627,,10857.24956,2.30627,,13513.11037,2.40294,,34594.96432,3.4779
8792.6156,3.95632,,2389.11222,2.69811,,5616.1123,2.47127,,5325.51728,2.451,,5859.19071,2.12439,,10634.18885,2.32308,,9831.72928,2.29693,,3991.68876,2.54693,,3818.23034,1.98165,,4244.63698,2.74984
2481.96839,2.5767,,2485.94057,2.57974,,2995.67885,2.51146,,2911.12157,2.50931,,3639.43579,1.96567,,9838.04968,2.29714,,8762.56814,2.25855,,2330.34941,2.57688,,2330.53526,1.81709,,2157.85489,2.45742
2156.39516,2.74592,,2542.3086,2.5732,,2523.01435,2.57568,,2212.36673,2.60728,,3884.76464,1.98741,,11588.95382,2.35174,,10186.83795,2.30876,,2519.8043,2.577,,2407.63297,1.82794,,2398.24264,1.87843
2470.10498,2.20739,,3997.00568,2.44037,,4646.70847,2.43769,,4536.50036,2.41292,,3244.57315,1.92738,,9543.68372,2.28702,,9334.55625,2.27963,,2774.99662,2.51763,,2549.09451,1.84697,,2561.27944,1.93373
1918.71213,1.53253,,5154.37658,1.89372,,4352.593,1.914,,3936.43976,1.87684,,1568.90651,1.56597,,3936.45076,1.87684,,3761.40671,1.97665,,2329.7356,2.13437,,1901.02197,0.98166,,1884.43962,0.87081
40801.70106,2.96913,,12545.37996,2.61336,,10741.38655,2.66903,,10492.93478,2.68309,,86829.45217,3.02304,,18563.36661,2.50879,,16474.69228,2.469,,14295.10617,2.52792,,15705.32365,2.45306,,66656.33391,3.83156
30535.88618,3.1498,,10917.36948,2.69689,,10635.99097,2.64896,,10636.0171,2.64896,,81407.9739,3.00155,,17903.97154,2.49673,,16121.06108,2.46177,,12587.23231,2.56465,,13114.54514,2.39296,,32943.44774,3.30233
4619.23814,3.73117,,1840.76428,2.86227,,7089.94341,2.46384,,6498.36683,2.43872,,3907.96563,1.9894,,11259.65661,2.34213,,10801.33744,2.32828,,3408.32598,2.65516,,3311.41827,1.93418,,3498.56098,2.77049
5238.03197,2.27609,,9600.17157,2.49123,,10734.44413,2.49338,,10197.00207,2.47168,,7053.71691,2.18624,,14141.34231,2.41809,,13652.105,2.40635,,6886.75241,2.59645,,4865.72034,1.88692,,4865.73037,1.88691
22374.5465,3.25067,,3977.9737,2.52644,,2845.62265,2.64911,,2559.73739,2.66571,,35957.80993,2.72917,,9485.72903,2.28499,,7962.18526,2.22662,,7953.14808,2.22704,,10706.67869,2.32535,,18298.20114,3.36773
20362.19343,3.99357,,5718.78792,2.38815,,5161.60782,2.39043,,5136.95939,2.38158,,37095.8305,2.73956,,9088.76375,2.27074,,8400.55474,2.24449,,7857.8972,2.26408,,10011.54839,2.30297,,23888.35175,3.68323
37608.65302,2.95867,,5772.06568,2.35244,,5289.82875,2.36586,,5257.2269,2.35541,,40248.47559,2.76675,,8932.33257,2.26495,,8285.4993,2.23989,,7407.5276,2.26924,,9511.39889,2.28589,,25133.3955,3.8726
23364.41129,3.42933,,3409.53317,2.44625,,2928.14703,2.43567,,2928.12353,2.43567,,34866.48451,2.7189,,8098.13015,2.23227,,7195.93578,2.1929,,5560.58373,2.26432,,7143.59961,2.19046,,16287.63645,3.51849
6581.23368,1.98277,,9331.13479,2.09592,,7318.32134,2.09337,,6725.18484,2.065,,3368.68416,1.85669,,6725.16001,2.065,,5796.82744,2.12083,,2660.28875,2.30297,,3404.95053,1.94347,,3985.00689,3.56491
3409.51213,1.76557,,5541.49327,1.90717,,5766.9433,1.87879,,5942.4854,1.87084,,3157.15225,1.69052,,5942.48748,1.87084,,4240.70663,2.01663,,3225.28312,2.09778,,3885.59282,1.98748,,4768.43046,3.01278
53411.01301,3.5223,,9832.57051,2.86119,,8352.26342,2.87829,,8352.30205,2.87828,,70700.98168,2.95454,,17599.93453,2.49102,,15307.68859,2.41747,,15307.68885,2.41747,,23065.50817,2.58117,,47402.88025,3.42857
71602.0153,3.44671,,9917.78634,2.66133,,9761.23104,2.54917,,9469.3742,2.54385,,57313.82175,2.88457,,14945.51056,2.43653,,13925.6194,2.41297,,9648.89064,2.54859,,12458.02209,2.37584,,53039.23392,3.81596
100121.1353,3.58102,,8467.52957,2.62612,,7477.12648,2.60443,,7333.4219,2.59467,,89459.19448,3.03298,,14967.82163,2.43702,,13627.20684,2.40575,,10939.26784,2.47003,,15754.74036,2.4541,,58876.13251,4
119627.4129,3.31833,,10315.03209,2.52061,,6811.24784,2.58746,,6175.61342,2.61549,,146353.0574,3.19706,,15317.7396,2.44473,,13906.52245,2.41251,,13008.5783,2.4278,,17971.27862,2.49798,,83280.38345,4
10308.21401,2.68415,,7683.91608,2.35429,,6774.66089,2.38341,,6130.47687,2.40502,,26334.11638,2.62535,,10038.36485,2.30386,,9844.89135,2.29737,,8757.97657,2.32389,,8487.24464,2.24791,,8765.00173,2.32464
1345.58227,2.32095,,1209.21033,2.21067,,827.80611,2.27814,,729.39593,2.29419,,1719.67487,1.71577,,3409.50302,1.94391,,3287.84083,1.9318,,1414.41008,2.17931,,1450.0015,1.65891,,1438.16068,1.97842
45216.07749,3.54756,,5893.77773,2.69408,,4650.89061,2.75894,,4650.74362,2.75894,,64226.13945,2.92253,,13391.59667,2.39993,,11427.10159,2.34705,,9023.50233,2.42784,,10877.41196,2.33062,,37451.1963,3.72678
73325.8889,3.98362,,6598.11353,2.59065,,5381.22087,2.61477,,5047.17287,2.63167,,99467.79741,3.06833,,13824.49093,2.41054,,12375.74679,2.37364,,11082.87839,2.40241,,13233.44996,2.39597,,63404.39663,4
4002.48471,3.87369,,2348.27347,3.55629,,9033.36645,2.70674,,8210.38097,2.67193,,5857.10405,2.12428,,19706.35291,2.5287,,18466.79257,2.50705,,3614.86649,3.05615,,4754.73205,2.05477,,3678.74844,2.87215
61186.15839,3.08775,,10960.50084,2.53757,,7941.95483,2.68805,,7242.30699,2.72667,,83890.23512,3.01156,,15746.11026,2.45392,,26244.16201,2.15028,,26244.16213,2.15028,,61277.40527,2.72628,,61278.01925,2.72626
47337.03302,2.96355,,9300.59855,2.44276,,8350.8604,2.45444,,8350.73382,2.45443,,53793.51558,2.86344,,12019.46688,2.3639,,17508.67013,2.17592,,17508.67016,2.17592,,37072.15214,2.73935,,45726.68179,2.96516
22721.32317,3.03209,,8527.98199,2.35044,,6154.05244,2.43043,,5731.5385,2.44646,,76322.61504,2.98005,,11080.41224,2.33678,,11091.98968,2.28802,,11091.98946,2.28802,,13356.99457,2.39907,,49158.58357,3.67711
17586.03236,2.68536,,25077.15538,2.79833,,27272.26092,2.77367,,27233.46975,2.76279,,28172.07433,2.64783,,34031.18038,2.71082,,33090.85705,2.70148,,23433.89163,2.84006,,18212.29572,2.50242,,18074.3665,2.56195
18890.79687,2.00198,,73562.81462,2.34416,,55047.31989,2.36273,,52508.82247,2.34813,,13209.32435,2.02125,,52508.78118,2.34813,,32380.49619,2.50529,,32380.49609,2.50529,,21061.24122,2.16565,,21061.06119,2.16564
26241.63442,3.44796,,2822.06432,2.48253,,1892.73774,2.5228,,1892.77609,2.5228,,31947.31709,2.68975,,7808.59557,2.22013,,6682.53698,2.16822,,3140.04676,2.37848,,4237.7234,2.0164,,6024.8037,3.33843
5027.70406,3.99748,,3227.76278,2.36371,,1662.07233,2.42832,,1674.29842,2.41733,,5425.51938,2.09876,,6948.58461,2.18124,,6044.67222,2.13478,,2036.02397,2.37896,,2626.54209,1.85695,,2277.6031,3.82327
2398.247,3.64142,,1740.9651,2.35039,,1746.80059,2.35398,,1684.54359,2.3387,,2951.33508,1.89581,,6401.87111,2.15392,,5756.64036,2.11851,,1570.20947,2.35313,,2043.20086,1.77323,,1303.21911,3.51475
2374.87843,2.99983,,1468.54389,2.3288,,1111.60409,2.35586,,1106.07431,2.35088,,2505.37867,1.8412,,5903.46197,2.1269,,5204.15429,2.08488,,1243.50061,2.33474,,1696.36538,1.71122,,1126.92933,3.035
2331.02126,2.32625,,2252.54304,2.27612,,2387.05707,2.26519,,2284.45781,2.27275,,3269.12391,1.9299,,5466.03216,2.10124,,5353.42252,2.0943,,1954.27002,2.30082,,2224.77157,1.80161,,2291.35341,2.75878
21042.37809,3.13837,,4463.31702,2.53344,,3030.32007,2.6685,,2678.36256,2.69595,,56166.00326,2.87783,,10750.31399,2.3267,,9372.42306,2.26929,,9372.42285,2.26929,,11869.23718,2.35971,,30112.71667,3.5575
49998.94116,3.35807,,9454.14601,2.39296,,6217.66647,2.47309,,5711.90966,2.49447,,89279.09707,3.03231,,12043.63547,2.36457,,12257.63437,2.31036,,12257.63432,2.31036,,16178.17152,2.46294,,65729.70534,3.80587
37344.86805,3.53655,,3463.53284,2.56091,,2518.55533,2.62936,,2308.77214,2.63792,,49855.41065,2.8381,,9960.95318,2.30128,,8545.30612,2.25018,,5140.75131,2.39171,,6493.40467,2.15865,,17037.46368,3.84678
5300.71104,3.94061,,2042.02306,2.49667,,1283.10952,2.57431,,1092.84266,2.59621,,114857.4938,3.11629,,9418.98362,2.28263,,8631.22818,2.25352,,2505.71076,2.45377,,2952.24329,1.89591,,2735.89948,4
6766.17427,2.65972,,5228.89209,2.50043,,3312.2086,2.58258,,2856.39689,2.60584,,248283.6506,3.37325,,12701.64184,2.3823,,12085.22532,2.36572,,6594.25678,2.46,,5622.17961,2.11063,,5811.40177,2.21467
12706.28528,3.16037,,5609.04368,2.28611,,5175.83163,2.24068,,5160.32033,2.23858,,8207.27474,2.23673,,6813.99939,2.17472,,6475.88732,2.15775,,5829.53023,2.20197,,5874.76609,2.12528,,6586.7066,2.41261
4845.79467,1.78144,,9359.48845,1.98948,,7508.7026,1.98298,,6628.12908,1.94382,,2857.31156,1.69693,,6628.18943,1.94382,,5506.44403,2.1037,,3953.05294,2.21992,,3880.20813,1.98702,,4100.46954,2.32556
5770.79099,2.8105,,4454.55927,2.16649,,3776.74245,2.03378,,3636.44698,2.02209,,2410.76152,1.82837,,4006.51125,1.9977,,4092.81215,2.0048,,2610.05097,2.19182,,2662.75529,1.86151,,2656.25438,2.29422
5275.9793,1.96158,,7719.19716,2.08878,,4833.78438,1.95138,,4626.60345,1.9411,,2285.9043,1.72413,,4626.59736,1.9411,,4439.73284,2.03192,,3229.39408,2.19604,,2850.32402,1.8842,,3134.26982,2.15922
10161.45324,1.80983,,22662.27388,2.02765,,14022.09116,2.02864,,12644.85057,1.99954,,5323.75706,1.77314,,12644.87338,1.99954,,8289.64633,2.20977,,8289.64644,2.20977,,9379.5488,2.28123,,14882.30963,2.94506
40659.13631,3.13226,,7352.81735,2.46677,,6825.15845,2.45852,,6680.17825,2.44406,,39420.40966,2.75982,,10942.1429,2.3326,,10053.05011,2.30435,,9624.85011,2.31971,,13745.57417,2.40863,,27620.42141,3.55982
54225.38893,3.38628,,6976.73271,2.68205,,5199.23115,2.8711,,4666.02166,2.93852,,73739.24693,2.96857,,14998.86047,2.43771,,14491.37919,2.32998,,14491.37965,2.32998,,27394.89103,2.63851,,45537.97667,3.43557
71162.61998,3.48016,,5825.8722,2.46236,,5280.036,2.368,,4740.78416,2.34478,,4855.18078,2.06174,,8606.72496,2.25257,,8196.47562,2.23629,,1860.85253,2.5857,,3595.54746,1.96162,,4222.35518,3.81139
53466.51343,3.51275,,5321.14278,2.59508,,3663.90773,2.63369,,3487.40103,2.6468,,56956.63798,2.88249,,11678.4761,2.35431,,10087.22852,2.30548,,6187.79371,2.45211,,8335.76289,2.24191,,22862.14234,4
36225.07222,3.99984,,5325.89048,2.55502,,5093.36145,2.53151,,4905.38695,2.51126,,51416.27624,2.84837,,11173.87883,2.33958,,10051.55703,2.3043,,6364.27374,2.43807,,8360.01858,2.24288,,21138.40016,4
49473.50025,3.99805,,7820.33818,2.48017,,4605.78807,2.56128,,4157.94612,2.59576,,68188.42529,2.94248,,12119.97713,2.36668,,10631.05636,2.32298,,8039.06019,2.39966,,11314.01221,2.34374,,34977.87219,4
55998.31615,3.52501,,11798.24382,2.86287,,10700.89458,2.66044,,10512.23776,2.65942,,62636.3319,2.91417,,17533.20079,2.48976,,15827.94473,2.45565,,12284.52819,2.58436,,12563.80005,2.37866,,34587.02531,3.40676
18965.23482,3.17439,,9499.3128,2.76476,,12626.87996,2.45507,,11947.56446,2.44366,,6319.58359,2.14961,,13988.334,2.41446,,14128.54153,2.41779,,6565.36901,2.69254,,6003.34949,2.1325,,9274.62903,3.05231
6535.14726,3.22638,,5998.88929,3.19248,,5939.41452,3.33488,,5724.24645,3.34776,,319847.2027,3.45767,,24933.46652,2.60713,,20709.8358,2.54526,,5648.85649,3.18724,,6343.08514,2.15085,,5499.73764,3.14164
96850.44252,3.522,,65658.17612,3.99972,,59719.43057,3.69711,,51698.07314,3.54944,,1.63E+06,3.99997,,95847.20436,3.05598,,78523.20526,2.98952,,47555.45598,4,,68745.92576,2.9452,,47555.45803,4
30093.89919,2.35351,,77014.5479,2.57477,,57639.51642,2.54132,,53980.84925,2.52409,,18100.00701,2.25367,,53980.67516,2.5241,,32820.11791,2.69874,,15074.56188,3.30931,,18299.55412,2.50402,,15008.8677,3.3006
44007.06413,2.58654,,50064.21286,2.61828,,50660.17704,2.61513,,50648.44026,2.61416,,43247.46942,2.57549,,50648.27944,2.61416,,52278.9493,2.60655,,52278.9512,2.60655,,23837.88394,2.04149,,23837.92369,2.04149
87780.34174,3.46435,,19632.77167,2.85872,,16376.66833,2.69554,,16376.99552,2.69554,,76489.48943,2.98077,,21340.16302,2.55525,,26518.4991,2.35232,,26518.49917,2.35232,,68864.30215,2.94577,,68535.87465,3.02839
51634.37298,3.15845,,12181.50874,2.68626,,9872.59925,2.74093,,9878.30798,2.72656,,125890.895,3.14686,,19757.11357,2.52956,,17680.86512,2.49255,,13796.27998,2.58151,,14837.45934,2.43411,,75786.28273,4
80949.85382,3.70396,,8023.50734,2.74148,,6373.34396,2.80233,,6246.95496,2.80574,,105079.6386,3.08663,,16622.89038,2.47198,,14494.10822,2.4263,,14172.80892,2.43354,,17849.29789,2.49571,,71281.08197,3.82454
75225.1311,3.84773,,5964.80116,2.77958,,4541.41545,2.86548,,4378.0329,2.87018,,126014.0127,3.14719,,16131.55195,2.46198,,14059.33913,2.41615,,8509.76271,2.55721,,9440.20223,2.28338,,37510.56021,3.91816
1.07E+06,3.99868,,32153.30751,3.16976,,31580.875,3.50818,,31355.87259,3.70919,,1.37E+06,3.94193,,43694.0625,2.79413,,113986.6243,2.34622,,189200.981,2.14283,,551818.9604,2.87194,,458238.2653,2.46415
343160.2815,3.29713,,26664.65207,2.57071,,23531.61442,2.54193,,23531.50786,2.54193,,262609.9893,3.14062,,23531.71033,2.54193,,61990.30098,2.25946,,61990.30126,2.25946,,78410.79789,2.38689,,78418.77095,2.38694
41828.31942,3.46523,,6277.69129,2.67365,,5005.10496,2.72365,,5005.07867,2.72365,,60220.62009,2.90106,,12923.38413,2.38807,,11882.0162,2.3126,,11882.01614,2.3126,,16244.01329,2.4643,,36927.27322,3.44665
20426.42332,3.58438,,3394.38905,2.58111,,2437.37834,2.70726,,2161.34507,2.71503,,45468.97534,2.8074,,9796.46986,2.29573,,8306.58224,2.24074,,6598.95583,2.31271,,7355.46861,2.2002,,19976.08299,3.82456
19316.8828,3.41279,,3120.22689,2.51773,,2427.16933,2.54971,,2427.13439,2.54971,,30395.77047,2.67316,,8167.31441,2.2351,,6948.64981,2.18124,,4463.20191,2.32297,,5690.52706,2.11466,,10254.27921,3.33216
51828.36266,3.28782,,5993.48266,2.4735,,3905.49313,2.57893,,3507.38697,2.59774,,74279.08271,2.971,,11390.74498,2.34599,,14293.09881,2.20649,,14293.0985,2.20649,,28465.84633,2.65129,,47241.04022,3.33899
221350.7283,3.46004,,11173.20997,2.61034,,7492.50629,2.71711,,6809.00871,2.74464,,223735.5057,3.33854,,18662.04941,2.51055,,20037.53449,2.43118,,20037.53471,2.43118,,36556.06565,2.73467,,179687.6774,4
37832.7361,3.14975,,7601.56991,2.37497,,5270.47468,2.47836,,4870.94866,2.5009,,47311.77819,2.82064,,10720.08606,2.32576,,11970.80785,2.20325,,11970.80768,2.20325,,21924.66886,2.56426,,31202.76737,3.26394
5680.98581,2.7257,,4548.73676,2.58157,,4377.36127,2.58595,,4298.33564,2.57246,,11899.5035,2.36056,,12044.75809,2.3646,,10728.99034,2.32604,,4274.46782,2.57923,,4132.2925,2.008,,5290.06902,3.18063
6647.2784,3.00191,,3299.13991,2.60062,,3018.63866,2.58263,,3018.51944,2.58264,,49810.38508,2.8378,,10023.43692,2.30337,,8727.97944,2.25723,,3447.35857,2.51734,,3800.589,1.98011,,4519.14457,2.79412
7114.20411,3.18953,,4314.75334,2.62101,,3429.70124,2.67804,,3214.46496,2.68547,,122152.8847,3.13681,,13407.40818,2.40033,,11886.99434,2.36021,,5182.05846,2.54881,,4724.43826,2.05264,,5958.01793,2.85881
13012.26538,3.32972,,4739.19567,2.82074,,3498.89465,3.04474,,3158.97827,3.12723,,322258.2801,3.46017,,18196.51774,2.50213,,16239.81567,2.46421,,8003.20783,2.61112,,6865.43851,2.17722,,10570.06489,3.0279
