Id,Theta_Ini[-],Thetas[-],RingRadius[mm],Lambda[-],Beta[-]
1,0.08,0.464624933,250,0.75,0.6
2,0,0.491541371,250,0.75,0.6
3,0,0.494022867,250,0.75,0.6
4,0,0.489463623,250,0.75,0.6
5,0,0.442496858,250,0.75,0.6
6,0,0.436724206,250,0.75,0.6
7,0.32,0.621386159,250,0.75,0.6
8,0,0.465330377,250,0.75,0.6
9,0,0.485181173,250,0.75,0.6
10,0,0.47197047,250,0.75,0.6
11,0,0.429206382,250,0.75,0.6
12,0,0.417932637,250,0.75,0.6
13,0.07,0.438706236,250,0.75,0.6
14,0,0.468389703,250,0.75,0.6
15,0,0.474662346,250,0.75,0.6
16,0,0.498984685,250,0.75,0.6
17,0,0.491683934,250,0.75,0.6
18,0,0.438314678,250,0.75,0.6
19,0.26,0.432202764,250,0.75,0.6
20,0,0.462259215,250,0.75,0.6
21,0,0.496869982,250,0.75,0.6
22,0,0.49970623,250,0.75,0.6
23,0,0.488562481,250,0.75,0.6
24,0,0.491395025,250,0.75,0.6
25,0.2,0.482568964,250,0.75,0.6
26,0,0.533682379,250,0.75,0.6
27,0,0.503280718,250,0.75,0.6
28,0,0.448435373,250,0.75,0.6
29,0,0.453146944,250,0.75,0.6
30,0,0.450522843,250,0.75,0.6
31,0.34,0.528393645,250,0.75,0.6
32,0,0.52304925,250,0.75,0.6
33,0,0.533831942,250,0.75,0.6
34,0,0.477689556,250,0.75,0.6
35,0,0.477970621,250,0.75,0.6
36,0,0.466887021,250,0.75,0.6
37,0.06,0.415591055,250,0.75,0.6
38,0,0.444459957,250,0.75,0.6
39,0,0.46387486,250,0.75,0.6
40,0,0.444506301,250,0.75,0.6
41,0,0.413789472,250,0.75,0.6
42,0,0.432498578,250,0.75,0.6
43,0.4,0.483107876,250,0.75,0.6
44,0,0.457937881,250,0.75,0.6
45,0,0.468978244,250,0.75,0.6
46,0,0.485103404,250,0.75,0.6
47,0,0.44611531,250,0.75,0.6
48,0,0.422337356,250,0.75,0.6
49,0.15,0.669545434,250,0.75,0.6
50,0,0.510199722,250,0.75,0.6
51,0,0.51007027,250,0.75,0.6
52,0,0.480038436,250,0.75,0.6
53,0,0.405893046,250,0.75,0.6
54,0,0.374601194,250,0.75,0.6
55,0.84,0.59652541,250,0.75,0.6
56,0,0.516621794,250,0.75,0.6
57,0,0.4817273,250,0.75,0.6
58,0,0.448575914,250,0.75,0.6
59,0,0.419784182,250,0.75,0.6
60,0,0.434065178,250,0.75,0.6
61,0.27,0.574986663,250,0.75,0.6
62,0,0.478658997,250,0.75,0.6
63,0,0.459123396,250,0.75,0.6
64,0,0.399353346,250,0.75,0.6
65,0,0.396939023,250,0.75,0.6
66,0,0.367186966,250,0.75,0.6
67,0.36,0.503694121,250,0.75,0.6
68,0,0.481181343,250,0.75,0.6
69,0,0.49412162,250,0.75,0.6
70,0,0.44663628,250,0.75,0.6
71,0,0.408058991,250,0.75,0.6
72,0.13,0.471118686,250,0.75,0.6
73,0,0.479076266,250,0.75,0.6
74,0,0.494297465,250,0.75,0.6
75,0,0.45266275,250,0.75,0.6
76,0,0.485030511,250,0.75,0.6
77,0,0.396841239,250,0.75,0.6
78,0.28,0.472127979,250,0.75,0.6
79,0,0.472757864,250,0.75,0.6
80,0,0.479870259,250,0.75,0.6
81,0,0.449541633,250,0.75,0.6
82,0,0.455270588,250,0.75,0.6
83,0,0.451983569,250,0.75,0.6
84,0.21,0.462201788,250,0.75,0.6
85,0,0.446103819,250,0.75,0.6
86,0,0.427914856,250,0.75,0.6
87,0,0.346798589,250,0.75,0.6
88,0,0.358802587,250,0.75,0.6
89,0,0.362043617,250,0.75,0.6
90,0.21,0.47190841,250,0.75,0.6
91,0,0.417541433,250,0.75,0.6
92,0,0.392817688,250,0.75,0.6
93,0,0.428313372,250,0.75,0.6
94,0,0.383624048,250,0.75,0.6
95,0,0.418779703,250,0.75,0.6
96,0.12,0.521981541,250,0.75,0.6
97,0,0.520913413,250,0.75,0.6
98,0,0.483655241,250,0.75,0.6
99,0,0.409531202,250,0.75,0.6
100,0,0.392782085,250,0.75,0.6
101,0,0.41098084,250,0.75,0.6
102,0.37,0.557622382,250,0.75,0.6
103,0,0.523968639,250,0.75,0.6
104,0,0.561370197,250,0.75,0.6
105,0,0.454330865,250,0.75,0.6
106,0,0.421846753,250,0.75,0.6
107,0,0.392387146,250,0.75,0.6
108,0.14,0.472543515,250,0.75,0.6
109,0,0.444907844,250,0.75,0.6
110,0,0.419366823,250,0.75,0.6
111,0,0.386680517,250,0.75,0.6
112,0,0.376116049,250,0.75,0.6
113,0,0.366787196,250,0.75,0.6
114,0.32,0.480349306,250,0.75,0.6
115,0,0.439162401,250,0.75,0.6
116,0,0.411019579,250,0.75,0.6
117,0,0.385386474,250,0.75,0.6
118,0,0.384982315,250,0.75,0.6
119,0,0.36714445,250,0.75,0.6
120,0.39,0.470266436,250,0.75,0.6
121,0,0.429935181,250,0.75,0.6
122,0,0.438665802,250,0.75,0.6
123,0,0.415842025,250,0.75,0.6
124,0,0.391261772,250,0.75,0.6
125,0,0.42626184,250,0.75,0.6
126,0.4,0.504890689,250,0.75,0.6
127,0,0.454426279,250,0.75,0.6
128,0,0.472739361,250,0.75,0.6
129,0,0.460960018,250,0.75,0.6
130,0,0.453032915,250,0.75,0.6
131,0,0.4093686,250,0.75,0.6
132,0.61,0.557171416,250,0.75,0.6
133,0,0.507470798,250,0.75,0.6
134,0,0.476210202,250,0.75,0.6
135,0,0.427901419,250,0.75,0.6
136,0,0.439129885,250,0.75,0.6
137,0,0.421290477,250,0.75,0.6
138,0.59,0.590189225,250,0.75,0.6
139,0,0.509922018,250,0.75,0.6
140,0,0.509785869,250,0.75,0.6
141,0,0.433458521,250,0.75,0.6
142,0,0.426288161,250,0.75,0.6
143,0,0.400452168,250,0.75,0.6
144,0,0.532746029,250,0.75,0.6
145,0,0.501524917,250,0.75,0.6
146,0,0.489333921,250,0.75,0.6
147,0,0.483368222,250,0.75,0.6
148,0,0.449996288,250,0.75,0.6
149,0,0.43285089,250,0.75,0.6
150,0,0.52674902,250,0.75,0.6
151,0,0.484218345,250,0.75,0.6
152,0,0.48088934,250,0.75,0.6
153,0,0.482451361,250,0.75,0.6
154,0,0.462851722,250,0.75,0.6
155,0,0.42053822,250,0.75,0.6
