Id,Tinfilt[s],Cumul_Infiltration[mm]
1,0,0
1,172,10.19
1,1065,20.38
1,3060,30.57
1,5543,40.76
1,8164,50.95
1,10707,61.14
1,13260,71.33
1,15670,81.52
7,0,0
7,274,10.19
7,1125,20.38
7,2299,30.57
7,3627,40.76
7,5118,50.95
7,6645,61.14
7,8129,71.33
7,9683,81.52
7,11247,91.71
7,12850,101.9
13,0,0
13,645,10.19
13,2443,20.38
13,4005,30.57
13,5369,40.76
13,6580,50.95
13,7642,61.14
13,8708,71.33
13,9703,81.52
13,10665,91.71
13,11646,101.9
13,12640,112.09
13,13585,122.28
13,14520,132.47
13,15460,142.66
19,0,0
19,587,10.19
19,2124,20.38
19,3936,30.57
19,5814,40.76
19,7863,50.95
19,9966,61.14
19,12191,71.33
25,0,0
25,55,10.19
25,128,20.38
25,214,30.57
25,320,40.76
25,440,50.95
25,570,61.14
25,715,71.33
25,864,81.52
25,1023,91.71
25,1203,101.9
25,1381,112.09
25,1575,122.28
25,1780,132.47
25,1990,142.66
25,2224,152.85
31,0,0
31,270,10.19
31,573,20.38
31,1035,30.57
31,1563,40.76
31,2214,50.95
31,3060,61.14
31,4015,71.33
31,4924,81.52
31,5794,91.71
31,6672,101.9
37,0,0
37,245,10.19
37,663,20.38
37,1175,30.57
37,1726,40.76
37,2265,50.95
37,3367,61.14
37,3920,71.33
37,4490,81.52
37,5055,91.71
37,5620,101.9
37,6198,112.09
37,6801,122.28
37,7401,132.47
43,0,0
43,546,10.19
43,1492,20.38
43,2500,30.57
43,3519,40.76
43,4479,50.95
43,5439,61.14
43,6353,71.33
43,7248,81.52
49,0,0
49,55,10.19
49,115,20.38
49,191,30.57
49,256,40.76
49,324,50.95
49,407,61.14
49,495,71.33
49,593,81.52
49,705,91.71
49,824,101.9
49,954,112.09
49,1097,122.28
49,1247,132.47
49,1421,142.66
49,1599,152.85
49,1794,163.04
49,2002,173.23
49,2215,183.42
49,2448,193.61
49,2683,203.8
49,2938,213.99
49,3193,224.18
49,3458,234.37
49,3727,244.56
49,4002,254.75
49,4273,264.94
49,4594,275.13
49,4923,285.32
49,5243,295.51
55,0,0
55,3547,10.19
55,13328,20.38
61,0,0
61,40,10.19
61,140,20.38
61,251,30.57
61,390,40.76
61,548,50.95
61,729,61.14
61,920,71.33
61,1158,81.52
61,1393,91.71
61,1655,101.9
61,1948,112.09
61,2233,122.28
61,2564,132.47
61,2901,142.66
61,3235,152.85
61,3597,163.04
61,3980,173.23
61,4340,183.42
61,4773,193.61
61,5180,203.8
61,5595,213.99
61,6055,224.18
61,6468,234.37
61,6960,244.56
61,7420,254.75
61,7877,264.94
61,8357,275.13
61,8780,285.32
67,0,0
67,73,10.19
67,185,20.38
67,344,30.57
67,536,40.76
67,752,50.95
67,1001,61.14
67,1270,71.33
67,1552,81.52
67,1893,91.71
67,2228,101.9
67,2580,112.09
67,2965,122.28
67,3355,132.47
67,3749,142.66
67,4159,152.85
67,4570,163.04
67,5009,173.23
67,5444,183.42
67,5881,193.61
67,6333,203.8
72,0,0
72,136,10.19
72,373,20.38
72,730,30.57
72,1343,40.76
72,2205,50.95
72,3243,61.14
72,4331,71.33
72,5528,81.52
72,6766,91.71
72,8108,101.9
72,9560,112.09
72,10923,122.28
72,12249,132.47
72,13581,142.66
72,14906,152.85
72,16175,163.04
72,17424,173.23
72,18673,183.42
78,0,0
78,293,10.19
78,856,20.38
78,1666,30.57
78,2920,40.76
78,4696,50.95
78,6893,61.14
78,9214,71.33
78,11886,81.52
78,15320,91.71
78,19097,101.9
78,22886,112.09
84,0,0
84,449,10.19
84,1080,20.38
84,2955,30.57
84,4160,40.76
84,5580,50.95
84,7085,61.14
84,8770,71.33
84,10600,81.52
84,12540,91.71
84,14705,101.9
84,16910,112.09
84,19266,122.28
90,0,0
90,143,10.19
90,408,20.38
90,813,30.57
90,1470,40.76
90,2489,50.95
90,3862,61.14
90,5581,71.33
90,7654,81.52
90,10120,91.71
90,12836,101.9
90,15819,112.09
90,19146,122.28
96,0,0
96,187,10.19
96,508,20.38
96,912,30.57
96,1395,40.76
96,1934,50.95
96,2554,61.14
96,3242,71.33
96,3952,81.52
96,4694,91.71
96,5475,101.9
96,6291,112.09
96,7126,122.28
96,7990,132.47
96,8875,142.66
96,9837,152.85
96,10815,163.04
96,11757,173.23
96,12741,183.42
96,13720,193.61
102,0,0
102,170,10.19
102,569,20.38
102,1353,30.57
102,2464,40.76
102,3754,50.95
102,5205,61.14
102,6729,71.33
102,8244,81.52
102,9866,91.71
102,11240,101.9
102,12880,112.09
102,14620,122.28
102,16490,132.47
108,0,0
108,584,10.19
108,1489,20.38
108,2390,30.57
108,3309,40.76
108,4290,50.95
108,5443,61.14
108,6718,71.33
108,8253,81.52
108,10005,91.71
108,11942,101.9
108,14343,112.09
108,17202,122.28
108,20643,132.47
114,0,0
114,445,10.19
114,1222,20.38
114,2899,30.57
114,6377,40.76
114,12017,50.95
114,20193,61.14
120,0,0
120,131,10.19
120,395,20.38
120,757,30.57
120,1215,40.76
120,1717,50.95
120,2260,61.14
120,2827,71.33
120,3492,81.52
126,0,0
126,525,10.19
126,1592,20.38
126,2791,30.57
126,4078,40.76
126,5382,50.95
126,6784,61.14
126,8371,71.33
126,9821,81.52
126,11322,91.71
132,0,0
132,3779,10.19
132,10095,20.38
132,15898,30.57
138,0,0
138,18823,10.19
