Id,WofBest,RmseBest,Efficiency,Global_WaterBalance,Global_WaterBalance_NormPr,ΔT_Average,∑∑ΔSink,∑ΔQ_Bot,SwcRoots,iNonConverge,ΔRunTimeHypix
1.0,0.0011010145730885091,0.0023078846857025053,376.0,0.09773972925370344,0.010864655569113401,1401.0,319.21049691264324,546.5196755301461,299.02481518151376,5.0,2976.154
2.0,0.0010752592172237937,0.0022693124617491306,197.0,0.025917866023121405,0.0028809755446658042,1597.0,336.9394605189898,520.6404617905614,312.10992960905185,0.0,7587.095
3.0,0.0010752592172237937,0.0022693124617491306,197.0,0.025917866023121405,0.0028809755446658042,1597.0,336.9394605189898,520.6404617905614,312.10992960905185,0.0,11741.967
4.0,0.0009749203589938083,0.00205664084774635,1776.0,-236.3607523234279,-26.275525977483245,1272.0,333.1137986425163,288.10180514218905,313.1858799394385,4184.0,24086.623
5.0,0.0009749203589938083,0.00205664084774635,1776.0,-236.3607523234279,-26.275525977483245,1272.0,333.1137986425163,288.10180514218905,313.1858799394385,4184.0,30798.29
6.0,0.0009749203589938083,0.00205664084774635,1776.0,-236.3607523234279,-26.275525977483245,1272.0,333.1137986425163,288.10180514218905,313.1858799394385,4184.0,41362.055
7.0,0.0009749203589938083,0.00205664084774635,1776.0,-236.3607523234279,-26.275525977483245,1272.0,333.1137986425163,288.10180514218905,313.1858799394385,4184.0,49815.059
8.0,0.0009501650377785144,0.0020214229649889947,1603.0,-237.7037425254697,-26.423255992715234,1322.0,333.99012824020065,283.9809081574169,319.12175928636253,3729.0,56483.395
9.0,0.000904017953095077,0.001973835853883252,1700.0,-245.51964342987264,-27.292132112275997,1368.0,338.30070502153535,268.0002125586398,321.3620441408107,3996.0,64326.762
10.0,0.0009001317995157681,0.001966875923657943,1549.0,-243.17305615423908,-27.296761932601722,1397.0,336.70037368465256,261.1477697020039,321.2427885606772,3603.0,69856.989
