id,Year,Month,Day,Hour,Minute,Second,Pr_mm,Pet_mm,Temp_c
0,2015,6,1,21,0,0,0,0,0
1,2015,6,1,22,0,0,0,0.192132502,15.13793335
2,2015,6,1,23,0,0,0,0.233191837,15.90041504
3,2015,6,2,0,0,0,0,0.244137569,16.54857788
4,2015,6,2,1,0,0,0,0.225460113,17.03826294
5,2015,6,2,2,0,0,0,0.176559479,17.3361145
6,2015,6,2,3,0,0,0,0.100896345,17.42180786
7,2015,6,2,4,0,0,0.102310012,0.00446403,17.28951416
8,2015,6,2,5,0,0,0.600512896,0,16.94823608
9,2015,6,2,6,0,0,1.761395019,0,16.42125854
10,2015,6,2,7,0,0,0,0,15.74447021
11,2015,6,2,8,0,0,0,0,14.96401367
12,2015,6,2,9,0,0,0,0,14.13305054
13,2015,6,2,10,0,0,0,0,13.30822144
14,2015,6,2,11,0,0,0.343923253,0,12.54573975
15,2015,6,2,12,0,0,0.524465519,0,11.8975769
16,2015,6,2,13,0,0,0.311953685,0,11.40789185
17,2015,6,2,14,0,0,0.208515048,0,11.11004028
18,2015,6,2,15,0,0,0.459671079,0,11.02471313
19,2015,6,2,16,0,0,0,0,11.19628296
20,2015,6,2,17,0,0,0,0,11.63887939
21,2015,6,2,18,0,0,0,0,12.32229004
22,2015,6,2,19,0,0,0,0,13.2000061
23,2015,6,2,20,0,0,0,0.058004891,14.2121521
24,2015,6,2,21,0,0,0,0.176077345,15.28981934
25,2015,6,2,22,0,0,1.146025374,0.268885255,16.32381592
26,2015,6,2,23,0,0,2.873418853,0.328023656,17.32454834
27,2015,6,3,0,0,0,0.80208166,0.344813743,18.17528687
28,2015,6,3,1,0,0,0.297603139,0.31929955,18.81801758
29,2015,6,3,2,0,0,0,0.250463665,19.20891724
30,2015,6,3,3,0,0,0.925578934,0.14479176,19.32140503
31,2015,6,3,4,0,0,4.308331292,0.006387726,19.14776001
32,2015,6,3,5,0,0,0.432809698,0,18.69985352
33,2015,6,3,6,0,0,1.028016442,0,18.00820313
34,2015,6,3,7,0,0,3.057900118,0,17.11992798
35,2015,6,3,8,0,0,1.897585345,0,16.09554443
36,2015,6,3,9,0,0,0.199886475,0,15.00490723
37,2015,6,3,10,0,0,1.335704583,0,13.92232666
38,2015,6,3,11,0,0,1.885765581,0,12.92159424
39,2015,6,3,12,0,0,2.906446578,0,12.07085571
40,2015,6,3,13,0,0,0,0,11.428125
41,2015,6,3,14,0,0,0,0,11.03722534
42,2015,6,3,15,0,0,0,0,10.92424927
43,2015,6,3,16,0,0,0,0,11.04619751
44,2015,6,3,17,0,0,0,0,11.36080322
45,2015,6,3,18,0,0,0,0,11.84661255
46,2015,6,3,19,0,0,0,0,12.47051392
47,2015,6,3,20,0,0,0,0.035377743,13.19002686
48,2015,6,3,21,0,0,0,0.108703993,13.95604858
49,2015,6,3,22,0,0,0,0.163404053,14.14516602
50,2015,6,3,23,0,0,0,0.19942451,15.03869019
51,2015,6,4,0,0,0,0,0.24189004,15.79827271
52,2015,6,4,1,0,0,0,0.251327903,16.37212524
53,2015,6,4,2,0,0,0,0.208603509,16.72115479
54,2015,6,4,3,0,0,0,0.119981793,16.82158813
55,2015,6,4,4,0,0,0.994488946,0.002703738,16.66655884
56,2015,6,4,5,0,0,0.540275301,0,16.26662598
57,2015,6,4,6,0,0,0.338425598,0,15.64907227
58,2015,6,4,7,0,0,0,0,14.85598145
59,2015,6,4,8,0,0,0,0,13.94136963
60,2015,6,4,9,0,0,0,0,12.96758423
61,2015,6,4,10,0,0,0,0,12.00097046
62,2015,6,4,11,0,0,0,0,11.10744629
63,2015,6,4,12,0,0,0,0,10.34786377
64,2015,6,4,13,0,0,0,0,9.77401123
65,2015,6,4,14,0,0,0,0,9.424981689
66,2015,6,4,15,0,0,0,0,9.324243164
67,2015,6,4,16,0,0,0,0,9.448266602
68,2015,6,4,17,0,0,0,0,9.768212891
69,2015,6,4,18,0,0,0,0,10.26226196
70,2015,6,4,19,0,0,0.390511123,0,10.89675293
71,2015,6,4,20,0,0,0.289373158,0.03391648,11.62844238
72,2015,6,4,21,0,0,0.130412547,0.106463747,12.4074646
73,2015,6,4,22,0,0,0,0.160091586,12.46663818
74,2015,6,4,23,0,0,0,0.201180999,13.41973267
75,2015,6,5,0,0,0,0,0.253971462,14.22994385
76,2015,6,5,1,0,0,0,0.261160661,14.84206543
77,2015,6,5,2,0,0,0,0.215044231,15.21434937
78,2015,6,5,3,0,0,0,0.122627986,15.32149658
79,2015,6,5,4,0,0,0,0.000895567,15.15612183
80,2015,6,5,5,0,0,0,0,14.72954712
81,2015,6,5,6,0,0,0,0,14.07079468
82,2015,6,5,7,0,0,0,0,13.22481689
83,2015,6,5,8,0,0,0,0,12.24923096
84,2015,6,5,9,0,0,0,0,11.21053467
85,2015,6,5,10,0,0,0,0,10.17949829
86,2015,6,5,11,0,0,0,0,9.226403809
87,2015,6,5,12,0,0,0,0,8.416192627
88,2015,6,5,13,0,0,0,0,7.804071045
89,2015,6,5,14,0,0,0,0,7.431756592
90,2015,6,5,15,0,0,0,0,7.32467041
91,2015,6,5,16,0,0,0,0,7.492089844
92,2015,6,5,17,0,0,0,0,7.924005127
93,2015,6,5,18,0,0,0,0,8.590966797
94,2015,6,5,19,0,0,0,0,9.44753418
95,2015,6,5,20,0,0,0,0.04731449,10.43532715
