0,iZ,Z,θini,Layer
,1,25,0.424,1
,2,50,0.424,1
,3,100,0.424,1
,4,150,0.424,1
,5,200,0.424,2
,6,250,0.4107,2
,7,300,0.4107,2
,8,400,0.4107,2
,9,500,0.396,3
,10,600,0.396,3
,11,700,0.399,4
,12,800,0.399,4
,13,900,0.39,5
,14,1000,0.39,5
,15,1100,0.39,5
,16,1200,0.39,5
