0,iZ,Z,θini,Horizon
,1,25,0.3953,1
,2,50,0.3953,1
,3,100,0.3953,1
,4,150,0.3953,1
,5,200,0.3953,1
,6,250,0.3953,1
,7,300,0.386,2
,8,400,0.386,2
,9,500,0.386,2
,10,600,0.416,3
,11,700,0.416,3
,12,800,0.416,3
,13,900,0.421,4
,14,1000,0.421,4
,15,1100,0.421,4
,16,1200,0.421,4
