Year,Month,Day,θobs_Aver,θsim_Aver
2008.0,7.0,1.0,0.32200000762939457,0.29834951144393496
2008.0,7.0,2.0,0.32400001525878913,0.3057952055533983
2008.0,7.0,3.0,0.33700000762939447,0.31336448920239507
2008.0,7.0,4.0,0.3549999999999999,0.3221388399208918
2008.0,7.0,5.0,0.355,0.338441632181814
2008.0,7.0,6.0,0.34000000000000025,0.33998605919873504
2008.0,7.0,7.0,0.32599998474121117,0.33750828085907797
2008.0,7.0,8.0,0.325,0.3365731107430323
2008.0,7.0,9.0,0.31999999999999995,0.3346009797769602
2008.0,7.0,10.0,0.31499999999999995,0.3328358967869853
2008.0,7.0,11.0,0.31399999618530255,0.3310308942266994
2008.0,7.0,12.0,0.3459999847412114,0.3363142680787732
2008.0,7.0,13.0,0.33200000762939474,0.3384200751763651
2008.0,7.0,14.0,0.32299999237060534,0.3352917846238047
2008.0,7.0,15.0,0.31799999237060605,0.3332150986211539
2008.0,7.0,16.0,0.3139999961853022,0.33118648562143227
2008.0,7.0,17.0,0.3129999923706055,0.32945245120277705
2008.0,7.0,18.0,0.3150000000000002,0.3305947946090129
2008.0,7.0,19.0,0.34900001525878865,0.3313303002062517
2008.0,7.0,20.0,0.34499999999999986,0.34270248371539636
2008.0,7.0,21.0,0.335000000000001,0.34128278802384204
2008.0,7.0,22.0,0.3420000076293941,0.3382893917281823
2008.0,7.0,23.0,0.3629999923706059,0.3442803008577647
2008.0,7.0,24.0,0.3490000152587882,0.352693461120205
2008.0,7.0,25.0,0.33400001525879014,0.347503467353361
2008.0,7.0,26.0,0.3540000152587881,0.34418527287493633
2008.0,7.0,27.0,0.3549999999999999,0.3546520343245455
2008.0,7.0,28.0,0.3429999923706058,0.34977175404912914
2008.0,7.0,29.0,0.34299999237060547,0.3476306030579868
2008.0,7.0,30.0,0.39299999237060534,0.3622530782759285
2008.0,7.0,31.0,0.34799999237060586,0.3644645563582612
2008.0,8.0,1.0,0.33400001525878825,0.3527237354676634
2008.0,8.0,2.0,0.33200000762939486,0.3493616481969359
2008.0,8.0,3.0,0.3409999847412106,0.3470481408873967
2008.0,8.0,4.0,0.3559999847412121,0.3470364382797952
2008.0,8.0,5.0,0.3559999847412109,0.35282535853969854
2008.0,8.0,6.0,0.33700000762939497,0.3469387510150317
2008.0,8.0,7.0,0.32900001525878986,0.34264735171663724
2008.0,8.0,8.0,0.34299999237060474,0.3412632915116066
2008.0,8.0,9.0,0.34499999999999903,0.3466910466972473
2008.0,8.0,10.0,0.33299999237060607,0.3430646731675033
2008.0,8.0,11.0,0.3259999847412117,0.3394976428733518
2008.0,8.0,12.0,0.3250000000000001,0.33642504881490637
2008.0,8.0,13.0,0.32599998474121084,0.33876746441548083
2008.0,8.0,14.0,0.3250000000000001,0.33577365828064815
2008.0,8.0,15.0,0.3579999923706054,0.33892452234086684
2008.0,8.0,16.0,0.35700000762939466,0.34720687421239405
2008.0,8.0,17.0,0.3549999999999985,0.3455204803704197
2008.0,8.0,18.0,0.355,0.3465017379749275
2008.0,8.0,19.0,0.3579999923706069,0.3448690582826199
2008.0,8.0,20.0,0.3449999999999981,0.3456197943962404
2008.0,8.0,21.0,0.33499999999999974,0.34107205528191
2008.0,8.0,22.0,0.3279999923706036,0.3369665269635543
2008.0,8.0,23.0,0.32900001525879086,0.3341570806700511
2008.0,8.0,24.0,0.37599998474120966,0.3389871020542183
2008.0,8.0,25.0,0.36799999237060677,0.3543399125660916
2008.0,8.0,26.0,0.39599998474121056,0.35749615530790607
2008.0,8.0,27.0,0.35999999999999854,0.3636611246613191
2008.0,8.0,28.0,0.3429999923706062,0.3525630333854386
2008.0,8.0,29.0,0.3350000000000013,0.3475164356696039
2008.0,8.0,30.0,0.3320000076293928,0.3453437237417448
2008.0,8.0,31.0,0.3270000076293943,0.34123239629312435
2008.0,9.0,1.0,0.3220000076293943,0.33750196062487225
2008.0,9.0,2.0,0.3179999923706077,0.33421619158430277
2008.0,9.0,3.0,0.3139999961853008,0.33082755382425405
2008.0,9.0,4.0,0.31200000762939634,0.32880591572865225
2008.0,9.0,5.0,0.30999999999999894,0.3257431382368327
2008.0,9.0,6.0,0.31700000762939584,0.32820483141013507
2008.0,9.0,7.0,0.32400001525878885,0.33505049514760027
2008.0,9.0,8.0,0.32299999237060584,0.3315909841044487
2008.0,9.0,9.0,0.3259999847412103,0.33002089741498225
2008.0,9.0,10.0,0.33299999237060407,0.3344217744164712
2008.0,9.0,11.0,0.36599998474121076,0.3347058706574135
2008.0,9.0,12.0,0.3590000152587891,0.3436841676626146
2008.0,9.0,13.0,0.34499999999999886,0.34085047079775366
2008.0,9.0,14.0,0.3350000000000035,0.33567898023408627
2008.0,9.0,15.0,0.32799999237060273,0.3309471819646672
2008.0,9.0,16.0,0.32299999237060517,0.32712003970833964
2008.0,9.0,17.0,0.3170000076293944,0.3230672322066194
2008.0,9.0,18.0,0.31600000381470045,0.32035292462994436
2008.0,9.0,19.0,0.33099998474121073,0.3308716840186255
2008.0,9.0,20.0,0.3300000000000002,0.32897897324574055
2008.0,9.0,21.0,0.32400001525878896,0.3246522950044103
2008.0,9.0,22.0,0.3170000076293915,0.3193694607759271
2008.0,9.0,23.0,0.3100000000000016,0.31431001746836884
2008.0,9.0,24.0,0.3020000076293965,0.30962416224881345
2008.0,9.0,25.0,0.29700000762939416,0.30504403027640137
2008.0,9.0,26.0,0.29200000762939415,0.3022951478115328
2008.0,9.0,27.0,0.2910000038146959,0.2978650678042549
2008.0,9.0,28.0,0.2939999961853053,0.30512893221125853
2008.0,9.0,29.0,0.29100000381469465,0.3013949079639458
2008.0,9.0,30.0,0.28799999237060625,0.2977726306815137
2008.0,10.0,1.0,0.28700000762939476,0.29616130137873486
2008.0,10.0,2.0,0.2849999999999971,0.29842343660988996
2008.0,10.0,3.0,0.2810000038146983,0.29331292085471605
2008.0,10.0,4.0,0.2770000076293956,0.2882793793233544
2008.0,10.0,5.0,0.3509999847412084,0.3042857744883388
2008.0,10.0,6.0,0.34599998474121596,0.3356333615203691
2008.0,10.0,7.0,0.3790000152587867,0.33330442318599907
2008.0,10.0,8.0,0.367000007629396,0.3538962147636623
2008.0,10.0,9.0,0.37099998474120804,0.35237656745685514
2008.0,10.0,10.0,0.3559999847412094,0.350209910922926
2008.0,10.0,11.0,0.33900001525878865,0.34251413103960376
2008.0,10.0,12.0,0.3300000000000043,0.33586878787503716
2008.0,10.0,13.0,0.32400001525878885,0.3307350225391956
2008.0,10.0,14.0,0.31700000762939085,0.32681847365868444
2008.0,10.0,15.0,0.30899999618530327,0.32122445379509523
2008.0,10.0,16.0,0.30700000762939905,0.3168173216948559
2008.0,10.0,17.0,0.3179999923706003,0.32678758707719446
2008.0,10.0,18.0,0.32400001525879324,0.3236956634282546
2008.0,10.0,19.0,0.3379999923706034,0.33571501081303273
2008.0,10.0,20.0,0.3279999923706045,0.3303065187800027
2008.0,10.0,21.0,0.32299999237060495,0.3231033460077676
2008.0,10.0,22.0,0.32799999237060595,0.3286200945027282
2008.0,10.0,23.0,0.4000000000000048,0.34079046863706586
2008.0,10.0,24.0,0.369000015258786,0.35826822995130014
2008.0,10.0,25.0,0.3729999923706032,0.35328729528107317
2008.0,10.0,26.0,0.37500000000000255,0.35628728356897804
2008.0,10.0,27.0,0.3520000076293952,0.349249460288585
2008.0,10.0,28.0,0.33900001525878576,0.3412238658547329
2008.0,10.0,29.0,0.33200000762939563,0.3346056458642177
2008.0,10.0,30.0,0.32400001525879185,0.33232844942186335
2008.0,10.0,31.0,0.3139999961852995,0.32709377007958373
2008.0,11.0,1.0,0.3200000000000025,0.3215008104788325
2008.0,11.0,2.0,0.33000000000000107,0.33749952653176846
2008.0,11.0,3.0,0.3220000076293905,0.3318642806609256
2008.0,11.0,4.0,0.3150000000000025,0.3254332111216389
2008.0,11.0,5.0,0.31299999237060316,0.32310755924286366
2008.0,11.0,6.0,0.3379999923706065,0.3304799766271402
2008.0,11.0,7.0,0.3540000152587879,0.3365160583262325
2008.0,11.0,8.0,0.34200000762939653,0.3316551806397007
2008.0,11.0,9.0,0.3290000152587913,0.32496591667681846
2008.0,11.0,10.0,0.3229999923706004,0.31743173485611414
2008.0,11.0,11.0,0.31500000000000306,0.3149513092848222
2008.0,11.0,12.0,0.3079999923706028,0.30859746407120164
2008.0,11.0,13.0,0.30000000000000093,0.30333619929608513
2008.0,11.0,14.0,0.29399999618530215,0.2972860060425659
2008.0,11.0,15.0,0.28500000000000414,0.29350455100474965
2008.0,11.0,16.0,0.27700000762939214,0.2876128581277536
2008.0,11.0,17.0,0.27999999999999864,0.2817801750733819
2008.0,11.0,18.0,0.27700000762939586,0.28738489632155384
2008.0,11.0,19.0,0.2710000038146999,0.2821215849474071
2008.0,11.0,20.0,0.2649999999999997,0.2760456514614806
2008.0,11.0,21.0,0.25700000762939523,0.27279420412559874
2008.0,11.0,22.0,0.24499999999999678,0.2659151867722682
2008.0,11.0,23.0,0.23499999999999877,0.25727165950202374
2008.0,11.0,24.0,0.22700000762939765,0.2506184800688782
2008.0,11.0,25.0,0.23399999618530132,0.25494844887845275
2008.0,11.0,26.0,0.23000000000000165,0.2474679239840298
2008.0,11.0,27.0,0.2339999961853011,0.25155033426671897
2008.0,11.0,28.0,0.23000000000000165,0.2513778302885296
2008.0,11.0,29.0,0.2229999923706043,0.2460029208472726
2008.0,11.0,30.0,0.21399999618530385,0.2387567879920004
2008.0,12.0,1.0,0.22499999999999942,0.2324030957041238
2008.0,12.0,2.0,0.2370000076293921,0.25832625128899517
2008.0,12.0,3.0,0.22700000762939765,0.25436096967919325
2008.0,12.0,4.0,0.21499999999999786,0.2472068781913027
2008.0,12.0,5.0,0.20499999999999852,0.23813143537366208
2008.0,12.0,6.0,0.1960000038146983,0.23290306751209078
2008.0,12.0,7.0,0.1910000038146965,0.2300815013972338
2008.0,12.0,8.0,0.18600000381470094,0.22560280408535063
2008.0,12.0,9.0,0.2110000038146964,0.22396439694844883
2008.0,12.0,10.0,0.21999999999999886,0.24293384926157688
2008.0,12.0,11.0,0.2110000038146984,0.23840111547188061
2008.0,12.0,12.0,0.20399999618530162,0.23146189767391662
2008.0,12.0,13.0,0.20100000381469718,0.22672522922387728
2008.0,12.0,14.0,0.19299999237060628,0.22382917331709734
2008.0,12.0,15.0,0.18899999618529995,0.2178203355499731
2008.0,12.0,16.0,0.1829999923706065,0.21530814808587148
2008.0,12.0,17.0,0.18100000381469977,0.2156984287563894
2008.0,12.0,18.0,0.17700000762939172,0.21302237467781612
2008.0,12.0,19.0,0.17200000762939371,0.209091315727909
2008.0,12.0,20.0,0.16799999237060914,0.20520223870962576
2008.0,12.0,21.0,0.2070000076293912,0.21469100995061902
2008.0,12.0,22.0,0.21100000381470013,0.2392305373704843
2008.0,12.0,23.0,0.20499999999999652,0.23246601377024678
2008.0,12.0,24.0,0.22700000762939876,0.23592850871541254
2008.0,12.0,25.0,0.24200000762939178,0.24538959846021122
2008.0,12.0,26.0,0.23100000381469799,0.23997862882816193
2008.0,12.0,27.0,0.21899999618530552,0.23330135232474816
2008.0,12.0,28.0,0.20700000762939075,0.22531574138058683
2008.0,12.0,29.0,0.20100000381469862,0.218194951022252
2008.0,12.0,30.0,0.1970000076293965,0.21930050660528433
2008.0,12.0,31.0,0.18999999999999861,0.21574203535326245
2009.0,1.0,1.0,0.1820000076293935,0.20987077251491015
2009.0,1.0,2.0,0.1749999999999985,0.2050811884891751
2009.0,1.0,3.0,0.20000000000000462,0.20129136821294247
2009.0,1.0,4.0,0.19399999618529895,0.22298921084318615
2009.0,1.0,5.0,0.18700000762939628,0.21756556903894367
2009.0,1.0,6.0,0.17799999237060327,0.21200767566614448
2009.0,1.0,7.0,0.16799999237060903,0.20671042169346465
2009.0,1.0,8.0,0.15800000190734842,0.20164156830227012
2009.0,1.0,9.0,0.15199999809264764,0.19714262529375726
2009.0,1.0,10.0,0.16899999618530437,0.1943233695292659
2009.0,1.0,11.0,0.21299999237060518,0.23726616805817236
2009.0,1.0,12.0,0.2250000000000023,0.24435843401612586
2009.0,1.0,13.0,0.2199999999999992,0.24278810535123724
2009.0,1.0,14.0,0.2120000076293933,0.2376880482858969
