Layer,0.0cm,10.0cm,20.0cm,30.0cm,40.0cm,50.0cm,60.0cm,70.0cm,80.0cm,90.0cm,100.0cm,200.0cm,300.0cm,400.0cm,500.0cm,600.0cm,700.0cm,800.0cm,900.0cm,1000.0cm,2000.0cm,3000.0cm,4000.0cm,5000.0cm,6000.0cm,7000.0cm,8000.0cm,9000.0cm,10000.0cm,15000.0cm,20000.0cm,30000.0cm,100000.0cm
1.0,0.531,0.474894607654656,0.46936778695829606,0.4647088884285387,0.4605891425692322,0.4568640818916024,0.45344603825939545,0.45027632097445197,0.44731314335142586,0.44452540971192195,0.44188919006269756,0.42097156930769775,0.40569559689643075,0.3934619541768949,0.38318622500974175,0.3742945475676721,0.3664410722222375,0.3593991530559035,0.35301123700837495,0.34716287560669856,0.30597428902576107,0.28026368083291203,0.261634499748011,0.24710244006478715,0.23524551927536738,0.22527182848480867,0.21669436637001796,0.2091921526545282,0.20254247413643647,0.177650022463053,0.16083798588777654,0.13863574227078615,0.08520999417747915
2.0,0.422875,0.35982730718611694,0.3553035678745591,0.35140647887023263,0.3479301531627875,0.34477933235694425,0.3418900006522517,0.33921653708564203,0.33672509352609875,0.3343897389203299,0.33219008472138845,0.3151147029718823,0.3031370956315627,0.2938689754246393,0.28631167455985196,0.2799409666919572,0.27444435169182935,0.26961943516737186,0.2653271845717765,0.2614677795068453,0.23616779048481945,0.22201556427079666,0.2125329809264755,0.205580447076342,0.2001939821397708,0.19586104923231673,0.19227879239709783,0.18925452235690152,0.18665871681831606,0.17764742363217803,0.17219127896410744,0.16576697267596108,0.15402884773331815
3.0,0.26995,0.22088586398651525,0.2162457736828418,0.21218704764649696,0.20857241110768648,0.205315136155013,0.2023500071035834,0.19962805876172723,0.1971118802895028,0.19477228922880022,0.19258607287413962,0.1762288679609553,0.1654335497814481,0.15747317925548404,0.15123775842695808,0.1461604127487514,0.14191176145293308,0.13828345635102723,0.13513546604627302,0.13236927177931318,0.11576373350663041,0.10765944627785692,0.1027236628945708,0.09936588785015106,0.09692122121869162,0.09505695786783797,0.09358638777860226,0.09239596066220569,0.09141236252201837,0.08828367633175453,0.08661866271032463,0.0849022531439069,0.08257874335147682
4.0,0.1945,0.13924207221533746,0.13138372423900732,0.12453763142160162,0.11857436227167355,0.11333345838348671,0.10868065745065245,0.10451185551091435,0.10074674577475073,0.09732269200079369,0.09419012235418749,0.07278579965893613,0.060573638805557,0.05250878515644091,0.04673540048758224,0.042381238372110816,0.03897419238496397,0.03623366977977443,0.03398131056978024,0.03209782234050593,0.022660963851006424,0.019220829133628093,0.017506419881474503,0.01650854291578133,0.0158697985907543,0.015433529587896191,0.015121094716103673,0.014889081783873607,0.014711770047015552,0.014237575384684686,0.014043972568852545,0.013890993582315854,0.013771274903038451
