Month,Sign_Deficit_Obs,Sign_Max_Obs,Sign_Saturated_Obs,Sign_Senescence_Obs,Sign_Deficit_Sim,Sign_Max_Sim,Sign_Saturated_Sim,Sign_Senescence_Sim
1.0,0.002306107771298776,0.02995195674483025,0.0,0.0,0.02995195674483025,0.002306107771298776,0.0,0.0
2.0,0.0,0.035714285714285705,0.0,0.0,0.0,0.035714285714285705,0.0,0.0
3.0,0.0,0.032258064516129024,0.0,0.0,0.0,0.032258064516129024,0.0,0.0
4.0,0.0,0.01894306870322013,0.014390264630113203,0.0,0.0,0.025190369884619566,0.008142963448713764,0.0
5.0,0.0,0.03157178117203355,0.023983774383522005,0.0,0.0,0.05158392550498544,0.003971630050570114,0.0
6.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
7.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
8.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
9.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
10.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
11.0,0.0,0.0909090909090909,0.0,0.0,0.0,0.0909090909090909,0.0,0.0
12.0,0.032258064516129024,0.0,0.0,0.0,0.032258064516129024,0.0,0.0,0.0
