Horizon Cm/H,0.0cm,10.0cm,20.0cm,30.0cm,40.0cm,50.0cm,60.0cm,70.0cm,80.0cm,90.0cm,100.0cm,200.0cm,300.0cm,400.0cm,500.0cm,600.0cm,700.0cm,800.0cm,900.0cm,1000.0cm,2000.0cm,3000.0cm,4000.0cm,5000.0cm,6000.0cm,7000.0cm,8000.0cm,9000.0cm,10000.0cm,15000.0cm,20000.0cm,30000.0cm,100000.0cm
1.0,0.44310125365827674,0.1923860503636989,0.14227252020141345,0.1113341884866477,0.09027305504869518,0.07503638789965417,0.0635401027157691,0.05459234602760674,0.04745874432113007,0.04166099119917905,0.0368738542264278,0.014404334864108645,0.007391207623922891,0.004353284326153479,0.0027931923633947894,0.0019014141250922728,0.0013521593544167938,0.0009946040346694603,0.0007516274844057,0.0005807342048561078,8.907671961787634e-5,2.5687468981010957e-5,9.937647483995266e-6,4.575106395683588e-6,2.366116739894917e-6,1.3306565500172428e-6,7.974143956948277e-7,5.023457948406894e-7,3.295173823628521e-7,6.041687567066403e-8,1.68820146786058e-8,2.528521554368701e-9,4.43096835301641e-12
2.0,15.925888707962253,7.518283276487702,5.772739283568908,4.603744307290448,3.7728890400965813,3.1554602141093695,2.6811187903948053,2.3072259573091625,2.006416587870902,1.7603199243252092,1.5561493857526332,0.5916508357165305,0.2936640638921098,0.16746394939948975,0.10423811868458517,0.06897472830829567,0.0477659659794461,0.03427040115928952,0.025296971884489098,0.019115575947339255,0.002459528087830379,0.000624537541293443,0.00021829624641629247,9.228973401884485e-5,4.433041058355795e-5,2.3350658383942446e-5,1.3192225806834192e-5,7.876018494606226e-6,4.917172253690933e-6,7.36369723403965e-7,1.7614899878654197e-7,2.0842954873733966e-8,1.6153236766244105e-11
3.0,0.3205423089545006,0.15043294430108678,0.11429647815592058,0.091954442586594,0.07653776691398871,0.065196106570053,0.05648684271917551,0.049588107408641384,0.04399252639693404,0.039367980025443,0.035487094506047326,0.016061689979853896,0.009194050926910542,0.005917094041603492,0.00409344269400305,0.0029761436644847295,0.002244451302567757,0.0017410990968712919,0.0013813957725641566,0.001116411153245709,0.00023815556311413872,8.563241263713442e-5,3.923035163793255e-5,2.074007924086929e-5,1.2065759603357796e-5,7.5200639288378975e-6,4.938125362867541e-6,3.3785687528159404e-6,2.3896040176656756e-6,5.932216088124507e-7,2.0813893522589875e-7,4.3740511724633484e-8,2.369065059337213e-10
4.0,0.13520969355917323,0.041925100874695115,0.027207670209724914,0.020043475681963137,0.015732722456941947,0.012842959045624268,0.010771208951151941,0.00921551786442629,0.008006834240501597,0.007042776292219368,0.006257590008905812,0.002644211575829973,0.0014894020965429415,0.0009592700448423963,0.000668978945282511,0.0004920691496942942,0.0003761342836395254,0.0002960344288104672,0.00023841449501003068,0.00019562202424168803,4.8143622920079196e-5,1.9518028064877366e-5,9.903153189065133e-6,5.723695232719994e-6,3.6048843598673547e-6,2.4138810877019226e-6,1.6925834381559408e-6,1.230326545012671e-6,9.20600281905987e-7,2.893114685022247e-7,1.222402703858726e-7,3.4276489244337866e-8,5.262075705005386e-10
