iZ,Z,θini,Layer
1,23.75,0.5120000076293946,1
2,47.5,0.5120000076293946,1
3,71.25,0.5120000076293946,1
4,95.0,0.5120000076293946,1
5,120.0,0.47612029783251186,2
6,145.0,0.47612029783251186,2
7,170.0,0.47612029783251186,2
8,195.0,0.47612029783251186,2
9,220.0,0.47612029783251186,2
10,245.0,0.47612029783251186,2
11,270.0,0.47612029783251186,2
12,295.0,0.47612029783251186,2
13,320.0,0.47612029783251186,2
14,345.0,0.47612029783251186,2
15,417.22222222222223,0.10449841759059945,3
16,489.44444444444446,0.10449841759059945,3
17,561.6666666666667,0.10449841759059945,3
18,633.8888888888889,0.10449841759059945,3
19,706.1111111111111,0.10449841759059945,3
20,778.3333333333333,0.10449841759059945,3
21,850.5555555555554,0.10449841759059945,3
22,922.7777777777776,0.10449841759059945,3
23,994.9999999999998,0.10449841759059945,3
24,1067.1428571428569,0.5332999500277618,4
25,1139.285714285714,0.5332999500277618,4
26,1211.428571428571,0.5332999500277618,4
27,1283.5714285714282,0.5332999500277618,4
28,1355.7142857142853,0.5332999500277618,4
29,1427.8571428571424,0.5332999500277618,4
30,1499.9999999999995,0.5332999500277618,4
