Id,WofBest,RmseBest,Efficiency,Global_WaterBalance,Global_WaterBalance_NormPr,ΔT_Average,∑∑ΔSink,∑ΔQ_Bot,SwcRoots,iNonConverge,ΔRunTimeHypix
1.0,0.0019771695476034005,0.03574301963326908,153.0,0.03349871087493739,0.009117557426999656,2726.0,339.58316491286405,14.107582678676872,324.707313348028,1.0,1958.778
2.0,0.0016001461224946693,0.031548218825938494,114.0,0.038194996305435325,0.010395775334130589,3347.0,378.2768681742207,13.324658189228957,319.3036085312605,14.0,6936.622
3.0,0.001573787641270777,0.029735754155015396,81.0,0.040923716971917656,0.011138468611844367,3373.0,377.86538985994406,6.746297033619571,334.33653557112024,0.0,8490.75
4.0,0.0013885160380019202,0.030306908012388088,123.0,0.017166332214742397,0.00467226993788491,2814.0,366.39211704679303,7.924650732630523,338.71675530336535,0.0,14738.977
5.0,0.0013885160380019202,0.030306908012388088,123.0,0.017166332214742397,0.00467226993788491,2814.0,366.39211704679303,7.924650732630523,338.71675530336535,0.0,16520.702
6.0,0.0013885160380019202,0.030306908012388088,123.0,0.017166332214742397,0.00467226993788491,2814.0,366.39211704679303,7.924650732630523,338.71675530336535,0.0,18055.754
7.0,0.0012371195742506343,0.02798632886869865,124.0,0.01598159234998775,0.004349811745589571,2795.0,363.96631969834834,7.550696570259482,341.78772433870654,0.0,19498.237
8.0,0.0009996629787459477,0.026569431752724273,222.0,0.016508912990673252,0.004493335961844986,2396.0,375.5591862279545,8.83122029299088,333.7958834199512,164.0,21383.34
9.0,0.0009996629787459477,0.026569431752724273,222.0,0.016508912990673252,0.004493335961844986,2396.0,375.5591862279545,8.83122029299088,333.7958834199512,164.0,23633.257
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
