,TYPE,NAME,HORIZON,MIN,MAX,LogTransform,SIM_1,SIM_2,SIM_3,SIM_4,SIM_5,SIM_6,SIM_7,SIM_8,SIM_9,SIM_10,OPT_1,OPT_2,OPT_3,OPT_4,OPT_5,OPT_6,OPT_7,OPT_8,OPT_9,OPT_10,SIM_100,SIM_101,OPT_100,OPT_101
Param,veg,Zroot,1,600,1000,0,800,800,800,800,800,800,800,800,800,800,0,0,0,0,0,0,0,0,0,0,800,800,0,0
Param,veg,ΔRdf_Top,1,0.7,0.9,0,0.897509579,0.897509579,0.897509579,0.897509579,0.897509579,0.897509579,0.897509579,0.897509579,0.897509579,0.897509579,0,0,0,0,0,0,0,0,0,0,0.897509579,0.897509579,0,0
Param,veg,Zroot_Top,1,300,300,0,300,300,300,300,300,300,300,300,300,300,0,0,0,0,0,0,0,0,0,0,300,300,0,0
Param,veg,Lai,1,1,6,0,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0
Param,veg,Lai_Min,1,0.1,3,0,2.974843987,2.974843987,2.974843987,2.974843987,2.974843987,2.974843987,2.974843987,2.974843987,2.974843987,2.974843987,0,0,0,0,0,0,0,0,0,1,2.974843987,2.974843987,0,0
Param,veg,Lai_Max,1,3,6,0,4.458885368,4.458885368,4.458885368,4.458885368,4.458885368,4.458885368,4.458885368,4.458885368,4.458885368,4.458885368,0,0,0,0,0,0,0,0,0,1,4.458885368,4.458885368,0,0
Param,veg,CropCoeficient,1,0.85,1.05,0,0.86572077,0.86572077,0.86572077,0.86572077,0.86572077,0.86572077,0.86572077,0.86572077,0.86572077,0.86572077,0,0,0,0,0,0,0,0,0,0,0.86572077,0.86572077,0,0
Param,veg,CropCoeficient_Min,1,0.75,0.8,0,0.772547693,0.772547693,0.772547693,0.772547693,0.772547693,0.772547693,0.772547693,0.772547693,0.772547693,0.772547693,0,0,0,0,0,0,0,0,0,1,0.772547693,0.772547693,0,0
Param,veg,CropCoeficient_Max,1,0.8,1.5,0,0.830445647,0.830445647,0.830445647,0.830445647,0.830445647,0.830445647,0.830445647,0.830445647,0.830445647,0.830445647,0,0,0,0,0,0,0,0,0,1,0.830445647,0.830445647,0,0
Param,veg,ExtinctCoefRadiation,1,0.01,1,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0
Param,veg,Ψfeddes1,1,0.01,150000,0,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,100,100,0,0
Param,veg,Ψfeddes2,1,0.01,150000,0,250,250,250,250,250,250,250,250,250,250,0,0,0,0,0,0,0,0,0,0,250,250,0,0
Param,veg,Ψfeddes3,1,0.01,150000,0,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,0,0,0,0,0,0,0,0,0,0,5000,5000,0,0
Param,veg,Ψfeddes4,1,0.01,150000,0,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,0,0,0,0,0,0,0,0,0,0,80000,80000,0,0
Param,veg,RootWaterUptakeComp,1,0.01,1,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0
Param,veg,Zevapo,1,0.01,300,0,300,300,300,300,300,300,300,300,300,300,0,0,0,0,0,0,0,0,0,0,300,300,0,0
Param,veg,Sint_Lai,1,0.01,1,0,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,0,0,0,0,0,0,0,0,0,0,1.6,1.6,0,0
Param,veg,Sint_Sat,1,0.5,2,0,1.812567426,1.812567426,1.812567426,1.812567426,1.812567426,1.812567426,1.812567426,1.812567426,1.812567426,1.812567426,0,0,0,0,0,0,0,0,0,1,1.812567426,1.812567426,0,0
Vector,hydro,θs,1,0.457,0.6,0,0.516058948,0.516058948,0.516058948,0.516058948,0.516058948,0.516058948,0.516058948,0.516058948,0.516058948,0.575660522,1,1,0,1,0,0,0,0,0,0,0.575660522,0.562562533,0,0
Vector,hydro,θs,2,0.5308,0.6,0,0.55233703,0.55233703,0.55233703,0.55233703,0.55233703,0.55233703,0.55233703,0.55233703,0.55233703,0.521456309,1,1,0,0,1,1,0,0,0,0,0.521456309,0.536035705,0,0
Vector,hydro,θs,3,0.481,0.6,0,0.55233703,0.55233703,0.55233703,0.55233703,0.55233703,0.55233703,0.55233703,0.55233703,0.55233703,0.57140289,1,1,0,0,1,0,1,0,0,0,0.57140289,0.536035705,0,0
Vector,hydro,θs,4,0.481,0.6,0,0.525024018,0.525024018,0.525024018,0.525024018,0.525024018,0.525024018,0.525024018,0.525024018,0.525024018,0.520320869,1,0,1,0,0,0,0,1,0,0,0.520320869,0.562562533,0,0
Vector,hydro,θs,5,0.519,0.6,0,0.516295794,0.516295794,0.516295794,0.516295794,0.516295794,0.516295794,0.516295794,0.516295794,0.516295794,0.571872957,1,0,1,0,0,0,0,0,1,0,0.571872957,0.562562533,0,0
Vector,hydro,θr,1,0,0.2,0,0.001298499,0.001298499,0.001298499,0.001298499,0.001298499,0.001298499,0.001298499,0.001298499,0.001298499,0.047641637,0,0,0,0,0,0,0,0,0,0,0.047641637,0.06220024,0,0
Vector,hydro,θr,2,0,0.2,0,0.014198691,0.014198691,0.014198691,0.014198691,0.014198691,0.014198691,0.014198691,0.014198691,0.014198691,0.078270186,0,0,0,0,0,0,0,0,0,0,0.078270186,0.089490224,0,0
Vector,hydro,θr,3,0,0.2,0,0.014198691,0.014198691,0.014198691,0.014198691,0.014198691,0.014198691,0.014198691,0.014198691,0.014198691,0.108489464,0,0,0,0,0,0,0,0,0,0,0.108489464,0.089490224,0,0
Vector,hydro,θr,4,0,0.2,0,0.069092319,0.069092319,0.069092319,0.069092319,0.069092319,0.069092319,0.069092319,0.069092319,0.069092319,0.144005939,0,0,0,0,0,0,0,0,0,0,0.144005939,0.06220024,0,0
Vector,hydro,θr,5,0,0.2,0,0.197372986,0.197372986,0.197372986,0.197372986,0.197372986,0.197372986,0.197372986,0.197372986,0.197372986,0.103159342,0,0,0,0,0,0,0,0,0,0,0.103159342,0.06220024,0,0
Vector,hydro,Ks,1,5.50E-05,0.08,1,0.121202873,0.121202873,0.121202873,0.121202873,0.121202873,0.121202873,0.121202873,0.121202873,0.121202873,0.052402868,1,1,0,1,0,0,0,0,0,0,0.052402868,0.000914774,0,0
Vector,hydro,Ks,2,5.50E-05,0.08,1,0.386307602,0.386307602,0.386307602,0.386307602,0.386307602,0.386307602,0.386307602,0.386307602,0.386307602,0.040389248,1,1,0,0,1,1,0,0,0,0,0.040389248,0.024572031,0,0
Vector,hydro,Ks,3,5.50E-05,0.08,1,0.386307602,0.386307602,0.386307602,0.386307602,0.386307602,0.386307602,0.386307602,0.386307602,0.386307602,0.051359831,1,1,0,0,1,0,1,0,0,0,0.051359831,0.024572031,0,0
Vector,hydro,Ks,4,5.50E-05,0.08,1,3.76E-04,3.76E-04,3.76E-04,3.76E-04,3.76E-04,3.76E-04,3.76E-04,3.76E-04,3.76E-04,0.017424733,1,0,1,0,0,0,0,1,0,0,0.017424733,0.000914774,0,0
