0,iZ,Z,θini,Layer
,1,25,0.441,1
,2,50,0.441,1
,3,100,0.441,1
,4,150,0.441,1
,5,200,0.4317,2
,6,250,0.4317,2
,7,300,0.4317,2
,8,400,0.427,3
,9,500,0.427,3
,10,600,0.435,4
,11,700,0.435,4
,12,800,0.474,5
,13,900,0.474,5
,14,1000,0.474,5
,15,1100,0.474,5
,16,1200,0.474,5
