,TYPE,NAME,HORIZON,MIN,MAX,LogTransform,SIM_1,SIM_2,SIM_3,SIM_4,SIM_5,SIM_6,SIM_7,SIM_8,OPT_1,OPT_2,OPT_3,OPT_4,OPT_5,OPT_6,OPT_7,OPT_8,SIM_100,SIM_101,OPT_100,OPT_101
Vector,hydro,θs,1,0.444,0.7,0,0.4775,0.4775,0.4775,0.4775,0.4775,0.4775,0.4775,0.4775,1,1,0,1,0,0,0,0,0.4775,0.579605743,0,0
Vector,hydro,θs,2,0.5825,0.7,0,0.52864,0.52864,0.52864,0.52864,0.52864,0.52864,0.52864,0.52864,1,1,0,0,1,0,0,0,0.52864,0.579605743,0,0
Vector,hydro,θs,3,0.644,0.7,0,0.450904,0.450904,0.450904,0.450904,0.450904,0.450904,0.450904,0.450904,1,0,1,0,0,1,0,0,0.450904,0.482196343,0,0
Vector,hydro,θs,4,0.565,0.7,0,0.46585,0.46585,0.46585,0.46585,0.46585,0.46585,0.46585,0.46585,1,0,1,0,0,0,1,0,0.46585,0.599104525,0,0
Vector,hydro,θr,1,0,0.2,0,0.12805,0.12805,0.12805,0.12805,0.12805,0.12805,0.12805,0.12805,0,0,0,0,0,0,0,0,0.12805,0.107599612,0,0
Vector,hydro,θr,2,0,0.2,0,0.14745,0.14745,0.14745,0.14745,0.14745,0.14745,0.14745,0.14745,0,0,0,0,0,0,0,0,0.14745,0.107599612,0,0
Vector,hydro,θr,3,0,0.2,0,0.172975,0.172975,0.172975,0.172975,0.172975,0.172975,0.172975,0.172975,0,0,0,0,0,0,0,0,0.172975,0.039925035,0,0
Vector,hydro,θr,4,0,0.2,0,0.177772,0.177772,0.177772,0.177772,0.177772,0.177772,0.177772,0.177772,0,0,0,0,0,0,0,0,0.177772,0.200642024,0,0
Vector,hydro,Ks,1,1.00E-05,0.08,1,0.000825,0.000825,0.000825,0.000825,0.000825,0.000825,0.000825,0.000825,1,1,0,1,0,0,0,0,0.000825,0.646361277,0,0
Vector,hydro,Ks,2,1.00E-05,0.08,1,0.006344,0.006344,0.006344,0.006344,0.006344,0.006344,0.006344,0.006344,1,1,0,0,1,0,0,0,0.006344,0.646361277,0,0
Vector,hydro,Ks,3,1.00E-05,0.08,1,0.000231,0.000231,0.000231,0.000231,0.000231,0.000231,0.000231,0.000231,1,0,1,0,0,1,0,0,0.000231,0.780291512,0,0
Vector,hydro,Ks,4,1.00E-05,0.08,1,0.000292,0.000292,0.000292,0.000292,0.000292,0.000292,0.000292,0.000292,1,0,1,0,0,0,1,0,0.000292,0.054686803,0,0
Vector,hydro,Ψm,1,7.389056099,7.20E+09,0,22724.21732,22724.21732,22724.21732,22724.21732,22724.21732,22724.21732,22724.21732,22724.21732,1,1,0,1,0,0,0,0,22724.21732,47010.19243,0,0
Vector,hydro,Ψm,2,7.389056099,7.20E+09,0,30327.41873,30327.41873,30327.41873,30327.41873,30327.41873,30327.41873,30327.41873,30327.41873,1,1,0,0,1,0,0,0,30327.41873,47010.19243,0,0
Vector,hydro,Ψm,3,7.389056099,7.20E+09,0,105296.4426,105296.4426,105296.4426,105296.4426,105296.4426,105296.4426,105296.4426,105296.4426,1,0,1,0,0,1,0,0,105296.4426,147060.2891,0,0
