0,iZ,Z,θini,Horizon
,1,25,0.422,1
,2,50,0.422,1
,3,100,0.422,1
,4,150,0.422,1
,5,200,0.422,1
,6,250,0.3843,2
,7,300,0.3843,2
,8,400,0.3843,2
,9,500,0.479,3
,10,600,0.479,3
,11,700,0.525,4
,12,800,0.525,4
,13,900,0.54,5
,14,1000,0.54,5
,15,1100,0.54,5
,16,1200,0.54,5
