Comments,pit,loc,depth,depth.class,Id,H[mm],Theta
Mass at 1 kPa not taken - sorry.,1,Dist,85,80,PP18-0606,1000,46.666937
Mass at 1 kPa not taken - sorry.,1,Dist,85,80,PP18-0606,150000,30.86971556
NA,1,Prox,15,15,PP18-0607,0,53.77817481
NA,1,Prox,15,15,PP18-0607,10,50.67982503
NA,1,Prox,15,15,PP18-0607,40,50.38700768
NA,1,Prox,15,15,PP18-0607,70,50.21095798
NA,1,Prox,15,15,PP18-0607,100,50.10496888
NA,1,Prox,15,15,PP18-0607,500,48.49537164
NA,1,Prox,15,15,PP18-0607,1000,46.59295705
NA,1,Prox,15,15,PP18-0607,150000,16.49025522
NA,1,Prox,30,30,PP18-0608,0,49.5867149
NA,1,Prox,30,30,PP18-0608,10,44.06142366
NA,1,Prox,30,30,PP18-0608,40,43.65114882
NA,1,Prox,30,30,PP18-0608,70,43.35659252
NA,1,Prox,30,30,PP18-0608,100,43.00242365
NA,1,Prox,30,30,PP18-0608,500,40.3829766
NA,1,Prox,30,30,PP18-0608,1000,39.17845176
NA,1,Prox,30,30,PP18-0608,150000,16.90493854
NA,1,Prox,45,45,PP18-0609,0,50.24722651
NA,1,Prox,45,45,PP18-0609,10,44.46837312
NA,1,Prox,45,45,PP18-0609,40,44.13263267
NA,1,Prox,45,45,PP18-0609,70,43.87208408
NA,1,Prox,45,45,PP18-0609,100,43.5101139
NA,1,Prox,45,45,PP18-0609,500,41.34004147
NA,1,Prox,45,45,PP18-0609,1000,40.22090662
NA,1,Prox,45,45,PP18-0609,150000,21.13890958
NA,1,Prox,60,60,PP18-0610,0,51.35229446
NA,1,Prox,60,60,PP18-0610,10,47.98078962
NA,1,Prox,60,60,PP18-0610,40,47.4482418
NA,1,Prox,60,60,PP18-0610,70,47.2024505
NA,1,Prox,60,60,PP18-0610,100,47.07370267
NA,1,Prox,60,60,PP18-0610,500,45.26362532
NA,1,Prox,60,60,PP18-0610,1000,44.5525862
NA,1,Prox,60,60,PP18-0610,150000,26.09133425
NA,1,Prox,85,80,PP18-0611,0,49.77915641
NA,1,Prox,85,80,PP18-0611,10,47.49144347
NA,1,Prox,85,80,PP18-0611,40,47.15920031
NA,1,Prox,85,80,PP18-0611,70,47.14171383
NA,1,Prox,85,80,PP18-0611,100,46.91438956
NA,1,Prox,85,80,PP18-0611,500,46.91613821
NA,1,Prox,85,80,PP18-0611,1000,46.72203826
NA,1,Prox,85,80,PP18-0611,150000,29.91765311
NA,2,Dist,15,15,PP18-0612,0,55.51440358
NA,2,Dist,15,15,PP18-0612,10,51.87318454
NA,2,Dist,15,15,PP18-0612,40,51.15804564
NA,2,Dist,15,15,PP18-0612,70,50.89640946
NA,2,Dist,15,15,PP18-0612,100,50.59988845
NA,2,Dist,15,15,PP18-0612,500,48.40040027
NA,2,Dist,15,15,PP18-0612,1000,46.39277863
NA,2,Dist,15,15,PP18-0612,150000,18.90778556
NA,2,Dist,30,30,PP18-0613,0,49.21874162
NA,2,Dist,30,30,PP18-0613,10,43.7535381
NA,2,Dist,30,30,PP18-0613,40,43.4136104
NA,2,Dist,30,30,PP18-0613,70,43.27048295
NA,2,Dist,30,30,PP18-0613,100,43.00211898
NA,2,Dist,30,30,PP18-0613,500,40.755018
NA,2,Dist,30,30,PP18-0613,1000,39.82111139
NA,2,Dist,30,30,PP18-0613,150000,25.33002522
NA,2,Dist,45,45,PP18-0614,0,48.37225625
NA,2,Dist,45,45,PP18-0614,10,46.61496108
NA,2,Dist,45,45,PP18-0614,40,43.41920524
NA,2,Dist,45,45,PP18-0614,70,42.53678213
NA,2,Dist,45,45,PP18-0614,100,41.97272344
NA,2,Dist,45,45,PP18-0614,500,39.31334243
NA,2,Dist,45,45,PP18-0614,1000,38.64546925
NA,2,Dist,45,45,PP18-0614,150000,29.22994372
NA,2,Dist,60,60,PP18-0615,0,48.83060804
NA,2,Dist,60,60,PP18-0615,10,44.4749995
NA,2,Dist,60,60,PP18-0615,40,43.92694382
NA,2,Dist,60,60,PP18-0615,70,43.49795454
NA,2,Dist,60,60,PP18-0615,100,42.95164983
NA,2,Dist,60,60,PP18-0615,500,41.16915561
NA,2,Dist,60,60,PP18-0615,1000,40.47226691
NA,2,Dist,60,60,PP18-0615,150000,30.16638286
NA,2,Dist,75,80,PP18-0616,0,45.86335674
NA,2,Dist,75,80,PP18-0616,10,43.48065753
NA,2,Dist,75,80,PP18-0616,40,42.70703513
NA,2,Dist,75,80,PP18-0616,70,42.59352394
NA,2,Dist,75,80,PP18-0616,100,42.3892038
NA,2,Dist,75,80,PP18-0616,500,41.73782421
NA,2,Dist,75,80,PP18-0616,1000,41.40427595
NA,2,Dist,75,80,PP18-0616,150000,32.33780738
NA,2,Dist,67,67,PP18-0617,0,47.08055777
NA,2,Dist,67,67,PP18-0617,10,43.89856371
NA,2,Dist,67,67,PP18-0617,40,43.18583555
NA,2,Dist,67,67,PP18-0617,70,43.05576266
NA,2,Dist,67,67,PP18-0617,100,42.9541989
NA,2,Dist,67,67,PP18-0617,500,42.20048887
NA,2,Dist,67,67,PP18-0617,1000,41.66237911
NA,2,Dist,67,67,PP18-0617,150000,31.4281064
NA,2,Dist,90,90,PP18-0618,0,45.01389537
NA,2,Dist,90,90,PP18-0618,10,41.62594293
NA,2,Dist,90,90,PP18-0618,40,41.11819598
NA,2,Dist,90,90,PP18-0618,70,41.0486416
NA,2,Dist,90,90,PP18-0618,100,40.9547432
NA,2,Dist,90,90,PP18-0618,500,40.90083855
NA,2,Dist,90,90,PP18-0618,1000,40.80346243
NA,2,Dist,90,90,PP18-0618,150000,25.9865556
NA,2,Prox,15,15,PP18-0619,0,53.24775793
NA,2,Prox,15,15,PP18-0619,10,51.06262647
NA,2,Prox,15,15,PP18-0619,40,50.63796848
NA,2,Prox,15,15,PP18-0619,70,50.09971885
NA,2,Prox,15,15,PP18-0619,100,49.66457548
NA,2,Prox,15,15,PP18-0619,500,47.27565587
NA,2,Prox,15,15,PP18-0619,1000,45.69236313
NA,2,Prox,15,15,PP18-0619,150000,20.75571878
NA,2,Prox,30,30,PP18-0620,0,50.39805057
NA,2,Prox,30,30,PP18-0620,10,45.43600068
NA,2,Prox,30,30,PP18-0620,40,44.91963213
NA,2,Prox,30,30,PP18-0620,70,44.27329326
NA,2,Prox,30,30,PP18-0620,100,43.98876365
NA,2,Prox,30,30,PP18-0620,500,40.90284682
NA,2,Prox,30,30,PP18-0620,1000,39.92455673
NA,2,Prox,30,30,PP18-0620,150000,24.38137391
NA,2,Prox,45,45,PP18-0621,0,50.27719654
NA,2,Prox,45,45,PP18-0621,10,45.91097127
NA,2,Prox,45,45,PP18-0621,40,44.60303867
NA,2,Prox,45,45,PP18-0621,70,44.12886903
NA,2,Prox,45,45,PP18-0621,100,43.71110619
NA,2,Prox,45,45,PP18-0621,500,41.20452915
NA,2,Prox,45,45,PP18-0621,1000,40.34256278
NA,2,Prox,45,45,PP18-0621,150000,26.45067705
NA,2,Prox,60,60,PP18-0622,0,50.48837488
NA,2,Prox,60,60,PP18-0622,10,45.18390646
NA,2,Prox,60,60,PP18-0622,40,44.60128198
NA,2,Prox,60,60,PP18-0622,70,44.28666476
NA,2,Prox,60,60,PP18-0622,100,43.91378509
NA,2,Prox,60,60,PP18-0622,500,41.95966258
NA,2,Prox,60,60,PP18-0622,1000,41.22205999
NA,2,Prox,60,60,PP18-0622,150000,28.59858921
NA,2,Prox,75,80,PP18-0623,0,45.30438973
NA,2,Prox,75,80,PP18-0623,10,42.04729303
NA,2,Prox,75,80,PP18-0623,40,41.83437856
NA,2,Prox,75,80,PP18-0623,70,41.6746927
NA,2,Prox,75,80,PP18-0623,100,41.60372121
NA,2,Prox,75,80,PP18-0623,500,41.19740942
NA,2,Prox,75,80,PP18-0623,1000,41.0182064
NA,2,Prox,75,80,PP18-0623,150000,28.65520466
NA,2,Prox,67,67,PP18-0624,0,47.63295299
NA,2,Prox,67,67,PP18-0624,10,43.34400112
NA,2,Prox,67,67,PP18-0624,40,43.01087198
NA,2,Prox,67,67,PP18-0624,70,42.66020972
NA,2,Prox,67,67,PP18-0624,100,42.50241171
NA,2,Prox,67,67,PP18-0624,500,41.96940508
NA,2,Prox,67,67,PP18-0624,1000,41.62575607
NA,2,Prox,67,67,PP18-0624,150000,26.32006024
Note 1: K-100 too slow for measurement,2,Prox,90,90,PP18-0625,0,46.49416588
Note 1: K-100 too slow for measurement,2,Prox,90,90,PP18-0625,10,41.9013109
Note 1: K-100 too slow for measurement,2,Prox,90,90,PP18-0625,40,41.76144385
Note 1: K-100 too slow for measurement,2,Prox,90,90,PP18-0625,70,41.42925958
Note 1: K-100 too slow for measurement,2,Prox,90,90,PP18-0625,100,NA
Note 1: K-100 too slow for measurement,2,Prox,90,90,PP18-0625,500,40.71069258
Note 1: K-100 too slow for measurement,2,Prox,90,90,PP18-0625,1000,40.60404394
Note 1: K-100 too slow for measurement,2,Prox,90,90,PP18-0625,150000,22.65959878
NA,3,Dist,15,15,PP18-0641,0,54.01075813
NA,3,Dist,15,15,PP18-0641,10,51.28531763
NA,3,Dist,15,15,PP18-0641,40,50.93711421
NA,3,Dist,15,15,PP18-0641,70,50.7603612
NA,3,Dist,15,15,PP18-0641,100,50.41392531
NA,3,Dist,15,15,PP18-0641,500,48.29465675
NA,3,Dist,15,15,PP18-0641,1000,46.54303445
NA,3,Dist,15,15,PP18-0641,150000,21.41632901
NA,3,Dist,30,30,PP18-0642,0,48.91458338
NA,3,Dist,30,30,PP18-0642,10,44.06236243
NA,3,Dist,30,30,PP18-0642,40,43.58242863
NA,3,Dist,30,30,PP18-0642,70,43.32751874
NA,3,Dist,30,30,PP18-0642,100,43.14820281
NA,3,Dist,30,30,PP18-0642,500,40.9964117
NA,3,Dist,30,30,PP18-0642,1000,40.0295121
NA,3,Dist,30,30,PP18-0642,150000,23.55594251
NA,3,Dist,45,45,PP18-0643,0,46.38767318
NA,3,Dist,45,45,PP18-0643,10,42.77291031
NA,3,Dist,45,45,PP18-0643,40,42.35023706
NA,3,Dist,45,45,PP18-0643,70,42.27196424
NA,3,Dist,45,45,PP18-0643,100,42.20760658
NA,3,Dist,45,45,PP18-0643,500,41.67361198
NA,3,Dist,45,45,PP18-0643,1000,41.28224785
NA,3,Dist,45,45,PP18-0643,150000,26.64923116
Note 2: 2 mm gap around 1/2 core. Cause of K-10 v. high?,3,Dist,60,60,PP18-0644,0,54.43236933
Note 2: 2 mm gap around 1/2 core. Cause of K-10 v. high?,3,Dist,60,60,PP18-0644,10,45.22297585
Note 2: 2 mm gap around 1/2 core. Cause of K-10 v. high?,3,Dist,60,60,PP18-0644,40,43.74553223
Note 2: 2 mm gap around 1/2 core. Cause of K-10 v. high?,3,Dist,60,60,PP18-0644,70,43.05429967
Note 2: 2 mm gap around 1/2 core. Cause of K-10 v. high?,3,Dist,60,60,PP18-0644,100,42.67262674
Note 2: 2 mm gap around 1/2 core. Cause of K-10 v. high?,3,Dist,60,60,PP18-0644,500,42.05526636
Note 2: 2 mm gap around 1/2 core. Cause of K-10 v. high?,3,Dist,60,60,PP18-0644,1000,41.615551
Note 2: 2 mm gap around 1/2 core. Cause of K-10 v. high?,3,Dist,60,60,PP18-0644,150000,24.70261514
NA,3,Dist,75,80,PP18-0645,0,56.75037154
NA,3,Dist,75,80,PP18-0645,10,52.08514809
NA,3,Dist,75,80,PP18-0645,40,51.92395092
NA,3,Dist,75,80,PP18-0645,70,51.81882233
NA,3,Dist,75,80,PP18-0645,100,51.68916373
