sample_id,pit,loc,depth,depth.class,Id,Diameter[mm],Cumul_Psd
1808-86,5,Dist,60,60,PP18-0664,0.25,1
1808-86,5,Dist,60,60,PP18-0664,0.5,1
1808-86,5,Dist,60,60,PP18-0664,1,1
1808-86,5,Dist,60,60,PP18-0664,2,1
1808-88,5,Dist,85,80,PP18-0665,0.002,0.41
1808-88,5,Dist,85,80,PP18-0665,0.006,0.48
1808-88,5,Dist,85,80,PP18-0665,0.01,0.54
1808-88,5,Dist,85,80,PP18-0665,0.02,0.69
1808-88,5,Dist,85,80,PP18-0665,0.063,0.96
1808-88,5,Dist,85,80,PP18-0665,0.125,1
1808-88,5,Dist,85,80,PP18-0665,0.25,1
1808-88,5,Dist,85,80,PP18-0665,0.5,1
1808-88,5,Dist,85,80,PP18-0665,1,1
1808-88,5,Dist,85,80,PP18-0665,2,1
1808-01,7,Dist,15,15,PP18-0666,0.002,0.28
1808-01,7,Dist,15,15,PP18-0666,0.006,0.36
1808-01,7,Dist,15,15,PP18-0666,0.01,0.42
1808-01,7,Dist,15,15,PP18-0666,0.02,0.56
1808-01,7,Dist,15,15,PP18-0666,0.063,0.9
1808-01,7,Dist,15,15,PP18-0666,0.125,0.96
1808-01,7,Dist,15,15,PP18-0666,0.25,0.98
1808-01,7,Dist,15,15,PP18-0666,0.5,0.99
1808-01,7,Dist,15,15,PP18-0666,1,1
1808-01,7,Dist,15,15,PP18-0666,2,1
1808-03,7,Dist,45,45,PP18-0667,0.002,0.3
1808-03,7,Dist,45,45,PP18-0667,0.006,0.38
1808-03,7,Dist,45,45,PP18-0667,0.01,0.43
1808-03,7,Dist,45,45,PP18-0667,0.02,0.55
1808-03,7,Dist,45,45,PP18-0667,0.063,0.89
1808-03,7,Dist,45,45,PP18-0667,0.125,0.97
1808-03,7,Dist,45,45,PP18-0667,0.25,0.99
1808-03,7,Dist,45,45,PP18-0667,0.5,0.99
1808-03,7,Dist,45,45,PP18-0667,1,1
1808-03,7,Dist,45,45,PP18-0667,2,1
1808-70,5,Prox,15,15,PP18-0687,0.002,0.27
1808-70,5,Prox,15,15,PP18-0687,0.006,0.37
1808-70,5,Prox,15,15,PP18-0687,0.01,0.44
1808-70,5,Prox,15,15,PP18-0687,0.02,0.59
1808-70,5,Prox,15,15,PP18-0687,0.063,0.94
1808-70,5,Prox,15,15,PP18-0687,0.125,0.99
1808-70,5,Prox,15,15,PP18-0687,0.25,0.99
1808-70,5,Prox,15,15,PP18-0687,0.5,1
