sample_id,pit,loc,depth,depth.class,Id,Diameter[mm],Cumul_Psd
1808-66,1,Prox,85,80,PP18-0611,0.5,0.99
1808-66,1,Prox,85,80,PP18-0611,1,1
1808-66,1,Prox,85,80,PP18-0611,2,1
1808-24,2,Dist,15,15,PP18-0612,0.002,0.26
1808-24,2,Dist,15,15,PP18-0612,0.006,0.36
1808-24,2,Dist,15,15,PP18-0612,0.01,0.45
1808-24,2,Dist,15,15,PP18-0612,0.02,0.6
1808-24,2,Dist,15,15,PP18-0612,0.063,0.94
1808-24,2,Dist,15,15,PP18-0612,0.125,0.99
1808-24,2,Dist,15,15,PP18-0612,0.25,0.99
1808-24,2,Dist,15,15,PP18-0612,0.5,0.99
1808-24,2,Dist,15,15,PP18-0612,1,1
1808-24,2,Dist,15,15,PP18-0612,2,1
1808-28,2,Dist,30,30,PP18-0613,0.002,0.3
1808-28,2,Dist,30,30,PP18-0613,0.006,0.38
1808-28,2,Dist,30,30,PP18-0613,0.01,0.46
1808-28,2,Dist,30,30,PP18-0613,0.02,0.61
1808-28,2,Dist,30,30,PP18-0613,0.063,0.95
1808-28,2,Dist,30,30,PP18-0613,0.125,0.99
1808-28,2,Dist,30,30,PP18-0613,0.25,0.99
1808-28,2,Dist,30,30,PP18-0613,0.5,1
1808-28,2,Dist,30,30,PP18-0613,1,1
1808-28,2,Dist,30,30,PP18-0613,2,1
1808-32,2,Dist,45,45,PP18-0614,0.002,0.34
1808-32,2,Dist,45,45,PP18-0614,0.006,0.42
1808-32,2,Dist,45,45,PP18-0614,0.01,0.5
1808-32,2,Dist,45,45,PP18-0614,0.02,0.64
1808-32,2,Dist,45,45,PP18-0614,0.063,0.95
1808-32,2,Dist,45,45,PP18-0614,0.125,0.99
1808-32,2,Dist,45,45,PP18-0614,0.25,1
1808-32,2,Dist,45,45,PP18-0614,0.5,1
1808-32,2,Dist,45,45,PP18-0614,1,1
1808-32,2,Dist,45,45,PP18-0614,2,1
1808-42,2,Dist,60,60,PP18-0615,0.002,0.33
1808-42,2,Dist,60,60,PP18-0615,0.006,0.41
1808-42,2,Dist,60,60,PP18-0615,0.01,0.48
1808-42,2,Dist,60,60,PP18-0615,0.02,0.62
1808-42,2,Dist,60,60,PP18-0615,0.063,0.89
1808-42,2,Dist,60,60,PP18-0615,0.125,0.96
1808-42,2,Dist,60,60,PP18-0615,0.25,0.97
1808-42,2,Dist,60,60,PP18-0615,0.5,0.98
1808-42,2,Dist,60,60,PP18-0615,1,0.99
1808-42,2,Dist,60,60,PP18-0615,2,1
1808-48,2,Dist,75,80,PP18-0617,0.002,0.3
1808-34,2,Dist,67,67,PP18-0617,0.002,0.36
1808-48,2,Dist,75,80,PP18-0617,0.006,0.39
1808-34,2,Dist,67,67,PP18-0617,0.006,0.44
1808-48,2,Dist,75,80,PP18-0617,0.01,0.46
1808-34,2,Dist,67,67,PP18-0617,0.01,0.51
1808-48,2,Dist,75,80,PP18-0617,0.02,0.61
1808-34,2,Dist,67,67,PP18-0617,0.02,0.66
1808-48,2,Dist,75,80,PP18-0617,0.063,0.92
1808-34,2,Dist,67,67,PP18-0617,0.063,0.91
1808-48,2,Dist,75,80,PP18-0617,0.125,0.98
1808-34,2,Dist,67,67,PP18-0617,0.125,0.96
1808-48,2,Dist,75,80,PP18-0617,0.25,0.98
1808-34,2,Dist,67,67,PP18-0617,0.25,0.97
1808-48,2,Dist,75,80,PP18-0617,0.5,0.99
1808-34,2,Dist,67,67,PP18-0617,0.5,0.98
1808-48,2,Dist,75,80,PP18-0617,1,0.99
1808-34,2,Dist,67,67,PP18-0617,1,0.99
1808-48,2,Dist,75,80,PP18-0617,2,1
1808-34,2,Dist,67,67,PP18-0617,2,1
1808-38,2,Dist,90,90,PP18-0618,0.002,0.37
1808-38,2,Dist,90,90,PP18-0618,0.006,0.45
1808-38,2,Dist,90,90,PP18-0618,0.01,0.52
1808-38,2,Dist,90,90,PP18-0618,0.02,0.67
1808-38,2,Dist,90,90,PP18-0618,0.063,0.95
1808-38,2,Dist,90,90,PP18-0618,0.125,0.99
1808-38,2,Dist,90,90,PP18-0618,0.25,1
1808-38,2,Dist,90,90,PP18-0618,0.5,1
1808-38,2,Dist,90,90,PP18-0618,1,1
1808-38,2,Dist,90,90,PP18-0618,2,1
1808-22,2,Prox,15,15,PP18-0619,0.002,0.28
1808-22,2,Prox,15,15,PP18-0619,0.006,0.39
1808-22,2,Prox,15,15,PP18-0619,0.01,0.46
1808-22,2,Prox,15,15,PP18-0619,0.02,0.62
1808-22,2,Prox,15,15,PP18-0619,0.063,0.94
1808-22,2,Prox,15,15,PP18-0619,0.125,0.98
1808-22,2,Prox,15,15,PP18-0619,0.25,0.99
1808-22,2,Prox,15,15,PP18-0619,0.5,0.99
1808-22,2,Prox,15,15,PP18-0619,1,1
1808-22,2,Prox,15,15,PP18-0619,2,1
1808-26,2,Prox,30,30,PP18-0620,0.002,0.3
1808-26,2,Prox,30,30,PP18-0620,0.006,0.4
1808-26,2,Prox,30,30,PP18-0620,0.01,0.46
1808-26,2,Prox,30,30,PP18-0620,0.02,0.63
1808-26,2,Prox,30,30,PP18-0620,0.063,0.95
1808-26,2,Prox,30,30,PP18-0620,0.125,0.99
1808-26,2,Prox,30,30,PP18-0620,0.25,0.99
1808-26,2,Prox,30,30,PP18-0620,0.5,1
1808-26,2,Prox,30,30,PP18-0620,1,1
1808-26,2,Prox,30,30,PP18-0620,2,1
1808-30,2,Prox,45,45,PP18-0621,0.002,0.36
1808-30,2,Prox,45,45,PP18-0621,0.006,0.44
1808-30,2,Prox,45,45,PP18-0621,0.01,0.51
1808-30,2,Prox,45,45,PP18-0621,0.02,0.65
1808-30,2,Prox,45,45,PP18-0621,0.063,0.96
1808-30,2,Prox,45,45,PP18-0621,0.125,0.99
1808-30,2,Prox,45,45,PP18-0621,0.25,1
1808-30,2,Prox,45,45,PP18-0621,0.5,1
1808-30,2,Prox,45,45,PP18-0621,1,1
1808-30,2,Prox,45,45,PP18-0621,2,1
1808-44,2,Prox,60,60,PP18-0622,0.002,0.35
1808-36,2,Prox,67,67,PP18-0622,0.002,0.36
1808-44,2,Prox,60,60,PP18-0622,0.006,0.43
1808-36,2,Prox,67,67,PP18-0622,0.006,0.45
1808-44,2,Prox,60,60,PP18-0622,0.01,0.48
1808-36,2,Prox,67,67,PP18-0622,0.01,0.52
1808-44,2,Prox,60,60,PP18-0622,0.02,0.63
1808-36,2,Prox,67,67,PP18-0622,0.02,0.65
1808-44,2,Prox,60,60,PP18-0622,0.063,0.92
1808-36,2,Prox,67,67,PP18-0622,0.063,0.92
1808-44,2,Prox,60,60,PP18-0622,0.125,0.96
1808-36,2,Prox,67,67,PP18-0622,0.125,0.96
1808-44,2,Prox,60,60,PP18-0622,0.25,0.97
1808-36,2,Prox,67,67,PP18-0622,0.25,0.97
1808-44,2,Prox,60,60,PP18-0622,0.5,0.98
1808-36,2,Prox,67,67,PP18-0622,0.5,0.98
1808-44,2,Prox,60,60,PP18-0622,1,0.99
1808-36,2,Prox,67,67,PP18-0622,1,0.99
1808-44,2,Prox,60,60,PP18-0622,2,1
1808-36,2,Prox,67,67,PP18-0622,2,1
1808-46,2,Prox,75,80,PP18-0623,0.002,0.38
1808-46,2,Prox,75,80,PP18-0623,0.006,0.47
1808-46,2,Prox,75,80,PP18-0623,0.01,0.52
1808-46,2,Prox,75,80,PP18-0623,0.02,0.68
1808-46,2,Prox,75,80,PP18-0623,0.063,0.95
1808-46,2,Prox,75,80,PP18-0623,0.125,0.99
1808-46,2,Prox,75,80,PP18-0623,0.25,1
1808-46,2,Prox,75,80,PP18-0623,0.5,1
1808-46,2,Prox,75,80,PP18-0623,1,1
1808-46,2,Prox,75,80,PP18-0623,2,1
1808-40,2,Prox,90,90,PP18-0625,0.002,0.37
1808-40,2,Prox,90,90,PP18-0625,0.006,0.45
1808-40,2,Prox,90,90,PP18-0625,0.01,0.53
1808-40,2,Prox,90,90,PP18-0625,0.02,0.66
1808-40,2,Prox,90,90,PP18-0625,0.063,0.95
1808-40,2,Prox,90,90,PP18-0625,0.125,0.99
1808-40,2,Prox,90,90,PP18-0625,0.25,0.99
1808-40,2,Prox,90,90,PP18-0625,0.5,0.99
1808-40,2,Prox,90,90,PP18-0625,1,0.99
1808-40,2,Prox,90,90,PP18-0625,2,1
1808-08,3,Dist,15,15,PP18-0641,0.002,0.27
1808-08,3,Dist,15,15,PP18-0641,0.006,0.36
1808-08,3,Dist,15,15,PP18-0641,0.01,0.42
1808-08,3,Dist,15,15,PP18-0641,0.02,0.59
1808-08,3,Dist,15,15,PP18-0641,0.063,0.9
1808-08,3,Dist,15,15,PP18-0641,0.125,0.94
1808-08,3,Dist,15,15,PP18-0641,0.25,0.96
1808-08,3,Dist,15,15,PP18-0641,0.5,0.97
1808-08,3,Dist,15,15,PP18-0641,1,0.98
1808-08,3,Dist,15,15,PP18-0641,2,1
1808-10,3,Dist,30,30,PP18-0642,0.002,0.31
1808-10,3,Dist,30,30,PP18-0642,0.006,0.4
1808-10,3,Dist,30,30,PP18-0642,0.01,0.47
1808-10,3,Dist,30,30,PP18-0642,0.02,0.63
1808-10,3,Dist,30,30,PP18-0642,0.063,0.92
1808-10,3,Dist,30,30,PP18-0642,0.125,0.97
1808-10,3,Dist,30,30,PP18-0642,0.25,0.98
1808-10,3,Dist,30,30,PP18-0642,0.5,0.99
1808-10,3,Dist,30,30,PP18-0642,1,0.99
1808-10,3,Dist,30,30,PP18-0642,2,1
1808-12,3,Dist,45,45,PP18-0643,0.002,0.32
1808-12,3,Dist,45,45,PP18-0643,0.006,0.4
1808-12,3,Dist,45,45,PP18-0643,0.01,0.48
1808-12,3,Dist,45,45,PP18-0643,0.02,0.61
1808-12,3,Dist,45,45,PP18-0643,0.063,0.91
1808-12,3,Dist,45,45,PP18-0643,0.125,0.98
1808-12,3,Dist,45,45,PP18-0643,0.25,0.99
1808-12,3,Dist,45,45,PP18-0643,0.5,0.99
1808-12,3,Dist,45,45,PP18-0643,1,1
1808-12,3,Dist,45,45,PP18-0643,2,1
1808-14,3,Dist,60,60,PP18-0644,0.002,0.44
1808-14,3,Dist,60,60,PP18-0644,0.006,0.53
1808-14,3,Dist,60,60,PP18-0644,0.01,0.57
1808-14,3,Dist,60,60,PP18-0644,0.02,0.68
1808-14,3,Dist,60,60,PP18-0644,0.063,0.92
1808-14,3,Dist,60,60,PP18-0644,0.125,0.97
1808-14,3,Dist,60,60,PP18-0644,0.25,0.99
1808-14,3,Dist,60,60,PP18-0644,0.5,0.99
1808-14,3,Dist,60,60,PP18-0644,1,1
1808-14,3,Dist,60,60,PP18-0644,2,1
1808-16,3,Dist,75,80,PP18-0645,0.002,0.52
1808-16,3,Dist,75,80,PP18-0645,0.006,0.62
1808-16,3,Dist,75,80,PP18-0645,0.01,0.68
1808-16,3,Dist,75,80,PP18-0645,0.02,0.77
1808-16,3,Dist,75,80,PP18-0645,0.063,0.91
1808-16,3,Dist,75,80,PP18-0645,0.125,0.96
1808-16,3,Dist,75,80,PP18-0645,0.25,0.98
1808-16,3,Dist,75,80,PP18-0645,0.5,0.99
1808-16,3,Dist,75,80,PP18-0645,1,1
1808-16,3,Dist,75,80,PP18-0645,2,1
180814-02,3,Prox,15,15,PP18-0646,0.002,0.28
180814-02,3,Prox,15,15,PP18-0646,0.006,0.37
180814-02,3,Prox,15,15,PP18-0646,0.01,0.43
180814-02,3,Prox,15,15,PP18-0646,0.02,0.59
180814-02,3,Prox,15,15,PP18-0646,0.063,0.93
180814-02,3,Prox,15,15,PP18-0646,0.125,0.97
180814-02,3,Prox,15,15,PP18-0646,0.25,0.98
180814-02,3,Prox,15,15,PP18-0646,0.5,0.99
180814-02,3,Prox,15,15,PP18-0646,1,1
180814-02,3,Prox,15,15,PP18-0646,2,1
180814-04,3,Prox,30,30,PP18-0647,0.002,0.31
180814-04,3,Prox,30,30,PP18-0647,0.006,0.39
180814-04,3,Prox,30,30,PP18-0647,0.01,0.46
180814-04,3,Prox,30,30,PP18-0647,0.02,0.61
180814-04,3,Prox,30,30,PP18-0647,0.063,0.92
180814-04,3,Prox,30,30,PP18-0647,0.125,0.96
180814-04,3,Prox,30,30,PP18-0647,0.25,0.97
180814-04,3,Prox,30,30,PP18-0647,0.5,0.98
180814-04,3,Prox,30,30,PP18-0647,1,0.99
180814-04,3,Prox,30,30,PP18-0647,2,1
1808-06,3,Prox,45,45,PP18-0648,0.002,0.32
1808-06,3,Prox,45,45,PP18-0648,0.006,0.41
1808-06,3,Prox,45,45,PP18-0648,0.01,0.46
1808-06,3,Prox,45,45,PP18-0648,0.02,0.63
1808-06,3,Prox,45,45,PP18-0648,0.063,0.91
1808-06,3,Prox,45,45,PP18-0648,0.125,0.98
1808-06,3,Prox,45,45,PP18-0648,0.25,0.99
1808-06,3,Prox,45,45,PP18-0648,0.5,1
1808-06,3,Prox,45,45,PP18-0648,1,1
1808-06,3,Prox,45,45,PP18-0648,2,1
1808-18,3,Prox,60,60,PP18-0649,0.002,0.43
1808-18,3,Prox,60,60,PP18-0649,0.006,0.51
1808-18,3,Prox,60,60,PP18-0649,0.01,0.58
1808-18,3,Prox,60,60,PP18-0649,0.02,0.69
1808-18,3,Prox,60,60,PP18-0649,0.063,0.91
1808-18,3,Prox,60,60,PP18-0649,0.125,0.97
1808-18,3,Prox,60,60,PP18-0649,0.25,0.98
1808-18,3,Prox,60,60,PP18-0649,0.5,0.99
1808-18,3,Prox,60,60,PP18-0649,1,0.99
1808-18,3,Prox,60,60,PP18-0649,2,1
1808-20,3,Prox,75,80,PP18-0650,0.002,0.53
1808-20,3,Prox,75,80,PP18-0650,0.006,0.64
1808-20,3,Prox,75,80,PP18-0650,0.01,0.7
1808-20,3,Prox,75,80,PP18-0650,0.02,0.78
1808-20,3,Prox,75,80,PP18-0650,0.063,0.91
1808-20,3,Prox,75,80,PP18-0650,0.125,0.96
1808-20,3,Prox,75,80,PP18-0650,0.25,0.98
1808-20,3,Prox,75,80,PP18-0650,0.5,0.99
1808-20,3,Prox,75,80,PP18-0650,1,1
1808-20,3,Prox,75,80,PP18-0650,2,1
1808-120,4,Dist,15,15,PP18-0651,0.002,0.26
1808-120,4,Dist,15,15,PP18-0651,0.006,0.37
1808-120,4,Dist,15,15,PP18-0651,0.01,0.44
1808-120,4,Dist,15,15,PP18-0651,0.02,0.61
1808-120,4,Dist,15,15,PP18-0651,0.063,0.94
1808-120,4,Dist,15,15,PP18-0651,0.125,0.99
1808-120,4,Dist,15,15,PP18-0651,0.25,0.99
1808-120,4,Dist,15,15,PP18-0651,0.5,1
1808-120,4,Dist,15,15,PP18-0651,1,1
1808-120,4,Dist,15,15,PP18-0651,2,1
1808-122,4,Dist,30,30,PP18-0652,0.002,0.26
1808-122,4,Dist,30,30,PP18-0652,0.006,0.36
1808-122,4,Dist,30,30,PP18-0652,0.01,0.43
1808-122,4,Dist,30,30,PP18-0652,0.02,0.62
1808-122,4,Dist,30,30,PP18-0652,0.063,0.94
1808-122,4,Dist,30,30,PP18-0652,0.125,0.99
1808-122,4,Dist,30,30,PP18-0652,0.25,0.99
1808-122,4,Dist,30,30,PP18-0652,0.5,1
1808-122,4,Dist,30,30,PP18-0652,1,1
1808-122,4,Dist,30,30,PP18-0652,2,1
1808-124,4,Dist,45,45,PP18-0653,0.002,0.27
1808-124,4,Dist,45,45,PP18-0653,0.006,0.36
1808-124,4,Dist,45,45,PP18-0653,0.01,0.44
1808-124,4,Dist,45,45,PP18-0653,0.02,0.6
1808-124,4,Dist,45,45,PP18-0653,0.063,0.93
1808-124,4,Dist,45,45,PP18-0653,0.125,0.98
1808-124,4,Dist,45,45,PP18-0653,0.25,0.99
1808-124,4,Dist,45,45,PP18-0653,0.5,0.99
1808-124,4,Dist,45,45,PP18-0653,1,1
1808-124,4,Dist,45,45,PP18-0653,2,1
1808-126,4,Dist,60,60,PP18-0654,0.002,0.29
1808-126,4,Dist,60,60,PP18-0654,0.006,0.37
1808-126,4,Dist,60,60,PP18-0654,0.01,0.44
1808-126,4,Dist,60,60,PP18-0654,0.02,0.6
1808-126,4,Dist,60,60,PP18-0654,0.063,0.95
1808-126,4,Dist,60,60,PP18-0654,0.125,0.99
1808-126,4,Dist,60,60,PP18-0654,0.25,1
1808-126,4,Dist,60,60,PP18-0654,0.5,1
1808-126,4,Dist,60,60,PP18-0654,1,1
1808-126,4,Dist,60,60,PP18-0654,2,1
1808-128,4,Dist,75,80,PP18-0655,0.002,0.35
1808-128,4,Dist,75,80,PP18-0655,0.006,0.43
1808-128,4,Dist,75,80,PP18-0655,0.01,0.51
1808-128,4,Dist,75,80,PP18-0655,0.02,0.66
1808-128,4,Dist,75,80,PP18-0655,0.063,0.96
1808-128,4,Dist,75,80,PP18-0655,0.125,1
1808-128,4,Dist,75,80,PP18-0655,0.25,1
1808-128,4,Dist,75,80,PP18-0655,0.5,1
1808-128,4,Dist,75,80,PP18-0655,1,1
1808-128,4,Dist,75,80,PP18-0655,2,1
1808-110,4,Prox,15,15,PP18-0656,0.002,0.26
1808-110,4,Prox,15,15,PP18-0656,0.006,0.35
1808-110,4,Prox,15,15,PP18-0656,0.01,0.43
1808-110,4,Prox,15,15,PP18-0656,0.02,0.6
1808-110,4,Prox,15,15,PP18-0656,0.063,0.93
1808-110,4,Prox,15,15,PP18-0656,0.125,0.98
1808-110,4,Prox,15,15,PP18-0656,0.25,0.99
1808-110,4,Prox,15,15,PP18-0656,0.5,0.99
1808-110,4,Prox,15,15,PP18-0656,1,1
1808-110,4,Prox,15,15,PP18-0656,2,1
1808-112,4,Prox,30,30,PP18-0657,0.002,0.28
1808-112,4,Prox,30,30,PP18-0657,0.006,0.37
1808-112,4,Prox,30,30,PP18-0657,0.01,0.44
1808-112,4,Prox,30,30,PP18-0657,0.02,0.6
1808-112,4,Prox,30,30,PP18-0657,0.063,0.94
1808-112,4,Prox,30,30,PP18-0657,0.125,0.99
1808-112,4,Prox,30,30,PP18-0657,0.25,1
1808-112,4,Prox,30,30,PP18-0657,0.5,1
1808-112,4,Prox,30,30,PP18-0657,1,1
1808-112,4,Prox,30,30,PP18-0657,2,1
1808-114,4,Prox,45,45,PP18-0658,0.002,0.29
1808-114,4,Prox,45,45,PP18-0658,0.006,0.37
1808-114,4,Prox,45,45,PP18-0658,0.01,0.44
1808-114,4,Prox,45,45,PP18-0658,0.02,0.6
1808-114,4,Prox,45,45,PP18-0658,0.063,0.94
1808-114,4,Prox,45,45,PP18-0658,0.125,0.99
1808-114,4,Prox,45,45,PP18-0658,0.25,1
1808-114,4,Prox,45,45,PP18-0658,0.5,1
1808-114,4,Prox,45,45,PP18-0658,1,1
1808-114,4,Prox,45,45,PP18-0658,2,1
1808-116,4,Prox,60,60,PP18-0659,0.002,0.31
1808-116,4,Prox,60,60,PP18-0659,0.006,0.38
1808-116,4,Prox,60,60,PP18-0659,0.01,0.44
1808-116,4,Prox,60,60,PP18-0659,0.02,0.6
1808-116,4,Prox,60,60,PP18-0659,0.063,0.94
1808-116,4,Prox,60,60,PP18-0659,0.125,0.99
1808-116,4,Prox,60,60,PP18-0659,0.25,1
1808-116,4,Prox,60,60,PP18-0659,0.5,1
1808-116,4,Prox,60,60,PP18-0659,1,1
1808-116,4,Prox,60,60,PP18-0659,2,1
1808-118,4,Prox,75,80,PP18-0660,0.002,0.36
1808-118,4,Prox,75,80,PP18-0660,0.006,0.44
1808-118,4,Prox,75,80,PP18-0660,0.01,0.5
1808-118,4,Prox,75,80,PP18-0660,0.02,0.66
1808-118,4,Prox,75,80,PP18-0660,0.063,0.95
1808-118,4,Prox,75,80,PP18-0660,0.125,1
1808-118,4,Prox,75,80,PP18-0660,0.25,1
1808-118,4,Prox,75,80,PP18-0660,0.5,1
1808-118,4,Prox,75,80,PP18-0660,1,1
1808-118,4,Prox,75,80,PP18-0660,2,1
1808-80,5,Dist,15,15,PP18-0661,0.002,0.27
1808-80,5,Dist,15,15,PP18-0661,0.006,0.37
1808-80,5,Dist,15,15,PP18-0661,0.01,0.44
1808-80,5,Dist,15,15,PP18-0661,0.02,0.6
1808-80,5,Dist,15,15,PP18-0661,0.063,0.95
1808-80,5,Dist,15,15,PP18-0661,0.125,0.99
1808-80,5,Dist,15,15,PP18-0661,0.25,0.99
1808-80,5,Dist,15,15,PP18-0661,0.5,1
1808-80,5,Dist,15,15,PP18-0661,1,1
1808-80,5,Dist,15,15,PP18-0661,2,1
1808-82,5,Dist,30,30,PP18-0662,0.002,0.29
