Comments,pit,loc,depth,depth.class,Id,H[mm],Kunsat[mm_h]
NA,2,Prox,45,45,PP18-0621,0,-9999
NA,2,Prox,45,45,PP18-0621,10,26.91336943
NA,2,Prox,45,45,PP18-0621,40,6.164514786
NA,2,Prox,45,45,PP18-0621,70,1.80424823
NA,2,Prox,45,45,PP18-0621,100,0.676593086
NA,2,Prox,60,60,PP18-0622,0,-9999
NA,2,Prox,60,60,PP18-0622,10,7.76829099
NA,2,Prox,60,60,PP18-0622,40,2.856726364
NA,2,Prox,60,60,PP18-0622,70,1.127655144
NA,2,Prox,60,60,PP18-0622,100,0.451062057
NA,2,Prox,75,80,PP18-0623,0,-9999
NA,2,Prox,75,80,PP18-0623,10,0.501180064
NA,2,Prox,75,80,PP18-0623,40,0.451062057
NA,2,Prox,75,80,PP18-0623,70,0.338296543
NA,2,Prox,75,80,PP18-0623,100,0.300708038
NA,2,Prox,67,67,PP18-0624,0,-9999
NA,2,Prox,67,67,PP18-0624,10,0.563827572
NA,2,Prox,67,67,PP18-0624,40,0.451062057
NA,2,Prox,67,67,PP18-0624,70,0.375885048
NA,2,Prox,67,67,PP18-0624,100,0.240566431
Note 1: K-100 too slow for measurement,2,Prox,90,90,PP18-0625,0,-9999
Note 1: K-100 too slow for measurement,2,Prox,90,90,PP18-0625,10,0.150354019
Note 1: K-100 too slow for measurement,2,Prox,90,90,PP18-0625,40,0.150354019
Note 1: K-100 too slow for measurement,2,Prox,90,90,PP18-0625,70,0.112765514
Note 1: K-100 too slow for measurement,2,Prox,90,90,PP18-0625,100,NA
NA,3,Dist,15,15,PP18-0641,0,-9999
NA,3,Dist,15,15,PP18-0641,10,18.79425239
NA,3,Dist,15,15,PP18-0641,40,3.232611412
NA,3,Dist,15,15,PP18-0641,70,1.80424823
NA,3,Dist,15,15,PP18-0641,100,1.099463765
NA,3,Dist,30,30,PP18-0642,0,-9999
NA,3,Dist,30,30,PP18-0642,10,4.510620575
NA,3,Dist,30,30,PP18-0642,40,1.954602249
NA,3,Dist,30,30,PP18-0642,70,0.902124115
NA,3,Dist,30,30,PP18-0642,100,0.507444815
NA,3,Dist,45,45,PP18-0643,0,-9999
NA,3,Dist,45,45,PP18-0643,10,0.601416077
NA,3,Dist,45,45,PP18-0643,40,0.300708038
NA,3,Dist,45,45,PP18-0643,70,0.225531029
NA,3,Dist,45,45,PP18-0643,100,0.225531029
Note 2: 2 mm gap around 1/2 core. Cause of K-10 v. high?,3,Dist,60,60,PP18-0644,0,-9999
Note 2: 2 mm gap around 1/2 core. Cause of K-10 v. high?,3,Dist,60,60,PP18-0644,10,177.0418576
Note 2: 2 mm gap around 1/2 core. Cause of K-10 v. high?,3,Dist,60,60,PP18-0644,40,2.029779259
Note 2: 2 mm gap around 1/2 core. Cause of K-10 v. high?,3,Dist,60,60,PP18-0644,70,0.451062057
Note 2: 2 mm gap around 1/2 core. Cause of K-10 v. high?,3,Dist,60,60,PP18-0644,100,0.225531029
NA,3,Dist,75,80,PP18-0645,0,-9999
NA,3,Dist,75,80,PP18-0645,10,0.250590032
NA,3,Dist,75,80,PP18-0645,40,0.093971262
NA,3,Dist,75,80,PP18-0645,70,0.090212411
NA,3,Dist,75,80,PP18-0645,100,0.07517701
NA,3,Prox,15,15,PP18-0646,0,-9999
NA,3,Prox,15,15,PP18-0646,10,10.33683882
NA,3,Prox,15,15,PP18-0646,40,4.360266556
NA,3,Prox,15,15,PP18-0646,70,2.706372345
NA,3,Prox,15,15,PP18-0646,100,1.240420658
NA,3,Prox,30,30,PP18-0647,0,-9999
