Name,Id,Horizon,θs,θr,Ks,Ψm,σ,θsMacMat_ƞ,σMac,ΨmMac,So,θsMacMat,Φ,θs_Min,θr_Min,Ks_Min,Ψm_Min,σ_Min,θsMacMat_ƞ_Min,σMac_Min,ΨmMac_Min,So_Min,θsMacMat_Min,Φ_Min,θs_Max,θr_Max,Ks_Max,Ψm_Max,σ_Max,θsMacMat_ƞ_Max,σMac_Max,ΨmMac_Max,So_Max,θsMacMat_Max,Φ_Max
Waitoa,1,1,0.550659869132686,0.179886009171351,0.060488543022434,14982.6712554615,2.70618282716237,0.806830907344233,0.7675,10,0,0.444289401850382,0,0.464774546,0,5.5E-05,94.87735836,0.75,0.75,0.2,1,0,0,0,0.6,0.2,0.08,16275479.14,4,1,0.8,390,1E-05,0,0
Waitoa,2,2,0.463603255907926,0.158326648162439,0.020520493773351,33521.1439023529,2.52824620956983,0.944556133903771,0.7675,10,0,0.437899299065591,0,0.446185924,0,5.5E-05,94.87735836,0.75,0.75,0.2,1,0,0,0,0.6,0.2,0.08,16275479.14,4,1,0.8,390,1E-05,0,0
Waitoa,3,3,0.544215796228278,0.199980629127455,0.073422802773406,17626.6762232689,3.52054905510871,0.899215863397544,0.7675,10,0,0.489367477079993,0,0.52154857,0,5.5E-05,94.87735836,0.75,0.75,0.2,1,0,0,0,0.6,0.2,0.08,16275479.14,4,1,0.8,390,1E-05,0,0
Waitoa,4,4,0.530562164131409,0.005671342789137,0.013551239828694,59135.8042040758,1.40440366246686,0.805014028046756,0.7675,10,0,0.42710998487663,0,0.472132445,0,5.5E-05,94.87735836,0.75,0.8,0.2,1,0,0,0,0.6,0.2,0.08,16275479.14,4,1,0.8,390,1E-05,0,0
Waitoa,5,5,0.525668316983951,0.185511911630813,0.004352174826905,20451.0825186124,2.77258029325561,0.87313699537634,0.7675,10,0,0.458980454855904,0,0.47501296,0,5.5E-05,94.87735836,0.75,0.8,0.2,1,0,0,0,0.6,0.2,0.08,16275479.14,4,1,0.8,390,1E-05,0,0
Waihou,6,1,0.476206704401078,0.174732418328415,0.042149455693364,13528.5211274223,2.65569419917162,0.9241297103365,0.7675,10,0,0.440076763798468,0,0.457,0,5.5E-05,94.87735836,0.75,0.75,0.2,1,0,0,0,0.6,0.2,0.08,16275479.14,4,1,0.8,390,1E-05,0,0
Waihou,7,2,0.533639363980487,0.076554906487507,0.047308764647941,61953.1291246022,2.07435030766146,0.750304865652998,0.7675,10,0,0.400392211298531,0,0.5308,0,5.5E-05,94.87735836,0.75,0.75,0.2,1,0,0,0,0.6,0.2,0.08,16275479.14,4,1,0.8,390,1E-05,0,0
Waihou,8,3,0.533639363980487,0.076554906487507,0.047308764647941,61953.1291246022,2.07435030766146,0.750304865652998,0.7675,10,0,0.400392211298531,0,0.481,0,5.5E-05,94.87735836,0.75,0.75,0.2,1,0,0,0,0.6,0.2,0.08,16275479.14,4,1,0.8,390,1E-05,0,0
Waihou,9,4,0.507926305644742,0.199955733961155,0.072630850940048,55820.5295942827,3.45643091139349,0.825630863861504,0.7675,10,0,0.419359634507451,0,0.481,0,5.5E-05,94.87735836,0.75,0.8,0.2,1,0,0,0,0.6,0.2,0.08,16275479.14,4,1,0.8,390,1E-05,0,0
Waihou,10,5,0.476932280461776,0.199855361219831,0.030570082399417,9262.98862019904,3.35576608830553,0.87906860568788,0.7675,10,0,0.419256194793074,0,0.519,0,5.5E-05,94.87735836,0.75,0.8,0.2,1,0,0,0,0.6,0.2,0.08,16275479.14,4,1,0.8,390,1E-05,0,0
Taupo,11,1,0.559572084513241,0.171364199979545,0.02185197844065,10086.3988871014,2.62619898618598,0.831565081054985,0.7675,10,0,0.46532060581436,0,0.4928,0,5.5E-05,94.87735836,0.75,0.75,0.2,50,0,0,0,0.6,0.2,0.08,16275479.14,4,1,0.8,390,1E-05,0,0
Taupo,12,2,0.559572084513241,0.171364199979545,0.02185197844065,10086.3988871014,2.62619898618598,0.831565081054985,0.7675,10,0,0.46532060581436,0,0.502,0,5.5E-05,94.87735836,0.75,0.75,0.2,50,0,0,0,0.6,0.2,0.08,16275479.14,4,1,0.8,390,1E-05,0,0
Taupo,13,3,0.509754637261246,0.144885676235508,0.02015217528903,8113.73644460554,2.44308709664225,0.990240682956692,0.7675,10,0,0.504779780141917,0,0.414,0,5.5E-05,94.87735836,0.75,0.8,0.2,50,0,0,0,0.6,0.2,0.08,16275479.14,4,1,0.8,390,1E-05,0,0
Taupo,14,4,0.509754637261246,0.144885676235508,0.02015217528903,8113.73644460554,2.44308709664225,0.990240682956692,0.7675,10,0,0.504779780141917,0,0.419,0,5.5E-05,94.87735836,0.75,0.8,0.2,50,0,0,0,0.6,0.2,0.08,16275479.14,4,1,0.8,390,1E-05,0,0
Otorohanga,15,1,0.563572158092177,0.116620540498688,0.038323991981445,40152.9501482002,2.28679294014908,0.822636450319505,0.7675,10,0,0.463614999631851,0,0.483,0,5.5E-05,94.87735836,0.75,0.75,0.2,1,0,0,0,0.6,0.2,0.08,16275479.14,4,1,0.8,390,1E-05,0,0
Otorohanga,16,2,0.52800258345337,0.008016454122182,0.055405263244548,47219.5193325375,1.46461989531787,0.813799772243766,0.7675,10,0,0.429688382158472,0,0.4805,0,5.5E-05,94.87735836,0.75,0.75,0.2,1,0,0,0,0.6,0.2,0.08,16275479.14,4,1,0.8,390,1E-05,0,0
Otorohanga,17,3,0.493228275686657,0.074536317274214,0.067875117949807,49484.5112715673,2.06307774043559,0.902578451991795,0.7675,10,0,0.445177213547845,0,0.438,0,5.5E-05,94.87735836,0.75,0.75,0.2,1,0,0,0,0.6,0.2,0.08,16275479.14,4,1,0.8,390,1E-05,0,0
Otorohanga,18,4,0.520799555378557,0.00892695231824,0.067622441199218,39769.9273146657,1.48453338478956,0.832746616821775,0.7675,10,0,0.433694067783778,0,0.425,0,5.5E-05,94.87735836,0.75,0.8,0.2,1,0,0,0,0.6,0.2,0.08,16275479.14,4,1,0.8,390,1E-05,0,0
Otorohanga,19,5,0.51849909805094,0.128758051015908,0.032960574223613,13620.0864068241,2.35165342617457,0.989818389944224,0.7675,10,0,0.513219942420314,0,0.421,0,5.5E-05,94.87735836,0.75,0.8,0.2,1,0,0,0,0.6,0.2,0.08,16275479.14,4,1,0.8,390,1E-05,0,0
Hamilton,20,1,0.459871263858046,0.1999998368994,0.004575234273103,268865.501708215,3.82306368237495,0.91889442216431,0.7675,10,0,0.422573139272811,0,0.444,0,5.5E-05,94.87735836,0.75,0.75,0.2,50,0,0,0,0.7,0.2,0.08,16275479.14,4,1,0.8,390,1E-05,0,0
