id,Year,Month,Day,Hour,Minute,Second,Pr_mm,Pet_mm,Temp_c
0,2015,6,1,22,0,1,0,0,0
1,2015,6,1,23,0,1,0,0.214073938,14.13787231
2,2015,6,1,0,0,1,0,0.262172543,14.99764404
3,2015,6,2,1,0,1,0,0.275921106,15.72988281
4,2015,6,2,2,0,1,0,0.255587423,16.2847229
5,2015,6,2,3,0,1,0,0.200262089,16.62432251
6,2015,6,2,4,0,1,0,0.113867121,16.72554932
7,2015,6,2,5,0,1,0.467555248,0.003388581,16.58153687
8,2015,6,2,6,0,1,1.356910449,0,16.20205078
9,2015,6,2,7,0,1,1.232628245,0,15.61296997
10,2015,6,2,8,0,1,0.331482239,0,14.85442505
11,2015,6,2,9,0,1,0.814021681,0,13.97814331
12,2015,6,2,10,0,1,1.515880576,0,13.04384766
13,2015,6,2,11,0,1,1.46255258,0,12.11516724
14,2015,6,2,12,0,1,0.54551143,0,11.25539551
15,2015,6,2,13,0,1,0.646653003,0,10.52315674
16,2015,6,2,14,0,1,0.987970619,0,9.96831665
17,2015,6,2,15,0,1,0.647018431,0,9.628717041
18,2015,6,2,16,0,1,0,0,9.527703857
19,2015,6,2,17,0,1,0,0,9.707757568
20,2015,6,2,18,0,1,0,0,10.1821228
21,2015,6,2,19,0,1,0,0,10.91845093
22,2015,6,2,20,0,1,0,0,11.86663208
23,2015,6,2,21,0,1,0,0.052504143,12.96196899
24,2015,6,2,22,0,1,0,0.175126857,14.12987671
25,2015,6,2,23,0,1,0,0.275224302,15.68621216
26,2015,6,2,0,0,1,0,0.337546546,16.62957153
27,2015,6,3,1,0,1,0,0.355633179,17.43300781
28,2015,6,3,2,0,1,0,0.329590897,18.04177246
29,2015,6,3,3,0,1,0,0.258294545,18.41439209
30,2015,6,3,4,0,1,0,0.144587728,18.52547607
31,2015,6,3,5,0,1,2.625724534,0.003907283,18.36745605
32,2015,6,3,6,0,1,4.620895255,0,17.95107422
33,2015,6,3,7,0,1,5.664032884,0,17.30471191
34,2015,6,3,8,0,1,2.120544435,0,16.47243652
35,2015,6,3,9,0,1,0,0,15.51098022
36,2015,6,3,10,0,1,0.628521841,0,14.48580322
37,2015,6,3,11,0,1,1.593591296,0,13.46685181
38,2015,6,3,12,0,1,0.052456413,0,12.52349243
39,2015,6,3,13,0,1,0.216665998,0,11.72005615
40,2015,6,3,14,0,1,0,0,11.11126099
41,2015,6,3,15,0,1,0,0,10.73864136
42,2015,6,3,16,0,1,0.647766457,0,10.62716064
43,2015,6,3,17,0,1,0,0,10.72319946
44,2015,6,3,18,0,1,0,0,10.97619019
45,2015,6,3,19,0,1,0,0,11.36889038
46,2015,6,3,20,0,1,0,0,11.87456665
47,2015,6,3,21,0,1,0,0.021043545,12.45876465
48,2015,6,3,22,0,1,0,0.070899929,13.08165894
49,2015,6,3,23,0,1,0,0.155613263,12.04692993
50,2015,6,3,0,0,1,0,0.245766831,13.16939697
51,2015,6,4,1,0,1,0,0.299919338,14.12536011
52,2015,6,4,2,0,1,0,0.300572865,14.84972534
53,2015,6,4,3,0,1,0,0.24380871,15.29311523
54,2015,6,4,4,0,1,0,0.138439893,15.42528687
55,2015,6,4,5,0,1,0,0.000601864,15.23723755
56,2015,6,4,6,0,1,0,0,14.74178467
57,2015,6,4,7,0,1,0,0,13.97271118
58,2015,6,4,8,0,1,0,0,12.98241577
59,2015,6,4,9,0,1,0,0,11.8383728
60,2015,6,4,10,0,1,0,0,10.61858521
61,2015,6,4,11,0,1,1.773235039,0,9.406121826
62,2015,6,4,12,0,1,0.634332711,0,8.283654785
63,2015,6,4,13,0,1,1.576272538,0,7.327661133
64,2015,6,4,14,0,1,0,0,6.603295898
65,2015,6,4,15,0,1,0,0,6.159936523
66,2015,6,4,16,0,1,0,0,6.027764893
67,2015,6,4,17,0,1,0,0,6.213800049
68,2015,6,4,18,0,1,0,0,6.703973389
69,2015,6,4,19,0,1,0,0,7.464868164
70,2015,6,4,20,0,1,0,0,8.44463501
71,2015,6,4,21,0,1,0,0.045987268,9.576501465
72,2015,6,4,22,0,1,0,0.161312448,10.78331909
73,2015,6,4,23,0,1,0,0.255415624,12.19860229
74,2015,6,4,0,0,1,0,0.31555217,13.23745117
75,2015,6,5,1,0,1,0,0.334046694,14.12227783
76,2015,6,5,2,0,1,0,0.310047297,14.79268799
77,2015,6,5,3,0,1,0,0.242316804,15.20302734
78,2015,6,5,4,0,1,0,0.133874797,15.32537231
79,2015,6,5,5,0,1,0,0,15.15133057
80,2015,6,5,6,0,1,0,0,14.69277344
81,2015,6,5,7,0,1,0,0,13.98098145
82,2015,6,5,8,0,1,0,0,13.0644165
83,2015,6,5,9,0,1,0,0,12.00557861
84,2015,6,5,10,0,1,0,0,10.87661133
85,2015,6,5,11,0,1,0,0,9.754449463
86,2015,6,5,12,0,1,0,0,8.715570068
87,2015,6,5,13,0,1,0,0,7.830773926
88,2015,6,5,14,0,1,0,0,7.16036377
89,2015,6,5,15,0,1,0,0,6.749993896
90,2015,6,5,16,0,1,0,0,6.627618408
91,2015,6,5,17,0,1,0,0,6.793664551
92,2015,6,5,18,0,1,0,0,7.231134033
93,2015,6,5,19,0,1,0,0,7.910211182
94,2015,6,5,20,0,1,0,0,8.784631348
95,2015,6,5,21,0,1,0,0.041239928,9.794763184
96,2015,6,5,22,0,1,0,0.146661114,10.87185059
97,2015,6,5,23,0,1,0,0.227934215,11.475
98,2015,6,5,0,0,1,0,0.282796944,12.6213623
99,2015,6,6,1,0,1,0,0.300288841,13.59768066
100,2015,6,6,2,0,1,0,0.298697763,14.33745728
101,2015,6,6,3,0,1,0,0.241162561,14.7902771
102,2015,6,6,4,0,1,0,0.135609036,14.92525635
103,2015,6,6,5,0,1,0,0,14.73320923
104,2015,6,6,6,0,1,0,0,14.22722778
105,2015,6,6,7,0,1,0,0,13.44179688
106,2015,6,6,8,0,1,0,0,12.43041382
107,2015,6,6,9,0,1,0,0,11.26204834
108,2015,6,6,10,0,1,0,0,10.01629028
109,2015,6,6,11,0,1,0,0,8.778039551
110,2015,6,6,12,0,1,0,0,7.631677246
111,2015,6,6,13,0,1,0,0,6.655358887
112,2015,6,6,14,0,1,0,0,5.915582275
113,2015,6,6,15,0,1,0,0,5.462762451
114,2015,6,6,16,0,1,0,0,5.327752686
115,2015,6,6,17,0,1,0,0,5.517816162
116,2015,6,6,18,0,1,0,0,6.018518066
117,2015,6,6,19,0,1,0,0,6.795770264
118,2015,6,6,20,0,1,0,0,7.796624756
119,2015,6,6,21,0,1,0,0.043447999,8.952813721
120,2015,6,6,22,0,1,0,0.158251729,10.18560181
121,2015,6,6,23,0,1,0,0.240350928,9.829003906
122,2015,6,6,0,0,1,0,0.319063169,11.48882446
123,2015,6,7,1,0,1,0,0.35462415,12.90249023
124,2015,6,7,2,0,1,0,0.335811172,13.97362671
125,2015,6,7,3,0,1,0,0.264218892,14.62923584
126,2015,6,7,4,0,1,0,0.147038561,14.82467041
127,2015,6,7,5,0,1,0,0,14.54662476
